Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","18  0,4 (2,27%)",18.8,16.4,17.6,17.0,18.5,16.5,18.0,17.61,25.380000000000003,5.5,97.0
"February, 2014","7,2  0,2 (2,86%)",74.0,66.0,7.0,7.0,73.0,7.0,72.0,71.5,10.02,26.55,189.833
"March, 2014","9,5  -0,2 (-2,06%)",10.3,91.0,97.0,10.0,10.1,95.0,95.0,97.1,13.22,5.11,49.596
"April, 2014","7,9  0 (0%)",84.0,74.0,79.0,0.0,0.0,0.0,79.0,0.0,10.99,5.76,45.97
"May, 2014","8  0,3 (3,9%)",82.0,72.0,77.0,77.0,8.0,77.0,8.0,77.2,11.28,190.0,1.0
"June, 2014","8,3  0,5 (6,41%)",83.0,73.0,78.0,83.0,83.0,83.0,83.0,83.0,11.7,300.0,2.0
"July, 2014","8,1  0 (0%)",86.0,76.0,81.0,81.0,81.0,81.0,81.0,81.0,11.42,10.0,111.0
"August, 2014","10  0,1 (1,01%)",10.5,93.0,99.0,99.0,10.1,99.0,10.0,10.01,14.1,14.21,142.0
"September, 2014","12  0,7 (6,19%)",12.0,10.6,11.3,11.7,12.0,11.3,12.0,11.84,16.919999999999998,87.05,1.031.000
"October, 2014","13,8  0,9 (6,98%)",13.8,12.0,12.9,13.8,13.8,13.8,13.8,13.8,19.46,1.54,21.0
"November, 2014","17,6  1,1 (6,67%)",17.6,15.4,16.5,17.1,17.6,16.7,17.6,17.31,24.82,29.77,515.0
"December, 2014","17  -0,4 (-2,3%)",18.6,16.2,17.4,17.0,17.0,17.0,17.0,17.0,23.97,500.0,9.0
"January, 2015","13,5  0 (0%)",14.4,12.6,13.5,13.5,13.5,13.5,13.5,13.5,19.03,100.0,1.000
"February, 2015","11,5  0,3 (2,68%)",11.9,10.5,11.2,11.0,11.5,11.0,11.5,11.17,16.21,6.75,75.0
"March, 2015","9,2  0 (0%)",98.0,86.0,92.0,97.0,97.0,92.0,92.0,94.1,12.97,430.0,4.0
