Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2016","16,5  0 (0%)",17.65,15.35,16.5,17.0,17.0,16.5,16.5,16.78,95.4,1.79,30.0
"February, 2016","16,5  0 (0%)",17.65,15.35,16.5,16.5,16.5,16.5,16.5,16.5,95.4,20.0,1.0
"March, 2016","16,9  0 (0%)",18.05,15.75,16.9,16.0,16.9,16.0,16.9,16.009999999999998,94.9,660.0,11.0
"April, 2016","16  -0,9 (-5,33%)",18.05,15.75,16.9,16.0,16.0,16.0,16.0,16.0,89.8,10.0,130.000
"May, 2016","16  0,2 (1,27%)",16.6,14.6,15.8,16.0,16.0,15.2,16.0,15.26,89.0,1.33,20.0
"June, 2016","14,4  0,3 (2,13%)",15.0,13.2,14.1,14.4,14.4,14.0,14.4,14.080000000000002,79.6,2.55,36.000
"July, 2016","14,6  0,2 (1,39%)",15.4,13.4,14.4,14.7,14.7,14.2,14.6,14.54,84.2,7.47,109.000
"August, 2016","15,3  0,2 (1,32%)",16.1,14.1,15.1,15.1,15.3,15.1,15.3,15.1,83.4,450.0,7.000
"September, 2016","15,8  0 (0%)",16.9,14.7,15.8,15.8,15.8,15.8,15.8,15.8,91.4,1.02,16.000
"October, 2016","17  0,9 (5,59%)",17.2,15.0,16.1,17.0,17.0,17.0,17.0,17.0,95.4,10.0,1.000
"November, 2016","16,5  0 (0%)",17.65,15.35,16.5,0.0,0.0,0.0,16.5,0.0,95.4,10.98,181.0
"December, 2016",16  0 (0%),17.1,14.9,16.0,16.0,16.0,16.0,16.0,16.0,98.3,300.0,5.0
"January, 2017","17,5  0,6 (3,55%)",18.05,15.75,16.9,17.2,17.5,17.2,17.5,17.32,10.89,4.5,78.0
"February, 2017","19,5  0 (0%)",20.85,18.15,19.5,19.5,19.5,19.5,19.5,19.5,12.13,2.0,39.0
"March, 2017","18,3  0 (0%)",19.55,17.05,18.3,18.3,18.3,18.3,18.3,18.3,12.32,1.0,18.0
"April, 2017","18,4  0,3 (1,66%)",19.35,16.85,18.1,18.5,18.5,18.4,18.4,18.26,12.39,2.3,42.0
"May, 2017","19,55  0,45 (2,36%)",20.4,17.8,19.1,19.5,19.6,19.1,19.55,19.45,13.16,5.5,107.0
"June, 2017","20  0,15 (0,76%)",21.2,18.5,19.85,20.0,20.0,19.85,20.0,20.0,13.47,11.45,229.0
"July, 2017","20,6  0,1 (0,49%)",21.9,19.1,20.5,20.6,20.6,20.6,20.6,20.0,13.87,650.0,13.0
"August, 2017","20,9  0 (0%)",22.35,19.45,20.9,20.9,20.9,20.9,20.9,21.0,14.71,5.0,105.0
"September, 2017","21,2  0,4 (1,92%)",22.25,19.35,20.8,21.0,21.4,21.0,21.2,20.98,14.919999999999998,15.73,330.000
"October, 2017","22,85  -0,05 (-0,22%)",24.5,21.3,22.9,21.8,22.85,21.8,22.85,22.32,16.09,20.0,447
"November, 2017",22  0 (0%),23.5,20.5,22.0,21.6,22.0,21.5,22.0,21.53,15.49,3.53,76.0
"December, 2017",23  0 (0%),24.6,21.4,23.0,23.0,23.3,23.0,23.0,23.0,16.19,7.39,170.000
"January, 2018","23,6  0 (0%)",25.25,21.95,23.6,23.6,24.7,23.5,23.6,23.53,17.64,16.96,399.0
"February, 2018","23,5  -1,5 (-6%)",26.75,23.25,25.0,24.3,24.3,23.5,23.5,24.0,17.57,2.0,48.0
