Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"June, 2016",132  0 (0%),0.0,0.0,0.0,13.2,13.2,13.2,13.2,13.2,134.02,3.010,397.000
"July, 2016","141,2  9,2 (6,97%)",14.12,12.28,13.2,14.12,14.12,14.12,14.12,14.12,143.36,285.330,35.204.750
"August, 2016","151  9,8 (6,94%)",15.1,13.14,14.12,15.1,15.1,15.1,15.1,15.1,153.31,1.000,151.000
"September, 2016","161,5  10,5 (6,95%)",16.15,14.05,15.1,15.1,16.15,15.1,16.15,154.52,163.97,2.889.410,433.425.000
"October, 2016",,,,,,,,,,,,
"November, 2016",,,,,,,,,,,,
"December, 2016","197,7  0,7 (0,36%)",21.07,18.33,19.7,19.8,19.8,19.55,19.77,196.23,203.78,123.74,24.671.900
"January, 2017","223,8  1,8 (0,81%)",23.75,20.65,22.2,22.2,22.380000000000003,22.0,22.380000000000003,221.54,227.63,18.8,4.165.000
"February, 2017","225,1  0 (0%)",24.08,20.94,22.51,22.55,22.62,22.51,22.51,225.66,228.96,50.72,11.445.000
"March, 2017","200  -2 (-0,99%)",21.61,18.79,20.2,20.2,20.2,20.0,20.0,200.81,201.14,10.83,2.175.000
"April, 2017","199,9  0 (0%)",21.380000000000003,18.6,19.99,19.99,20.0,19.8,19.99,19.96,201.04,7.59,1.515.000
"May, 2017","189,1  -1,9 (-0,99%)",20.43,17.77,19.1,19.02,19.11,18.91,18.91,19.05,190.18,1.595.970,306.225.000
"June, 2017","208,3  1,8 (0,87%)",22.09,19.21,20.65,20.65,20.9,20.65,20.83,208.48,209.49,81.4,16.970.000
"July, 2017","236,9  1,4 (0,59%)",25.19,21.91,23.55,23.2,23.69,23.2,23.69,236.06,238.26,95.52,22.548.000
"August, 2017","251  1 (0,4%)",26.75,23.25,25.0,24.71,25.53,24.71,25.1,251.81,252.44,49.74,12.525.000
"September, 2017","260  -6,1 (-2,29%)",28.47,24.75,26.610000000000003,26.6,27.25,26.0,26.0,265.32,261.49,13.64,3.619.000
"October, 2017","285,6  -1,4 (-0,49%)",30.7,26.7,28.7,28.7,28.7,28.31,28.56,285.62,287.23,3.06,874.000
"November, 2017","329  -10 (-2,95%)",36.27,31.53,33.9,34.18,34.7,32.9,32.9,339.25,330.88,59.88,20.314.000
"December, 2017","249,3  0,1 (0,04%)",26.660000000000004,23.18,24.92,25.380000000000003,25.380000000000003,24.92,24.93,250.28000000000003,250.73,170.35,42.636.000
"January, 2018","247  1 (0,41%)",26.32,22.880000000000003,24.6,24.6,25.2,24.6,24.7,248.68,251.79,124.31,30.914.000
"February, 2018","235,2  -6,3 (-2,61%)",25.84,22.46,24.15,24.2,24.2,23.52,23.52,238.52,239.76,301.78,72.277.000
"March, 2018","240,6  1,5 (0,63%)",25.58,22.24,23.91,23.91,24.2,23.91,24.06,240.19,245.27,96.08,23.094.000
"April, 2018","213  -6 (-2,74%)",23.43,20.37,21.9,21.85,22.05,21.3,21.3,215.69,217.13,89.76,19.360.000
"May, 2018","240  11 (4,8%)",24.5,21.3,22.9,22.9,24.5,22.4,24.0,239.04,244.66,210.92,50.418.000
"June, 2018","225,5  6,1 (2,78%)",23.47,20.41,21.94,21.94,22.55,21.61,22.55,222.36,229.88,119.82,26.643.000
