Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","12,8  0 (0%)",13.6,12.0,12.8,0.0,0.0,0.0,12.8,0.0,67.2,2.25,32.0
"February, 2014","16,3  0,3 (1,88%)",17.1,14.9,16.0,16.9,16.9,16.0,16.3,16.009999999999998,83.8,15.58,249.416
"March, 2014","17,3  0 (0%)",18.5,16.1,17.3,17.0,17.3,16.5,17.3,16.6,90.9,44.55,739.675
"April, 2014","17,8  -0,2 (-1,11%)",19.2,16.8,18.0,18.2,18.2,17.0,17.8,17.330000000000002,93.5,45.22,783.462
"May, 2014","14,9  -0,9 (-5,7%)",16.9,14.7,15.8,15.0,16.0,14.9,14.9,15.0,78.3,14.92,224.0
"June, 2014","14,8  0,8 (5,71%)",14.9,13.1,14.0,13.5,14.8,13.5,14.8,13.62,77.7,110.0,1.0
"July, 2014","14,1  0 (0%)",15.0,13.2,14.1,0.0,0.0,0.0,14.1,0.0,74.1,1.0,14.000
"August, 2014","14  0,7 (5,26%)",14.2,12.4,13.3,13.5,14.0,13.5,14.0,13.53,73.5,1.04,14.0
"September, 2014","13,1  0,8 (6,5%)",13.1,11.5,12.3,12.4,13.1,12.4,13.1,12.99,68.8,62.38,810.0
"October, 2014","12,2  0,1 (0,83%)",12.9,11.3,12.1,12.1,12.3,12.1,12.2,12.19,64.1,11.69,142.0
"November, 2014","12,8  -0,2 (-1,54%)",13.9,12.1,13.0,13.5,13.5,12.8,12.8,12.81,67.2,7.81,100.0
"December, 2014","12,9  0 (0%)",13.8,12.0,12.9,0.0,0.0,0.0,12.9,0.0,67.8,3.36,43.0
"January, 2015","12,7  0,4 (3,25%)",13.1,11.5,12.3,12.4,12.7,12.3,12.7,12.4,66.7,350.0,4.0
"February, 2015","12,6  0 (0%)",13.4,11.8,12.6,12.3,12.6,11.9,12.6,11.92,66.2,2.03,24.0
"March, 2015","10,8  -0,1 (-0,92%)",11.6,10.2,10.9,10.4,11.6,10.4,10.8,10.47,56.7,920.0,10.0
