Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","11,8  -0,1 (-0,84%)",12.7,11.1,11.9,11.8,11.9,11.7,11.8,11.76,78.0,29.17,343.0
"February, 2014","10,1  0 (0%)",10.8,94.0,10.1,10.1,10.1,10.0,10.1,10.01,6.0,36.76,368.021
"March, 2014","11,6  0 (0%)",12.4,10.8,11.6,11.6,11.7,11.4,11.6,11.57,68.9,91.86,1.062.770
"April, 2014",11  0 (0%),11.7,10.3,11.0,11.0,11.2,11.0,11.0,11.08,65.4,167.81,1.859.279
"May, 2014","9,6  0 (0%)",10.2,9.0,96.0,96.0,97.0,96.0,96.0,96.0,63.4,15.02,144.0
"June, 2014","9,9  0 (0%)",10.5,93.0,99.0,99.0,10.0,99.0,99.0,99.0,65.4,74.16,734.000
"July, 2014","9,8  0,1 (1,03%)",10.3,91.0,97.0,97.0,98.0,97.0,98.0,97.1,64.7,14.06,136.000
"August, 2014","10,7  0 (0%)",11.4,10.0,10.7,10.8,10.8,10.7,10.7,10.72,70.7,58.77,630.000
"September, 2014","11  -0,1 (-0,9%)",11.8,10.4,11.1,11.0,11.2,11.0,11.0,11.09,72.7,133.23,1.478.000
"October, 2014","12,1  0 (0%)",12.9,11.3,12.1,12.1,12.1,11.9,12.1,12.04,79.9,62.7,755.000
"November, 2014","11,9  0,2 (1,71%)",12.5,10.9,11.7,11.6,11.9,11.6,11.9,11.76,78.6,32.08,377.0
"December, 2014",11  0 (0%),11.7,10.3,11.0,11.1,11.1,10.9,11.0,11.0,72.7,58.2,640.0
"January, 2015","10,7  0 (0%)",11.4,10.0,10.7,10.7,10.7,10.6,10.7,10.65,70.7,53.83,573.0
"February, 2015","11  0,1 (0,92%)",11.6,10.2,10.9,10.8,11.0,10.8,11.0,10.9,72.7,23.99,261.000
"March, 2015","10,7  0,1 (0,94%)",11.3,99.0,10.6,10.6,10.7,10.5,10.7,10.57,70.7,192.03,2.030.000
"April, 2015",11  0 (0%),11.7,10.3,11.0,10.9,11.0,10.9,11.0,10.94,72.7,25.13,275.0
"May, 2015","10,1  -0,2 (-1,94%)",11.0,96.0,10.3,10.3,10.3,10.1,10.1,10.14,73.3,31.84,323.000
"June, 2015","10  -0,1 (-0,99%)",10.8,94.0,10.1,10.0,10.1,10.0,10.0,10.01,72.6,117.8,1.179.000
"July, 2015",10  0 (0%),10.7,93.0,10.0,10.0,10.0,10.0,10.0,10.0,72.6,1.06,11.0
"August, 2015","9,7  -0,2 (-2,02%)",10.5,93.0,99.0,96.0,97.0,96.0,97.0,96.0,71.2,74.23,713.0
"September, 2015","9,2  0 (0%)",98.0,86.0,92.0,92.0,92.0,92.0,92.0,92.0,63.9,100.65,926.000
"October, 2015","9,3  0,1 (1,09%)",98.0,86.0,92.0,92.0,94.0,92.0,93.0,93.2,65.3,30.9,288.0
"November, 2015","9,3  0 (0%)",99.0,87.0,93.0,92.0,93.0,9.0,93.0,91.0,65.3,94.01,855.000
"December, 2015","9,7  0,6 (6,59%)",97.0,85.0,91.0,9.0,97.0,9.0,97.0,92.5,69.6,15.41,143.0
"January, 2016","9,4  -0,2 (-2,08%)",10.2,9.0,96.0,96.0,96.0,94.0,94.0,95.0,64.7,19.65,187.0
"February, 2016","9,5  0,1 (1,06%)",10.0,88.0,94.0,95.0,95.0,95.0,95.0,95.0,65.4,20.0,99.000
"March, 2016","9,6  0,1 (1,05%)",10.1,89.0,95.0,95.0,96.0,95.0,96.0,95.0,66.8,49.4,469.000
"April, 2016","9,4  -0,1 (-1,05%)",10.1,89.0,95.0,94.0,94.0,94.0,94.0,94.0,64.0,12.51,118.0
"May, 2016","9,8  0,2 (2,08%)",10.2,9.0,96.0,0.0,99.0,96.0,98.0,98.2,66.8,41.61,409.0
"June, 2016","9,6  0,1 (1,05%)",10.1,89.0,95.0,96.0,96.0,95.0,96.0,95.7,67.4,31.28,299.000
"July, 2016","9,6  0 (0%)",10.2,9.0,96.0,96.0,96.0,96.0,96.0,96.0,68.9,6.5,62.000
"August, 2016","10,2  0 (0%)",10.9,95.0,10.2,10.0,10.3,10.0,10.2,10.18,73.9,50.75,517.0
"September, 2016","10,6  -0,1 (-0,93%)",11.4,99.6,10.7,10.6,10.6,10.5,10.6,10.6,77.7,186.26,1.974.000
"October, 2016","11,25  -0,05 (-0,44%)",12.05,10.55,11.3,11.25,11.25,11.2,11.25,11.22,81.2,19.82,222.000
"November, 2016","10,6  0,1 (0,95%)",11.2,97.7,10.5,10.55,10.7,10.55,10.6,10.65,83.4,556.92,5.455.898
"December, 2016","11,35  -0,05 (-0,44%)",12.15,10.65,11.4,10.95,11.4,10.95,11.35,11.31,90.8,10.7,121.000
"January, 2017","12,1  0,55 (4,76%)",12.35,10.75,11.55,11.55,12.1,11.5,12.1,11.81,96.8,29.21,345.0
"February, 2017","12,9  0,1 (0,78%)",13.65,11.95,12.8,12.85,13.0,12.85,12.9,12.919999999999998,10.32,122.01,1.576.000
"March, 2017","13,9  0,1 (0,72%)",14.75,12.85,13.8,13.8,13.95,13.55,13.9,13.87,11.16,6.13,85.000
"April, 2017","13,3  0,2 (1,53%)",14.0,12.2,13.1,13.2,13.4,13.2,13.3,13.2,10.68,70.74,934.000
"May, 2017","13,95  0 (0%)",14.9,13.0,13.95,13.95,14.1,13.85,13.95,14.02,12.06,56.64,794.000
"June, 2017","15  0,05 (0,33%)",15.95,13.95,14.95,15.0,15.0,14.9,15.0,14.98,12.97,26.91,403.000
"July, 2017","15,9  -0,1 (-0,62%)",17.1,14.9,16.0,16.1,16.1,15.7,15.9,15.86,13.74,75.48,1.197.000
"August, 2017","15,5  0 (0%)",16.55,14.45,15.5,15.5,15.55,15.45,15.5,15.5,13.4,67.44,1.045.000
"September, 2017","15,85  0 (0%)",16.95,14.75,15.85,15.85,15.85,15.6,15.85,15.79,13.7,1.52,24.0
"October, 2017","15,7  -0,25 (-1,57%)",17.05,14.85,15.95,15.8,15.9,15.7,15.7,15.79,13.57,7.98,126.0
"November, 2017","16,85  0,05 (0,3%)",17.95,15.65,16.8,17.0,17.0,16.8,16.85,16.93,14.57,93.89,1.590.000
"December, 2017","16,35  0 (0%)",17.45,15.25,16.35,16.35,16.7,16.35,16.35,16.369999999999997,14.830000000000002,43.01,704.000
"January, 2018","16,2  0,2 (1,25%)",17.1,14.9,16.0,16.0,16.2,16.0,16.2,16.0,14.69,34.62,554.000
"February, 2018","15,9  -0,3 (-1,85%)",17.3,15.1,16.2,16.2,16.2,15.9,15.9,15.97,14.419999999999998,22.67,362.0
"March, 2018","15,3  0 (0%)",16.35,14.25,15.3,15.1,15.4,15.1,15.3,15.2,13.88,26.9,409.0
"April, 2018","15,2  -0,05 (-0,33%)",16.3,14.2,15.25,15.2,15.2,15.15,15.2,15.15,14.43,12.61,191.0
"May, 2018","14,8  -0,05 (-0,34%)",15.85,13.85,14.85,15.0,15.0,14.7,14.8,14.79,14.05,8.25,122.000
"June, 2018","14,8  0 (0%)",15.8,13.8,14.8,14.6,14.8,14.6,14.8,14.63,14.05,8.61,126.0
"July, 2018",15  0 (0%),16.05,13.95,15.0,14.8,15.0,14.8,15.0,15.15,14.24,330.0,5.000
"August, 2018","14,4  0 (0%)",15.4,13.4,14.4,14.45,14.5,14.4,14.4,14.419999999999998,13.669999999999998,12.14,175.0
"September, 2018","14,6  -0,1 (-0,68%)",15.7,13.7,14.7,14.6,14.6,14.55,14.6,14.54,13.86,8.39,122.0
"October, 2018","13,95  -0,05 (-0,36%)",14.95,13.05,14.0,13.95,13.95,13.95,13.95,13.94,13.25,11.48,160.0
"November, 2018","14,5  0 (0%)",15.5,13.5,14.5,14.45,14.55,14.45,14.5,14.52,13.77,11.64,169.000
"December, 2018","14,2  0 (0%)",15.15,13.25,14.2,14.4,14.5,14.0,14.2,14.12,13.48,16.01,226.0
"January, 2019","14,2  -0,1 (-0,7%)",15.3,13.3,14.3,14.3,14.3,14.2,14.2,14.22,13.48,20.18,287.0
"February, 2019","14,6  0,2 (1,39%)",15.4,13.4,14.4,14.6,14.6,14.6,14.6,14.6,13.86,30.0,438.0
"March, 2019","14,4  -0,05 (-0,35%)",15.45,13.45,14.45,14.5,14.6,14.4,14.4,14.419999999999998,13.669999999999998,32.52,469.0
"April, 2019","14,7  0,1 (0,68%)",15.6,13.6,14.6,14.7,14.7,14.7,14.7,14.7,13.96,2.79,41.0
"May, 2019","13,95  -0,05 (-0,36%)",14.95,13.05,14.0,14.1,14.1,13.95,13.95,13.96,14.39,15.9,222.0
"June, 2019","13,85  0 (0%)",14.8,12.9,13.85,13.8,13.9,13.8,13.85,13.85,14.29,26.57,368.0
"July, 2019",14  0 (0%),14.95,13.05,14.0,14.0,14.0,13.7,14.0,14.05,14.44,6.05,85.0
"August, 2019","15  0,35 (2,39%)",15.65,13.65,14.65,14.7,15.0,14.7,15.0,14.919999999999998,15.47,23.92,357.000
"September, 2019","14,95  -0,05 (-0,33%)",16.05,13.95,15.0,15.0,15.0,14.5,14.95,14.95,15.419999999999998,14.31,214.0
