Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014",11  0 (0%),11.7,10.3,11.0,10.8,11.1,10.8,11.0,11.0,69.5,131.3,1.444.000
"February, 2014","12,6  -0,2 (-1,56%)",13.6,12.0,12.8,12.9,12.9,12.6,12.6,12.72,76.3,157.95,2.008.623
"March, 2014","13,1  0,1 (0,77%)",13.9,12.1,13.0,13.0,13.1,12.9,13.1,12.99,79.4,369.2,4.795.501
"April, 2014","12,2  -0,2 (-1,61%)",13.2,11.6,12.4,12.4,12.4,12.2,12.2,12.27,73.9,120.39,1.476.854
"May, 2014","12  -0,6 (-4,76%)",13.4,11.8,12.6,12.5,12.6,12.0,12.0,12.17,72.7,665.38,8.098.000
"June, 2014","12,2  0,1 (0,83%)",12.9,11.3,12.1,12.1,12.2,11.9,12.2,12.1,77.1,61.64,746.000
"July, 2014",12  0 (0%),12.8,11.2,12.0,12.0,12.1,12.0,12.0,12.03,75.8,26.9,324.0
"August, 2014",12  0 (0%),12.8,11.2,12.0,12.0,12.0,11.9,12.0,11.97,75.8,353.69,4.232.000
"September, 2014","11,7  0,1 (0,86%)",12.4,10.8,11.6,11.6,11.7,11.6,11.7,11.65,73.9,55.360,645.000
"October, 2014","10,8  0,2 (1,89%)",11.3,99.0,10.6,10.6,10.8,10.5,10.8,10.59,68.2,52.67,558.000
"November, 2014",11  0 (0%),11.7,10.3,11.0,11.0,11.1,10.8,11.0,10.96,69.5,151.58,1.662.000
"December, 2014","12,9  0,6 (4,88%)",13.1,11.5,12.3,12.3,12.9,12.2,12.9,12.67,81.5,244.0,3.092.000
"January, 2015","10,8  -0,2 (-1,82%)",11.7,10.3,11.0,10.9,11.0,10.7,10.8,10.84,68.2,839.850,9.101.000
"February, 2015","11,4  0 (0%)",12.1,10.7,11.4,11.4,11.4,11.2,11.4,11.31,72.0,47.78,541.000
"March, 2015","10,9  -0,2 (-1,8%)",11.8,10.4,11.1,11.1,11.1,10.9,10.9,11.06,68.9,86.5,957.000
"April, 2015","10,4  -0,3 (-2,8%)",11.4,10.0,10.7,10.7,10.7,10.4,10.4,10.41,65.7,27.32,284.0
"May, 2015","12,2  0,1 (0,83%)",12.9,11.3,12.1,12.1,12.5,11.9,12.2,12.18,77.1,406.170,4.947.000
"June, 2015","13,7  0,1 (0,74%)",14.5,12.7,13.6,13.4,13.8,13.4,13.7,13.64,86.5,452.190,6.169.000
"July, 2015","16  0,6 (3,9%)",16.4,14.4,15.4,15.4,16.1,15.2,16.0,15.62,10.11,5.934.660,92.707.000
"August, 2015","14,1  0,1 (0,71%)",14.9,13.1,14.0,14.0,14.1,13.7,14.1,13.9,87.2,7.603.780,105.943.000
"September, 2015","13,7  0 (0%)",14.6,12.8,13.7,13.7,14.0,13.7,13.7,13.82,86.0,2.193.700,30.310.200
"October, 2015","15,7  0,1 (0,64%)",16.6,14.6,15.6,15.6,15.7,15.4,15.7,15.56,10.11,2.322.390,36.145.000
"November, 2015","18,2  -0,4 (-2,15%)",19.9,17.3,18.6,18.6,18.7,18.1,18.2,18.32,11.72,1.964.030,35.989.000
"December, 2015","24,1  0,5 (2,12%)",25.0,21.8,23.6,23.5,24.4,23.3,24.1,23.74,16.6,2.282.050,54.181.000
"January, 2016","26,8  -0,3 (-1,11%)",28.9,25.3,27.1,27.1,27.3,26.8,26.8,27.05,19.06,1.335.240,35.812.742
