Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","47,3  -0,8 (-1,66%)",51.4,44.75,48.1,47.5,48.0,47.0,47.3,47.77,25.43,20.81,994.000
"February, 2017",46  0 (0%),49.2,42.8,46.0,46.0,46.2,45.7,46.0,45.91,23.9,42.13,1.934.000
"March, 2017","45,4  -0,6 (-1,3%)",49.2,42.8,46.0,45.8,45.95,45.0,45.4,45.48,23.59,40.83,1.857.000
"April, 2017","47,5  0,2 (0,42%)",50.6,44.0,47.3,47.4,47.5,47.0,47.5,47.25,25.54,14.75,697.000
"May, 2017","41,8  0,4 (0,97%)",44.25,38.55,41.4,41.5,41.9,41.5,41.8,41.79,20.630000000000003,17.35,725.000
"June, 2017","44  0,1 (0,23%)",46.95,40.85,43.9,44.1,44.1,43.6,44.0,44.010000000000005,21.72,30.99,1.364.000
"July, 2017","42,2  0 (0%)",45.15,39.25,42.2,42.1,42.4,41.55,42.2,42.010000000000005,21.8,19.95,838.000
"August, 2017","43,5  0,5 (1,16%)",46.0,40.0,43.0,43.65,43.9,43.45,43.5,43.71,22.47,232.37,10.115.000
"September, 2017","46,5  0,55 (1,2%)",49.15,42.75,45.95,45.7,46.5,44.6,46.5,45.260000000000005,24.05,32.46,1.469.000
"October, 2017","45,8  -1,2 (-2,55%)",50.2,43.75,47.0,47.4,47.4,45.6,45.8,46.03,23.8,51.21,2.357.000
"November, 2017","48,1  1,1 (2,34%)",50.2,43.75,47.0,46.9,48.1,46.6,48.1,47.24,25.85,65.75,3.106.000
"December, 2017","35,5  0,2 (0,57%)",37.75,32.85,35.3,35.6,35.9,35.3,35.5,35.44,25.54,3.16,112.000
"January, 2018","33,2  0,1 (0,3%)",35.4,30.8,33.1,33.1,33.5,33.1,33.2,33.14,23.89,26.01,862.000
"February, 2018","33,55  -0,55 (-1,61%)",36.45,31.75,34.1,34.1,34.1,33.55,33.55,33.92,24.14,2.83,96.0
"March, 2018","32,45  0,4 (1,25%)",34.25,29.85,32.05,32.95,32.95,32.0,32.45,32.260000000000005,23.35,1.24,40.000
"April, 2018","30,4  -0,3 (-0,98%)",32.8,28.6,30.7,30.5,30.7,30.4,30.4,30.53,21.87,8.91,272.000
"May, 2018","29,85  0 (0%)",31.9,27.8,29.85,0.0,0.0,0.0,29.85,0.0,21.48,28.02,835.0
"June, 2018","28,9  0 (0%)",30.9,26.9,28.9,29.0,29.0,28.8,28.9,28.89,21.87,11.7,338.000
"July, 2018","27,4  0 (0%)",29.3,25.5,27.4,27.4,27.4,27.4,27.4,27.5,20.73,1.6,44.0
"August, 2018","24,85  0,25 (1,02%)",26.3,22.9,24.6,26.3,26.3,24.85,24.85,33.33,18.8,30.0,1.0
"September, 2018",25  0 (0%),26.75,23.25,25.0,0.0,0.0,0.0,25.0,0.0,18.92,2.0,50.0
"October, 2018",24  0 (0%),25.65,22.35,24.0,0.0,0.0,0.0,24.0,0.0,18.16,10.0,240.0
"November, 2018","15,3  0,5 (3,38%)",15.8,13.8,14.8,14.85,15.8,14.85,15.3,15.080000000000002,11.58,4.31,65.000
"December, 2018","15  -0,45 (-2,91%)",16.5,14.4,15.45,14.7,15.0,14.5,15.0,14.85,11.35,9.36,139.0
"January, 2019","12  -0,9 (-6,98%)",13.8,12.0,12.9,12.0,12.1,12.0,12.0,11.98,95.1,12.77,153.0
"February, 2019","13,7  0,2 (1,48%)",14.4,12.6,13.5,13.5,13.7,13.3,13.7,13.59,10.85,1.03,14.0
"March, 2019","12,2  0 (0%)",13.05,11.35,12.2,12.3,12.3,12.2,12.2,12.16,96.6,2.22,27.0
"April, 2019","13,5  0,5 (3,85%)",13.9,12.1,13.0,13.4,13.5,13.4,13.5,13.69,10.69,1.68,23.0
"May, 2019","12,7  0,1 (0,79%)",13.45,11.75,12.6,12.7,12.7,12.7,12.7,12.7,11.08,10.0,127.0
"June, 2019","11,85  0 (0%)",12.65,11.05,11.85,11.85,11.85,11.85,11.85,10.0,10.34,100.0,1.0
"July, 2019","8,8  0 (0%)",94.1,81.9,88.0,86.0,88.0,85.0,88.0,88.4,77.0,2.94,26.0
"August, 2019","8,33  0,53 (6,79%)",83.4,72.6,78.0,83.4,83.4,83.3,83.3,85.5,72.9,1.17,10.000
"September, 2019",7  0 (0%),74.9,65.1,7.0,70.5,70.5,7.0,7.0,69.1,61.3,3.76,26.0
"October, 2019","6,7  -0,3 (-4,29%)",74.9,65.1,7.0,66.0,67.0,65.1,67.0,64.7,58.6,5.1,33.0
"November, 2019","7,2  0,2 (2,86%)",74.9,65.1,7.0,72.0,72.0,69.9,72.0,70.4,63.0,10.66,75.0
"December, 2019","10,05  0 (0%)",10.75,93.5,10.05,10.05,10.05,10.05,10.05,10.04,88.6,27.2,273.0
"January, 2020","10,65  0 (0%)",11.35,99.1,10.65,10.2,10.65,10.0,10.65,10.25,10.22,4.88,50.0
"February, 2020","9,65  0 (0%)",10.3,89.8,96.5,97.0,97.0,92.5,96.5,96.4,94.3,4.77,46.0
"March, 2020","9,49  0,04 (0,42%)",10.1,87.9,94.5,94.5,95.0,94.5,94.9,94.4,94.9,11.44,108.0
"April, 2020","9,29  0,29 (3,22%)",96.3,83.7,9.0,9.0,92.9,88.9,92.9,90.6,92.9,48.58,440.0
"May, 2020","11,4  0,4 (3,64%)",11.75,10.25,11.0,10.4,11.4,10.25,11.4,10.36,11.4,21.13,219.0
"June, 2020","9,9  0,11 (1,12%)",10.45,91.1,97.9,98.5,99.0,93.8,99.0,98.2,0.0,39.0,383.000
"July, 2020","9,2  0 (0%)",98.4,85.6,92.0,92.0,92.0,88.1,92.0,91.9,0.0,11.75,108.0
"August, 2020","9,8  -0,05 (-0,51%)",10.5,91.7,98.5,98.8,98.8,98.0,98.0,98.3,0.0,18.93,186.000
"September, 2020",11  0 (0%),11.75,10.25,11.0,11.0,11.1,10.8,11.0,10.94,0.0,42.43,464.000
"October, 2020","10,5  0,05 (0,48%)",11.15,97.2,10.45,10.45,10.5,10.45,10.5,10.44,0.0,24.99,261.0
"November, 2020","10,8  -1,2 (-10%)",11.55,10.05,12.0,11.55,11.55,10.55,10.8,10.87,0.0,53.18,578.000
"December, 2020","12,4  0,3 (2,48%)",12.9,11.3,12.1,12.1,12.6,12.1,12.4,12.25,0.0,66.51,815.000
"January, 2021","12,2  0,25 (2,09%)",12.75,11.15,11.95,11.95,12.7,11.95,12.2,12.04,0.0,36.8,443.000
"February, 2021","12,6  0 (0%)",13.45,11.75,12.6,12.4,12.65,12.4,12.6,12.55,0.0,92.9,1.166.000
"March, 2021","17,25  0,1 (0,58%)",18.35,15.95,17.15,18.0,18.05,17.2,17.25,17.7,0.0,151.6,2.684.000
"April, 2021","15,65  -0,1 (-0,63%)",16.85,14.65,15.75,15.75,15.8,15.5,15.65,15.68,0.0,100.9,1.582.000
"May, 2021","13,3  -0,15 (-1,12%)",14.35,12.55,13.45,13.2,13.45,13.2,13.3,13.330000000000002,0.0,89.2,1.189.000
"June, 2021","14,4  0 (0%)",15.4,13.4,14.4,14.6,14.6,13.8,14.4,14.21,0.0,103.4,1.469.000
"July, 2021","13,95  -0,05 (-0,36%)",14.95,13.05,14.0,13.95,13.95,13.9,13.95,13.88,0.0,39.7,551.000
"August, 2021","17,2  0,3 (1,78%)",18.05,15.75,16.9,16.9,17.2,16.55,17.2,16.91,0.0,276.8,4.682.000
"September, 2021","15,25  -0,25 (-1,61%)",16.55,14.45,15.5,15.2,15.45,15.2,15.25,15.26,0.0,35.0,534.000
"October, 2021","16  -0,1 (-0,62%)",17.2,15.0,16.1,16.2,16.2,15.75,16.0,15.91,0.0,154.7,2.462.000
"November, 2021","17,4  0,2 (1,16%)",18.4,16.0,17.2,17.4,17.4,17.2,17.4,17.3,0.0,91.6,1.585.000
"December, 2021","17,35  -0,45 (-2,53%)",19.0,16.6,17.8,17.55,17.6,17.25,17.35,17.380000000000003,0.0,187.5,3.258.000
