Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","25,2  -1,8 (-6,67%)",28.8,25.2,27.0,25.2,25.2,25.2,25.2,25.2,93.5,410.0,10.000
"February, 2014","24  0,1 (0,42%)",25.5,22.3,23.9,24.4,24.4,23.2,24.0,24.0,86.6,3.74,89.742
"March, 2014",26  0 (0%),27.8,24.2,26.0,25.0,26.0,25.0,26.0,25.1,93.8,570.0,14.305
"April, 2014","27,1  -2 (-6,87%)",31.1,27.1,29.1,27.1,27.1,27.1,27.1,27.1,97.8,70.12,2.040.252
"May, 2014","27,8  1,3 (4,91%)",28.3,24.7,26.5,26.2,27.8,26.2,27.8,27.43,10.03,90.0,2.000
"June, 2014","26,5  0 (0%)",28.3,24.7,26.5,26.5,26.5,26.5,26.5,26.5,91.1,1.34,36.000
"July, 2014","25,9  -0,5 (-1,89%)",28.2,24.6,26.4,26.4,26.4,25.2,25.9,25.29,96.1,920.0,23.000
"August, 2014","25,4  0,9 (3,67%)",26.2,22.8,24.5,25.0,25.4,25.0,25.4,25.01,94.2,3.8,95.000
"September, 2014","25,5  -1,1 (-4,14%)",28.4,24.8,26.6,25.5,26.4,25.5,25.5,25.65,94.6,2.4,62.000
"October, 2014","26,8  -0,1 (-0,37%)",28.7,25.1,26.9,26.6,26.8,26.6,26.8,26.68,99.4,1.21,32.000
"November, 2014",27  0 (0%),28.8,25.2,27.0,0.0,0.0,0.0,27.0,0.0,10.02,1.94,52.000
"December, 2014","25,2  0,3 (1,2%)",26.6,23.2,24.9,25.2,25.2,25.2,25.2,25.2,93.5,10.0,165.0
"January, 2015","22  -0,6 (-2,65%)",24.1,21.1,22.6,22.0,22.0,21.3,22.0,21.45,81.6,3.32,71.0
"February, 2015","25  0,6 (2,46%)",26.1,22.7,24.4,24.6,25.0,24.6,25.0,24.67,92.8,210.0,5.0
"March, 2015","20,7  -1,3 (-5,91%)",23.5,20.5,22.0,22.5,22.5,20.7,20.7,21.0,76.8,60.0,1.000
