Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","10,4  -0,2 (-1,89%)",11.6,96.0,10.6,10.7,10.8,10.4,10.4,10.65,68.0,3.465.675,36.772.342
"February, 2014","9,4  0,2 (2,17%)",10.1,83.0,92.0,9.0,94.0,9.0,94.0,91.6,57.9,5.469.024,50.177.925
"March, 2014","11,6  -0,3 (-2,52%)",13.0,10.8,11.9,11.9,12.5,11.6,11.6,11.86,69.8,4.632.838,54.921.082
"April, 2014","9,1  -0,2 (-2,15%)",10.2,84.0,93.0,94.0,94.0,88.0,91.0,90.2,62.4,3.228.900,29.149.045
"May, 2014","8,4  -0,2 (-2,33%)",94.0,78.0,86.0,85.0,86.0,83.0,84.0,84.8,49.1,5.163.985,43.782.553
"June, 2014","8,5  0 (0%)",93.0,77.0,85.0,85.0,86.0,85.0,85.0,85.4,52.0,2.689.683,22.966.843
"July, 2014","8,5  0,2 (2,41%)",91.0,75.0,83.0,83.0,86.0,83.0,85.0,84.7,53.2,2.254.567,19.128.500
"August, 2014","10,6  0,1 (0,95%)",11.5,95.0,10.5,10.5,10.7,10.3,10.6,10.48,66.8,4.732.808,49.630.637
"September, 2014","10,2  0 (0%)",11.2,92.0,10.2,10.2,10.3,10.0,10.2,10.16,68.3,2.952.079,29.990.319
"October, 2014","10  0,3 (3,09%)",10.6,88.0,97.0,97.0,10.0,97.0,10.0,98.2,67.2,2.932.068,28.833.164
"November, 2014","10,6  0,4 (3,92%)",11.2,92.0,10.2,10.3,10.9,10.2,10.6,10.57,69.6,11.542.690,122.013.257
"December, 2014","9,2  0,8 (9,52%)",92.0,76.0,84.0,85.0,92.0,85.0,92.0,89.2,69.4,7.305.290,65.265.964
"January, 2015","7,8  -0,4 (-4,88%)",9.0,74.0,82.0,82.0,83.0,77.0,78.0,78.9,61.3,6.301.944,49.724.653
"February, 2015","7,8  0 (0%)",85.0,71.0,78.0,79.0,8.0,78.0,78.0,78.9,63.6,727.987,5.739.787
"March, 2015","7,2  0,1 (1,41%)",78.0,64.0,71.0,71.0,73.0,71.0,72.0,72.1,61.6,918.650,6.622.000
"April, 2015","7,1  -0,1 (-1,39%)",79.0,65.0,72.0,72.0,72.0,65.0,71.0,66.6,60.3,4.243.750,28.607.697
"May, 2015","7,1  0 (0%)",78.0,64.0,71.0,71.0,72.0,69.0,71.0,70.2,48.2,4.826.373,33.895.144
"June, 2015","8,5  0,1 (1,19%)",92.0,76.0,84.0,84.0,86.0,84.0,85.0,85.2,52.5,3.754.195,31.963.592
"July, 2015","8,6  0 (0%)",94.0,78.0,86.0,86.0,86.0,85.0,86.0,85.6,49.2,2.180.171,18.696.651
"August, 2015","7,6  -0,1 (-1,3%)",84.0,7.0,77.0,77.0,78.0,75.0,76.0,76.4,40.9,951.041,7.261.972
"September, 2015","7,7  0,1 (1,32%)",83.0,69.0,76.0,76.0,77.0,76.0,77.0,76.3,41.6,928.079,7.092.462
"October, 2015",8  0 (0%),88.0,72.0,8.0,8.0,8.0,79.0,8.0,79.9,39.1,922.500,7.369.259
"November, 2015","8,5  -0,3 (-3,41%)",96.0,8.0,88.0,88.0,88.0,84.0,85.0,85.9,39.0,2.913.669,24.997.440
"December, 2015","8,7  0 (0%)",95.0,79.0,87.0,87.0,88.0,87.0,87.0,87.0,41.9,2.339.282,20.351.816
"January, 2016","9,3  0 (0%)",10.2,84.0,93.0,93.0,96.0,92.0,93.0,93.0,43.9,5.214.354,48.478.629
"February, 2016","9,6  0 (0%)",10.5,87.0,96.0,96.0,97.0,95.0,96.0,95.9,47.5,6.518.249,62.520.111
"March, 2016","8,7  -0,3 (-3,33%)",99.0,81.0,9.0,91.0,91.0,87.0,87.0,89.5,46.2,2.124.929,18.870.620
"April, 2016","9,2  0,1 (1,1%)",10.0,82.0,91.0,92.0,98.0,91.0,92.0,91.9,51.1,714.526,6.580.244
"May, 2016","9,4  0,1 (1,08%)",10.2,84.0,93.0,93.0,96.0,93.0,94.0,94.3,52.6,8.218.693,77.484.997
"June, 2016","9,7  0 (0%)",10.6,88.0,97.0,98.0,10.0,97.0,97.0,98.4,53.4,7.840.006,77.368.505
"July, 2016","9,9  0 (0%)",10.8,9.0,99.0,99.0,10.8,9.0,99.0,98.9,59.4,1.641.372,16.278.259
"August, 2016","10,3  0,1 (0,98%)",11.2,92.0,10.2,10.3,10.4,10.1,10.3,10.23,63.4,4.873.209,49.861.300
"September, 2016","9,7  -0,1 (-1,02%)",10.7,89.0,98.0,98.0,10.7,89.0,97.0,97.9,62.6,1.245.083,12.219.490
"October, 2016","9,4  0 (0%)",10.3,85.0,94.0,94.0,96.0,93.0,94.0,94.5,64.3,1.077.030,10.170.072
"November, 2016","8,51  0,02 (0,24%)",90.8,79.0,84.9,84.7,85.8,83.5,85.1,84.9,56.6,1.568.550,13.297.610
"December, 2016","8,6  -0,02 (-0,23%)",92.2,80.2,86.2,86.0,86.1,85.0,86.0,85.7,60.1,2.244.640,19.229.000
"January, 2017","8,24  0,04 (0,49%)",87.7,76.3,82.0,82.0,82.4,81.8,82.4,82.0,54.9,1.264.100,10.371.000
"February, 2017","8,75  0,24 (2,82%)",91.0,79.2,85.1,85.2,88.3,85.2,87.5,87.0,58.3,4.553.050,39.629.000
"March, 2017","8,04  -0,07 (-0,86%)",86.7,75.5,81.1,81.6,81.7,80.4,80.4,80.8,53.0,1.198.980,9.682.000
"April, 2017","8,6  0,09 (1,06%)",91.0,79.2,85.1,85.0,87.0,84.8,86.0,85.8,56.7,3.672.830,31.513.000
