Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","115  -2,98 (-2,5%)",13.69,10.13,11.91,11.8,11.9,11.3,11.5,116.12,105.17,41.690,4.840.770
"February, 2017","106,3  -0,16 (-0,15%)",12.24,90.6,10.65,10.65,10.67,10.42,10.63,106.34,97.21,18.89,2.008.640
"March, 2017","106,2  -0,29 (-0,27%)",12.22,90.4,10.63,10.7,10.7,10.53,10.62,106.01,97.12,25.5,2.703.350
"April, 2017","116  0,47 (0,4%)",13.35,98.7,11.61,11.6,11.85,11.6,11.6,116.56,106.08,17.060,1.988.685
"May, 2017","117  -0,74 (-0,63%)",13.4,99.2,11.66,11.65,13.4,11.5,11.7,115.86,10.7,459.920,60.542.560
"June, 2017","116,1  -0,04 (-0,03%)",13.32,98.6,11.59,11.6,11.61,11.5,11.61,115.86,106.18,49.330,5.715.389
"July, 2017","86,2  1,67 (1,94%)",99.1,73.3,86.2,90.0,90.0,86.2,86.2,87.88,78.83,54.53,4.791.700
"August, 2017",90  0 (0%),10.35,76.5,90.0,90.1,90.1,89.9,90.0,90.0,82.31,19.91,1.791.820
"September, 2017","91  0,21 (0,23%)",10.41,77.1,90.6,90.6,91.0,90.5,91.0,90.81,83.22,22.601,2.053.014
"October, 2017","106,5  0,04 (0,04%)",12.23,90.5,10.64,10.65,10.66,10.63,10.65,106.44,97.4,25.04,2.665.241
"November, 2017","119  -0,86 (-0,71%)",13.8,10.2,12.0,12.0,12.0,11.8,11.9,119.14,108.83,1.450,172.700
"December, 2017","122  2,12 (1,77%)",13.71,10.15,11.93,12.1,12.3,12.1,12.2,121.42,111.57,36.46,4.426.779
"January, 2018","162  8,07 (5,27%)",17.619999999999997,13.04,15.330000000000002,15.5,16.4,15.5,16.2,161.37,148.15,442.93,69.326.721
"February, 2018","159,5  0,97 (0,62%)",18.18,13.44,15.81,15.8,15.95,13.44,15.95,159.07,145.87,17.276,2.690.734
"March, 2018","176  0,31 (0,18%)",20.32,15.02,17.669999999999998,17.8,17.8,17.5,17.6,177.01,160.95999999999998,7.937,1.404.730
"April, 2018","170  -7,5 (-4,14%)",20.83,15.41,18.12,17.9,17.9,17.0,17.0,17.369999999999997,155.47,6.587000000000001,1.144.455
"May, 2018","150  -0,84 (-0,56%)",17.36,12.84,15.1,15.0,15.06,14.9,15.0,150.16,137.18,18.724,2.811.544
"June, 2018","184,4  0,04 (0,02%)",21.2,15.68,18.44,18.44,18.6,18.44,18.44,184.44,168.64,15.685,2.892.870
"July, 2018","168,5  1,97 (1,18%)",19.18,14.18,16.68,16.7,17.1,16.7,16.85,168.77,15.41,12.11,2.043.577
"August, 2018","166,9  -1,1 (-0,65%)",17.97,15.63,16.8,16.9,16.9,16.0,16.69,166.31,152.63,1.87,311.000
"September, 2018","152,1  -0,6 (-0,39%)",16.330000000000002,14.21,15.27,15.25,15.26,15.2,15.21,152.38,13.91,2.94,448.000
"October, 2018","145  -1 (-0,68%)",15.62,13.580000000000002,14.6,14.7,14.7,14.25,14.5,14.5,132.61,5.4,783.000
"November, 2018","150,3  0,3 (0,2%)",16.05,13.95,15.0,15.0,15.03,15.0,15.03,150.03,137.45,38.3,5.745.500
"December, 2018","144  5 (3,6%)",14.87,12.93,13.9,13.6,14.4,13.6,14.4,143.74,134.82,26.77,3.848.000
