Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","28,6  0 (0%)",30.6,26.6,28.6,28.1,28.9,28.0,28.6,28.32,23.1,21.39,606.000
"February, 2014","36,9  0 (0%)",39.4,34.4,36.9,0.0,0.0,0.0,36.9,0.0,23.630000000000003,7.56,279.644
"March, 2014","36,5  1,9 (5,49%)",37.0,32.2,34.6,35.0,37.0,35.0,36.5,35.19,24.11,2.95,103.818
"April, 2014","33,6  0 (0%)",35.9,31.3,33.6,0.0,0.0,0.0,33.6,0.0,22.19,2.27,76.722
"May, 2014","29,8  0 (0%)",31.8,27.8,29.8,29.5,30.3,27.9,29.8,28.35,20.76,12.69,360.0
"June, 2014","30,2  -0,1 (-0,33%)",32.4,28.2,30.3,28.3,30.2,28.2,30.2,28.37,20.97,6.9,196.0
"July, 2014","29,4  1,4 (5%)",29.9,26.1,28.0,29.4,29.4,28.1,29.4,28.72,20.41,200.0,6.0
"August, 2014","36  2,3 (6,82%)",36.0,31.4,33.7,36.0,36.0,35.9,36.0,36.0,24.99,701.86,25.265.000
"September, 2014","30,1  0 (0%)",32.2,28.0,30.1,30.0,30.2,29.5,30.1,29.96,22.76,104.62,3.135.000
"October, 2014","30,5  0,5 (1,67%)",32.1,27.9,30.0,29.9,30.5,29.9,30.5,29.98,23.07,34.49,1.034.000
"November, 2014","28,6  0,2 (0,7%)",30.3,26.5,28.4,28.4,28.9,28.1,28.6,28.33,23.1,13.11,371.000
"December, 2014","26,4  0,6 (2,33%)",27.6,24.0,25.8,26.5,26.5,25.9,26.4,26.19,21.32,4.66,122.000
"January, 2015","27,9  -0,3 (-1,06%)",30.1,26.3,28.2,28.1,28.2,27.9,27.9,28.03,22.54,9.46,265.000
"February, 2015","29,5  -0,2 (-0,67%)",31.7,27.7,29.7,29.9,29.9,29.2,29.5,29.46,23.83,12.0,353.000
"March, 2015","28,3  -0,2 (-0,7%)",30.4,26.6,28.5,28.5,28.5,28.3,28.3,28.42,22.86,1.78,51.000
"April, 2015","28,1  0,3 (1,08%)",29.7,25.9,27.8,27.9,28.5,27.5,28.1,27.860000000000003,22.7,23.19,646.000
"May, 2015","26,9  0,9 (3,46%)",27.8,24.2,26.0,25.0,27.2,25.0,26.9,25.83,21.73,22.46,580.000
"June, 2015","26,1  0,8 (3,16%)",27.0,23.6,25.3,25.2,26.5,25.2,26.1,25.9,21.08,122.87,3.183.000
"July, 2015","26,2  -0,1 (-0,38%)",28.1,24.5,26.3,25.7,26.2,25.5,26.2,25.62,21.16,11.82,303.0
"August, 2015","27,3  0,5 (1,87%)",28.6,25.0,26.8,27.8,27.8,26.8,27.3,26.84,24.56,3.08,83.000
"September, 2015","27,8  0 (0%)",29.7,25.9,27.8,28.0,28.3,27.8,27.8,27.9,25.29,4.14,116.000
"October, 2015","33,2  -1,4 (-4,05%)",37.0,32.2,34.6,34.6,34.6,33.2,33.2,33.95,32.8,85.43,2.900.000
"November, 2015","31,2  -0,1 (-0,32%)",33.4,29.2,31.3,31.4,31.4,30.9,31.2,31.03,30.83,55.1,1.710.000
"December, 2015","31,9  -0,1 (-0,31%)",34.2,29.8,32.0,32.5,32.9,31.9,31.9,32.0,31.05,18.69,598.000
"January, 2016","32  1,3 (4,23%)",32.8,28.6,30.7,29.5,32.0,29.5,32.0,31.94,30.45,2.59,83.0
"February, 2016","30,2  0,1 (0,33%)",32.2,28.0,30.1,30.2,30.5,30.2,30.2,30.22,28.74,270.0,8.0
"March, 2016","29,5  0 (0%)",31.5,27.5,29.5,29.3,29.5,29.0,29.5,29.2,28.17,12.3,359.0
"April, 2016","29,9  -0,1 (-0,33%)",32.1,27.9,30.0,28.6,30.2,28.5,29.9,28.610000000000003,27.14,9.69,277.0
"May, 2016","28  -0,8 (-2,78%)",30.6,26.6,28.8,28.0,28.7,27.5,28.0,27.85,24.57,7.93,221.0
"June, 2016","26,4  -1 (-3,65%)",29.3,25.5,27.4,26.4,27.9,26.3,26.4,26.6,23.85,17.7,471.000
"July, 2016","28,4  0,4 (1,43%)",29.9,26.1,28.0,28.0,28.5,27.8,28.4,28.0,24.29,7.83,219.0
"August, 2016","32,4  0,4 (1,25%)",34.2,29.8,32.0,32.0,32.5,31.8,32.4,31.96,27.5,6.8,217.000
"September, 2016","34  0,35 (1,04%)",36.0,31.3,33.65,33.4,34.0,33.4,34.0,33.68,29.04,860.0,29.0
"October, 2016","32,9  0,4 (1,23%)",34.75,30.25,32.5,32.9,32.9,32.4,32.9,32.510000000000005,27.660000000000004,1.04,34.0
"November, 2016","32,5  0 (0%)",34.75,30.25,32.5,32.9,32.9,31.5,32.5,32.05,27.24,13.75,441.0
"December, 2016","29,8  -0,2 (-0,67%)",32.1,27.9,30.0,29.4,30.0,29.35,29.8,29.410000000000004,24.98,12.65,372.0
"January, 2017","30,95  1,95 (6,72%)",31.0,27.0,29.0,29.0,31.0,29.0,30.95,30.5,28.21,5.13,156.0
"February, 2017","31,2  0 (0%)",33.35,29.05,31.2,30.7,31.2,30.1,31.2,30.76,28.44,9.55,294.0
"March, 2017","31,9  -0,05 (-0,16%)",34.15,29.75,31.95,31.9,31.9,31.9,31.9,31.9,29.07,1.34,43.0
"April, 2017",32  0 (0%),34.2,29.8,32.0,32.0,32.0,32.0,32.0,30.0,29.65,200.0,6.0
"May, 2017","30,9  0,45 (1,48%)",32.55,28.35,30.45,30.5,32.0,30.3,30.9,30.610000000000003,28.630000000000003,8.82,270.0
"June, 2017","31,7  -2,2 (-6,49%)",36.25,31.55,33.9,33.85,36.0,31.7,31.7,32.910000000000004,29.37,5.47,180.0
"July, 2017","33,5  1,5 (4,69%)",34.2,29.8,32.0,33.9,33.9,30.3,33.5,32.97,31.04,6.46,213.0
"August, 2017","30,3  -0,6 (-1,94%)",33.05,28.75,30.9,28.75,30.8,28.75,30.3,30.08,28.07,5.22,157.000
"September, 2017","30,2  0,5 (1,68%)",31.75,27.65,29.7,29.9,30.2,29.0,30.2,29.64,27.98,19.7,584.0
"October, 2017","29,9  0 (0%)",31.95,27.85,29.9,29.0,29.9,29.0,29.9,29.58,27.7,35.24,1.055.000
"November, 2017","30  1,15 (3,99%)",30.85,26.85,28.85,30.0,30.0,30.0,30.0,30.23,27.79,430.0,13.0
"December, 2017","29,5  0 (0%)",31.55,27.45,29.5,29.5,29.5,29.5,29.5,27.27,28.29,110.0,3.0
"January, 2018","30  0,2 (0,67%)",31.85,27.75,29.8,30.7,30.7,30.0,30.0,30.130000000000003,28.77,3.12,94.000
"February, 2018","29,9  0,9 (3,1%)",31.0,27.0,29.0,29.0,30.0,29.0,29.9,29.07,28.67,5.71,166.0
"March, 2018","28,15  -1,5 (-5,06%)",31.7,27.6,29.65,28.15,31.5,28.15,28.15,29.3,26.99,2.15,63.0
"April, 2018","28,85  0 (0%)",30.85,26.85,28.85,26.85,28.85,26.85,28.85,27.54,27.67,690.0,19.0
"May, 2018","27,5  0 (0%)",29.4,25.6,27.5,27.8,27.95,27.2,27.5,27.78,26.37,360.0,10.0
"June, 2018","28,5  -0,5 (-1,72%)",31.0,27.0,29.0,27.2,28.5,27.2,28.5,27.43,27.83,1.13,31.0
"July, 2018","27,25  -0,75 (-2,68%)",29.95,26.05,28.0,26.5,27.25,26.1,27.25,26.410000000000004,26.610000000000003,16.62,439.0
"August, 2018","29  1,05 (3,76%)",29.9,26.0,27.95,26.0,29.0,26.0,29.0,27.99,28.32,7.36,206.0
"September, 2018","29,75  1,8 (6,44%)",29.9,26.0,27.95,27.45,29.9,26.0,29.75,28.3,29.05,8.02,227.0
"October, 2018","28,05  1,15 (4,28%)",28.75,25.05,26.9,27.45,28.45,27.45,28.05,27.98,27.39,1.68,47.0
"November, 2018","28,5  0,25 (0,88%)",30.2,26.3,28.25,27.05,28.5,27.0,28.5,27.51,27.83,6.87,189.0
"December, 2018","26,8  0 (0%)",28.65,24.95,26.8,26.8,26.8,26.8,26.8,26.42,26.17,530.0,14.0
"January, 2019","28,6  0,6 (2,14%)",29.95,26.05,28.0,26.9,28.6,26.9,28.6,50.0,27.93,20.0,1.0
"February, 2019","28,85  0,05 (0,17%)",30.8,26.8,28.8,28.65,29.0,28.65,28.85,28.57,28.17,350.0,10.0
