Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"October, 2015",70  20 (40%),70.0,30.0,50.0,70.0,70.0,70.0,70.0,70.0,52.21,11.3,791.0
"November, 2015","70  0,03 (0,05%)",80.5,59.5,70.0,70.1,70.1,70.0,70.0,70.03,52.21,2.9,203.1
"December, 2015","78  -0,46 (-0,58%)",91.3,67.5,79.4,80.5,80.5,78.0,78.0,78.94,58.17,1.4,110.51
"January, 2016","71  -3,33 (-4,44%)",86.2,63.8,75.0,72.0,72.0,71.0,71.0,71.67,52.95,300.0,21.5
"February, 2016","65  4,6 (7,62%)",69.4,51.4,60.4,65.0,65.0,65.0,65.0,65.0,48.48,400.0,26.0
"March, 2016","71  1,04 (1,39%)",85.7,63.5,74.6,75.2,78.0,71.0,71.0,75.64,52.95,5.2,393.32
"April, 2016","91,5  4,59 (5,5%)",95.9,70.9,83.4,84.0,91.5,84.0,91.5,87.99,68.24,700.0,61.59
"May, 2016",90  0 (0%),10.66,78.8,92.7,0.0,78.8,78.8,90.0,92.7,67.12,9.109,717.789
"June, 2016","90,2  0 (0%)",10.37,76.7,90.2,0.0,0.0,0.0,90.2,90.2,67.27000000000001,100.0,9.02
"July, 2016","92,2  -2,56 (-2,72%)",10.82,80.0,94.1,92.0,92.5,90.0,92.2,91.54,68.76,2.1,192.24
"August, 2016","104  1,24 (1,22%)",11.75,86.9,10.22,10.01,10.4,10.01,10.4,103.44,77.57000000000001,700.0,72.41
"September, 2016","100  0,4 (0,4%)",11.45,84.7,99.6,100.0,100.0,100.0,100.0,100.0,74.58,10.0,1.000.000
"October, 2016",101  0 (0%),11.61,85.9,10.1,10.1,10.1,10.1,10.1,10.1,75.33,700,70.700
"November, 2016","130,3  -1,27 (-0,97%)",14.98,11.08,13.03,12.65,13.03,12.65,13.03,129.03,97.18,1.52,196.100
"December, 2016","142  1,33 (0,95%)",16.1,11.9,14.0,14.0,14.2,14.0,14.2,141.32999999999998,105.91,300.0,42.400
"January, 2017","141,2  0 (0%)",16.22,12.0,14.11,0.0,0.0,0.0,14.12,14.11,105.31,40.0,5.6
"February, 2017","165  -6,68 (-3,93%)",19.55,14.45,17.0,16.3,16.9,16.0,16.5,163.32,123.06,1.7,277.650
"March, 2017","181  1 (0,56%)",20.7,15.3,18.0,18.1,18.1,18.1,18.1,18.1,134.99,540.0,97.700
"April, 2017","180  4,77 (2,72%)",20.14,14.9,17.52,17.95,18.0,17.95,18.0,179.97,134.25,5.73,1.031.240
"May, 2017","175  -2 (-1,13%)",20.35,15.05,17.7,17.5,17.5,17.5,17.5,17.5,130.52,100.0,17.500
"June, 2017","191,1  0 (0%)",21.97,16.25,19.11,0.0,0.0,0.0,19.11,19.11,142.45,303.0,57.887
"July, 2017",164  0 (0%),18.86,13.94,16.4,0.0,0.0,0.0,16.4,16.4,122.32,400.0,65.6
"August, 2017","141  5,26 (3,75%)",16.130000000000003,11.93,14.03,15.0,15.0,14.1,14.1,145.56,105.16,2.34,340.800
"September, 2017","143  -5,9 (-3,96%)",17.119999999999997,12.66,14.89,14.3,14.3,14.3,14.3,14.3,106.65,100.0,14.300
