Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2015",13  0 (0%),18.2,78.0,13.0,13.0,13.0,13.0,13.0,13.0,89.5,100.0,1.3
"February, 2015",13  0 (0%),14.9,11.1,13.0,0.0,0.0,0.0,13.0,13.0,89.5,200.0,2.73
"March, 2015","13,2  0,2 (1,54%)",14.9,11.1,13.0,13.2,13.2,13.2,13.2,13.2,90.9,100.0,1.32
"April, 2015","13,1  -0,1 (-0,76%)",15.1,11.3,13.2,13.1,13.1,13.1,13.1,13.1,90.2,100.0,1.31
"May, 2015","13,6  0,1 (0,74%)",14.8,12.2,13.5,13.6,13.6,13.6,13.6,13.6,93.7,200.0,2.72
"June, 2015","13,6  -0,1 (-0,73%)",15.0,12.4,13.7,13.6,13.6,13.6,13.6,13.6,93.7,200.0,2.72
"July, 2015","13,6  0 (0%)",15.6,11.6,13.6,0.0,0.0,0.0,13.6,13.6,93.7,200.0,2.72
"August, 2015","13,6  0 (0%)",15.6,11.6,13.6,0.0,0.0,0.0,13.6,13.6,93.7,125.0,1.7
"September, 2015","13,7  0,1 (0,74%)",15.6,11.6,13.6,13.7,13.7,13.7,13.7,13.7,94.3,100.0,1.37
"October, 2015",13  0 (0%),14.9,11.1,13.0,0.0,0.0,0.0,13.0,13.0,89.5,2.4,31.2
"November, 2015",13  0 (0%),14.9,11.1,13.0,0.0,0.0,0.0,13.0,13.0,89.5,100.0,1.32
"December, 2015","12,9  0 (0%)",14.8,11.0,12.9,0.0,0.0,0.0,12.9,12.9,88.8,100.0,1.29
"January, 2016","12,6  0 (0%)",14.4,10.8,12.6,0.0,0.0,0.0,12.6,12.6,86.8,500.0,6.3
"February, 2016","11,6  0 (0%)",13.3,99.0,11.6,0.0,0.0,0.0,11.6,11.6,79.9,200.0,2.32
"March, 2016","12,8  0 (0%)",14.7,10.9,12.8,0.0,0.0,0.0,12.8,12.8,88.1,450.0,5.400.000
"April, 2016","9,8  0 (0%)",11.2,84.0,98.0,0.0,0.0,0.0,98.0,98.0,67.5,5.0,56.0
"May, 2016","11,5  0 (0%)",13.2,98.0,11.5,0.0,0.0,0.0,11.5,11.5,79.2,669.2,6.692.300
"June, 2016","15,2  -1 (-6,62%)",17.3,12.9,15.1,13.0,15.2,13.0,15.2,14.1,10.47,200.0,2.82
"July, 2016","15,5  0 (0%)",17.8,13.2,15.5,0.0,0.0,0.0,15.5,15.5,10.67,400.0,6.2
"August, 2016",21  0 (0%),24.1,17.9,21.0,0.0,0.0,0.0,21.0,21.0,14.46,900.0,18.9
"September, 2016","15  1 (7,14%)",16.1,11.9,14.0,15.0,15.0,15.0,15.0,15.0,10.33,100.0,1.5
"October, 2016",14  0 (0%),16.1,11.9,14.0,0.0,0.0,0.0,14.0,14.0,96.4,200.0,4.4
"November, 2016",20  0 (0%),23.1,17.1,20.1,0.0,0.0,0.0,20.0,20.1,13.77,4.4,88.58
"December, 2016","20,2  0 (0%)",23.2,17.2,20.2,0.0,0.0,0.0,20.2,20.2,13.91,400.0,8.08
"January, 2017","24  1 (4,35%)",26.4,19.6,23.0,24.0,24.0,24.0,24.0,24.0,16.53,1.8,43.2
"February, 2017","61  0,8 (1,33%)",69.6,51.6,60.6,63.1,63.1,61.0,61.0,61.4,42.010000000000005,3.729,229.218
"March, 2017","70  3,83 (5,87%)",75.0,55.6,65.3,66.0,71.0,66.0,70.0,69.13,48.21,15.64,1.081.184
"April, 2017","60,6  -0,84 (-1,35%)",71.8,53.2,62.5,62.0,62.0,60.6,60.6,61.66,41.73,2.1,129.48
"May, 2017","55  -2,18 (-3,83%)",65.5,48.5,57.0,57.5,57.5,54.0,55.0,54.82000000000001,37.88,1.1,60.3
"June, 2017","29  -1,18 (-3,9%)",34.8,25.8,30.3,30.8,30.8,28.5,29.0,29.12,19.97,5.83,169.784
"July, 2017","29  1,03 (3,7%)",32.0,23.8,27.9,28.0,30.0,27.9,29.0,28.93,19.97,4.3,124.41
"August, 2017","30,3  0,17 (0,58%)",34.5,25.5,30.0,30.0,30.5,30.0,30.3,30.17,20.87,8.264,249.334
"September, 2017","30,5  0,12 (0,41%)",35.1,26.1,30.6,31.5,31.5,30.4,30.5,30.72,21.0,7.0,215.070
"October, 2017","28,7  0,22 (0,78%)",32.5,24.1,28.3,30.0,30.0,28.0,28.7,28.52,19.76,9.4,268.1
"November, 2017","28,5  -0,2 (-0,71%)",33.1,24.5,28.8,28.3,29.0,28.2,28.5,28.6,19.630000000000003,7.0,200.17
"December, 2017","30  0,59 (2,05%)",33.3,24.7,29.0,29.0,30.0,29.0,30.0,29.59,20.66,8.0,236.75
"January, 2018","34  -0,4 (-1,16%)",36.8,32.0,34.4,34.4,34.4,33.5,34.0,33.83,23.41,8.78,297.000
"February, 2018","30,9  -0,5 (-1,59%)",33.55,29.25,31.4,31.5,31.5,29.7,30.9,30.74,21.28,6.8,209.0
"March, 2018","28,95  -0,2 (-0,69%)",31.15,27.15,29.15,27.45,29.3,27.45,28.95,29.130000000000003,19.94,4.36,127.0
"April, 2018","28,5  1,5 (5,56%)",28.85,25.15,27.0,28.65,28.65,26.0,28.5,26.45,19.630000000000003,1.21,32.0
"May, 2018","26,85  0,45 (1,7%)",28.2,24.6,26.4,26.85,26.85,26.85,26.85,26.85,18.49,10.0,269
"June, 2018","23,2  0,1 (0,43%)",24.7,21.5,23.1,24.6,24.6,22.0,23.2,22.51,15.98,1.91,43.0
"July, 2018","22,5  -0,3 (-1,32%)",24.35,21.25,22.8,22.0,22.5,22.0,22.5,22.86,18.54,700.0,16.0
"August, 2018","21,8  1,2 (5,83%)",22.0,19.2,20.6,20.6,21.9,19.2,21.8,21.64,17.97,1.34,29.0
"September, 2018","21,5  0 (0%)",23.0,20.0,21.5,21.5,21.5,21.2,21.5,21.58,17.72,1.9,41.0
"October, 2018","21  -0,3 (-1,41%)",22.75,19.85,21.3,20.5,21.0,20.5,21.0,20.91,17.31,1.1,23.000
"November, 2018","22,5  1,05 (4,9%)",22.95,19.95,21.45,21.45,22.5,21.45,22.5,21.46,18.54,14.82,318.0
"December, 2018","19,5  -0,5 (-2,5%)",21.4,18.6,20.0,19.5,19.5,19.5,19.5,20.0,16.07,300.0,6.0
"January, 2019",20  0 (0%),21.4,18.6,20.0,0.0,0.0,0.0,20.0,0.0,17.580000000000002,100.0,2.0
"February, 2019","18,8  -1,3 (-6,47%)",21.5,18.7,20.1,19.0,19.0,18.8,18.8,19.0,16.53,2.0,38.0
"March, 2019","18,5  0,5 (2,78%)",19.25,16.75,18.0,18.6,18.6,18.5,18.5,19.23,16.259999999999998,520.0,10.0
"April, 2019","17,2  0,4 (2,38%)",17.95,15.65,16.8,16.4,17.2,16.4,17.2,16.16,15.12,990.0,16.0
