Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","5,3  0,2 (3,92%)",54.0,48.0,51.0,5.0,53.0,49.0,53.0,49.3,46.0,3.68,18.0
"February, 2014","3,6  -0,2 (-5,26%)",4.0,36.0,38.0,36.0,37.0,36.0,36.0,36.7,31.2,15.35,56.26
"March, 2014","4,1  0,1 (2,5%)",42.0,38.0,4.0,41.0,42.0,41.0,41.0,41.2,35.6,12.76,52.622
"April, 2014","3,4  0 (0%)",36.0,32.0,34.0,0.0,0.0,0.0,34.0,0.0,29.5,11.88,40.392
"May, 2014","3,5  -0,2 (-5,41%)",39.0,35.0,37.0,37.0,37.0,35.0,35.0,37.0,30.4,1.64,6.0
"June, 2014","4,1  0,2 (5,13%)",41.0,37.0,39.0,4.0,41.0,4.0,41.0,40.7,35.6,11.07,45.0
"July, 2014",5  0 (0%),53.0,47.0,5.0,0.0,0.0,0.0,5.0,0.0,43.4,100.0,1.0
"August, 2014","4,6  0,3 (6,98%)",46.0,4.0,43.0,43.0,46.0,43.0,46.0,45.1,39.9,3.61,16.0
"September, 2014","4,6  0 (0%)",49.0,43.0,46.0,46.0,46.0,46.0,46.0,46.0,39.9,350.0,2.000
"October, 2014","4,5  0 (0%)",48.0,42.0,45.0,45.0,45.0,45.0,45.0,45.0,39.0,50.0,2.0
"November, 2014","5,1  0 (0%)",54.0,48.0,51.0,53.0,53.0,48.0,51.0,50.7,44.2,30.0,80.0
"December, 2014","5,9  0,2 (3,51%)",6.0,54.0,57.0,59.0,59.0,59.0,59.0,59.0,51.2,1.02,6.0
"January, 2015","4,7  -0,3 (-6%)",53.0,47.0,5.0,47.0,47.0,47.0,47.0,47.0,40.8,3.88,18.0
"February, 2015","5,2  0,2 (4%)",53.0,47.0,5.0,52.0,52.0,51.0,52.0,51.9,45.1,180.0,1.0
"March, 2015","5  0,3 (6,38%)",5.0,44.0,47.0,5.0,5.0,5.0,5.0,5.0,43.4,10.0,2.0
"April, 2015","4,8  0 (0%)",51.0,45.0,48.0,48.0,48.0,48.0,48.0,48.0,41.6,100.0,1.0
"May, 2015",5  0 (0%),53.0,47.0,5.0,53.0,53.0,5.0,5.0,50.1,43.4,510.0,3.0
"June, 2015","4,7  -0,3 (-6%)",53.0,47.0,5.0,47.0,47.0,47.0,47.0,47.0,40.8,20.0,8.0
"July, 2015","4,5  0 (0%)",48.0,42.0,45.0,0.0,0.0,0.0,45.0,0.0,39.0,30.0,1.0
"August, 2015","3,3  -0,2 (-5,71%)",37.0,33.0,35.0,33.0,33.0,33.0,33.0,33.0,29.4,160.0,1.0
"September, 2015","3,4  -0,1 (-2,86%)",37.0,33.0,35.0,34.0,34.0,34.0,34.0,34.0,31.1,510.0,2.0
"October, 2015","3,9  -0,1 (-2,5%)",42.0,38.0,4.0,39.0,39.0,38.0,39.0,39.0,32.0,1.01,4.0
