Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","9,2  0 (0%)",98.0,86.0,92.0,93.0,93.0,91.0,92.0,91.3,49.0,349.69,3.191.000
"February, 2014","5,5  -0,2 (-3,51%)",6.0,54.0,57.0,56.0,56.0,54.0,55.0,55.0,29.1,61.17,336.168
"March, 2014","6,5  -0,3 (-4,41%)",72.0,64.0,68.0,68.0,68.0,64.0,65.0,65.2,34.3,86.61,564.428
"April, 2014","6,1  0 (0%)",65.0,57.0,61.0,62.0,64.0,61.0,61.0,62.2,32.2,42.22,262.640
"May, 2014","5,6  -0,3 (-5,08%)",63.0,55.0,59.0,59.0,59.0,56.0,56.0,57.5,29.6,106.02,610.000
"June, 2014","5,6  0,1 (1,82%)",58.0,52.0,55.0,55.0,56.0,55.0,56.0,55.4,29.6,10.03,56.0
"July, 2014","5,7  0,2 (3,64%)",58.0,52.0,55.0,53.0,58.0,53.0,57.0,55.1,30.1,38.39,211.0
"August, 2014","6,6  0,1 (1,54%)",69.0,61.0,65.0,64.0,66.0,64.0,66.0,65.7,35.2,22.17,146.0
"September, 2014","8  -0,1 (-1,23%)",86.0,76.0,81.0,79.0,82.0,78.0,8.0,80.1,42.6,221.17,1.771.000
"October, 2014","7,9  0,3 (3,95%)",81.0,71.0,76.0,77.0,79.0,76.0,79.0,77.4,42.1,22.92,177.000
"November, 2014","9,2  0,2 (2,22%)",96.0,84.0,9.0,91.0,94.0,91.0,92.0,92.1,49.0,612.86,5.643.000
"December, 2014","7,5  0,3 (4,17%)",77.0,67.0,72.0,73.0,75.0,73.0,75.0,74.1,42.8,106.88,792.000
"January, 2015","7,5  -0,2 (-2,6%)",82.0,72.0,77.0,77.0,77.0,74.0,75.0,74.7,42.8,119.63,894.000
"February, 2015","7,3  -0,1 (-1,35%)",79.0,69.0,74.0,74.0,74.0,73.0,73.0,73.0,41.7,78.76,575.000
"March, 2015","8  0,1 (1,27%)",84.0,74.0,79.0,79.0,81.0,78.0,8.0,79.3,45.7,165.99,1.316.000
"April, 2015","9,3  0 (0%)",99.0,87.0,93.0,92.0,94.0,92.0,93.0,92.6,53.1,147.71,1.367.000
"May, 2015","12,6  -0,5 (-3,82%)",14.0,12.2,13.1,13.0,13.0,12.5,12.6,12.7,72.0,873.980,11.101.000
"June, 2015","11,9  -0,8 (-6,3%)",13.5,11.9,12.7,12.7,12.7,11.9,11.9,12.15,68.0,1.039.640,12.628.000
"July, 2015","12,6  0,3 (2,44%)",13.1,11.5,12.3,12.3,13.1,12.3,12.6,12.84,72.0,3.945.344,50.260.000
"August, 2015",12  0 (0%),12.8,11.2,12.0,11.7,12.2,11.6,12.0,11.8,77.2,676.740,7.982.000
"September, 2015","13  -0,1 (-0,76%)",14.0,12.2,13.1,13.1,13.3,12.9,13.0,13.02,88.0,978.270,12.736.000
"October, 2015","13,6  -0,3 (-2,16%)",14.8,13.0,13.9,13.8,14.0,13.6,13.6,13.71,93.4,1.648.950,22.693.000
"November, 2015","15,6  -1,1 (-6,59%)",17.8,15.6,16.7,15.8,15.9,15.6,15.6,15.62,10.71,837.350,13.080.000
