Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014",11  0 (0%),12.1,99.0,11.0,11.0,11.0,11.0,11.0,11.0,64.7,100.0,1.1
"February, 2014","11,5  0,05 (0,44%)",12.5,10.3,11.4,11.5,11.5,11.4,11.5,11.45,67.7,26.2,300.0
"March, 2014","12,8  -0,03 (-0,26%)",14.1,11.7,12.9,12.9,12.9,12.8,12.8,12.87,75.3,8.9,114.52
"April, 2014","12,3  0 (0%)",13.5,11.1,12.3,12.3,12.3,12.3,12.3,12.3,72.4,6.0,73.8
"May, 2014","11,9  0,25 (2,15%)",12.7,10.5,11.6,11.8,11.9,11.8,11.9,11.85,7.0,4.1,48.58
"June, 2014","11,8  -0,19 (-1,55%)",13.3,10.9,12.1,12.0,12.0,11.8,11.8,11.91,69.4,9.0,107.21
"July, 2014","13,3  0,1 (0,76%)",14.1,12.3,13.2,13.2,13.4,13.2,13.3,13.3,78.2,34.87,464.000
"August, 2014","15,5  0,1 (0,65%)",16.4,14.4,15.4,15.4,15.5,15.4,15.5,15.45,91.2,59.7,922.000
"September, 2014","15,7  0 (0%)",16.7,14.7,15.7,15.6,15.7,15.6,15.7,15.62,97.3,40.16,627.000
"October, 2014","18,3  0,2 (1,1%)",19.3,16.9,18.1,18.0,18.3,17.9,18.3,18.11,11.34,104.16,1.886.000
"November, 2014","20,6  -0,5 (-2,37%)",22.5,19.7,21.1,21.0,21.2,20.6,20.6,20.87,12.76,28.17,588.000
"December, 2014","20,5  0,5 (2,5%)",21.4,18.6,20.0,20.0,20.8,19.9,20.5,20.02,12.7,91.33,1.829.000
"January, 2015","19,2  -0,1 (-0,52%)",20.6,18.0,19.3,19.4,19.5,18.8,19.2,18.96,11.89,31.17,591.000
"February, 2015","18,6  -0,1 (-0,53%)",20.0,17.4,18.7,18.8,18.8,18.4,18.6,18.6,11.52,8.38,156.000
"March, 2015",19  0 (0%),20.3,17.7,19.0,19.0,19.1,19.0,19.0,19.0,11.77,99.74,1.895.000
"April, 2015","19,7  0,2 (1,03%)",20.8,18.2,19.5,19.5,19.7,19.5,19.7,19.6,12.2,40.7,798.000
"May, 2015","19,8  -0,2 (-1%)",21.4,18.6,20.0,20.0,20.0,19.8,19.8,19.81,12.26,29.51,584.000
"June, 2015",18  0 (0%),19.2,16.8,18.0,18.0,18.1,18.0,18.0,18.009999999999998,12.06,39.53,712.000
