Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","22  -1,1 (-4,76%)",24.7,21.5,23.1,24.5,24.5,22.0,22.0,22.1,24.71,260.0,6.0
"February, 2014","20,4  0 (0%)",21.8,19.0,20.4,20.8,20.8,19.0,20.4,19.39,23.880000000000003,17.56,340.447
"March, 2014","18,7  -0,2 (-1,06%)",20.2,17.6,18.9,18.5,18.7,18.5,18.7,18.6,20.39,20.0,372
"April, 2014","17,9  0 (0%)",19.1,16.7,17.9,17.0,17.9,17.0,17.9,17.27,19.52,260.0,4.491
"May, 2014","16,3  -1 (-5,78%)",18.5,16.1,17.3,17.4,17.4,16.3,16.3,16.31,18.31,810.0,13.0
"June, 2014","17,6  0 (0%)",18.8,16.4,17.6,0.0,0.0,0.0,17.6,0.0,19.77,10.0,3.0
"July, 2014","17,9  -1,3 (-6,77%)",20.5,17.9,19.2,17.9,18.0,17.9,17.9,17.9,20.1,4.11,74.0
"August, 2014","18,3  0 (0%)",19.5,17.1,18.3,18.3,18.3,18.3,18.3,18.3,20.55,50.0,1.0
"September, 2014","21,7  1,4 (6,9%)",21.7,18.9,20.3,21.7,21.7,21.5,21.7,21.67,24.37,79.42,1.721.000
"October, 2014","24,5  -0,4 (-1,61%)",26.6,23.2,24.9,24.5,24.5,24.5,24.5,24.5,27.52,1.01,25.0
"November, 2014","23,1  -1,7 (-6,85%)",26.5,23.1,24.8,25.4,25.4,23.1,23.1,23.11,25.94,2.01,46.0
"December, 2014","24,3  1,5 (6,58%)",24.3,21.3,22.8,24.2,24.3,24.2,24.3,24.29,27.29,360.0,9.0
"January, 2015","23,8  -0,1 (-0,42%)",25.5,22.3,23.9,23.8,23.8,23.8,23.8,23.8,26.73,2.02,48.0
"February, 2015","23,9  1,5 (6,7%)",23.9,20.9,22.4,23.9,23.9,23.9,23.9,23.9,26.84,610.0,15.0
"March, 2015","23,5  1,5 (6,82%)",23.5,20.5,22.0,22.6,23.5,22.6,23.5,22.83,26.39,4.32,99.0
"April, 2015","24,9  -0,1 (-0,4%)",26.7,23.3,25.0,23.3,24.9,23.3,24.9,23.31,27.96,1.71,40.000
"May, 2015","25  1 (4,17%)",25.6,22.4,24.0,22.4,25.0,22.4,25.0,23.8,28.08,30.0,1.0
"June, 2015","27,5  0,5 (1,85%)",28.8,25.2,27.0,27.5,27.5,25.6,27.5,25.71,30.880000000000003,340.0,9.0
"July, 2015","36,3  2,3 (6,76%)",36.3,31.7,34.0,34.9,36.3,32.5,36.3,34.71,40.77,13.51,469.0
"August, 2015",36  0 (0%),38.5,33.5,36.0,36.0,36.0,34.0,36.0,34.15,37.24,540.0,18.0
"September, 2015","34,7  -2,6 (-6,97%)",39.9,34.7,37.3,37.4,37.4,34.7,34.7,35.38,39.86,80.0,3.0
"October, 2015","32  0,6 (1,91%)",33.5,29.3,31.4,32.0,32.0,32.0,32.0,32.0,40.510000000000005,10.0,4.0
"November, 2015","34  2 (6,25%)",34.2,29.8,32.0,31.8,34.0,31.8,34.0,31.84,43.04,11.24,358.0
"December, 2015","26,9  -2 (-6,92%)",33.1,28.9,28.9,30.9,30.9,26.9,26.9,27.23,26.43,360.0,10.0
"January, 2016","23,1  -0,9 (-3,75%)",25.6,22.4,24.0,23.1,23.1,23.1,23.1,23.1,25.72,20.0,1.0
"February, 2016","23,6  1,5 (6,79%)",23.6,20.6,22.1,23.6,23.6,23.6,23.6,23.6,26.28,10.0,1.0
"March, 2016",26  0 (0%),27.8,24.2,26.0,26.0,26.0,26.0,26.0,26.0,30.57,100.0,3.0
"April, 2016","25,8  -0,1 (-0,39%)",27.7,24.1,25.9,26.0,26.0,24.9,25.8,25.02,29.21,1.13,28.0
"May, 2016","25,7  0 (0%)",25.7,22.5,25.7,0.0,0.0,0.0,25.7,0.0,27.52,50.0,1.0
"June, 2016",26  0 (0%),27.8,24.2,26.0,0.0,0.0,0.0,26.0,0.0,23.39,10.0,1.0
"July, 2016","28,4  -2,1 (-6,89%)",32.6,28.4,30.5,28.4,28.4,28.4,28.4,28.4,26.95,520.0,15.0
"August, 2016","26  -1,9 (-6,81%)",29.8,26.0,27.9,29.1,29.1,26.0,26.0,26.78,24.34,40.0,1.0
"September, 2016",32  0 (0%),34.2,29.8,32.0,0.0,0.0,0.0,32.0,0.0,29.14,200.0,6.0
"October, 2016","31,9  0 (0%)",34.1,29.7,31.9,0.0,0.0,0.0,31.9,0.0,30.130000000000003,10.0,1.0
"November, 2016","34,7  0 (0%)",37.1,32.3,34.7,0.0,0.0,0.0,34.7,0.0,32.77,40.0,1.0
"December, 2016","34,7  0 (0%)",37.1,32.3,34.7,0.0,0.0,0.0,34.7,0.0,32.77,1.0,29.0
"January, 2017","37,05  0 (0%)",39.6,34.5,37.05,0.0,0.0,0.0,37.05,0.0,34.989999999999995,10.0,131.0
"February, 2017","34,5  0 (0%)",36.9,32.1,34.5,0.0,0.0,0.0,34.5,0.0,32.58,50.0,2.0
"March, 2017","26,9  0 (0%)",28.75,25.05,26.9,0.0,0.0,0.0,26.9,0.0,25.31,20.0,1.0
"April, 2017","23,05  0 (0%)",24.65,21.45,23.05,0.0,0.0,0.0,23.05,0.0,21.69,460.0,11.0
"May, 2017","24,25  0,75 (3,19%)",25.1,21.9,23.5,22.0,24.25,22.0,24.25,20.0,22.82,50.0,1.0
"June, 2017","21,05  0 (0%)",22.5,19.6,21.05,0.0,0.0,0.0,21.05,0.0,19.81,10.0,211.0
"July, 2017","25,5  0 (0%)",27.25,23.75,25.5,0.0,0.0,0.0,25.5,0.0,24.0,360.0,8.0
"August, 2017","23,35  0 (0%)",24.95,21.75,23.35,0.0,0.0,0.0,23.35,0.0,21.97,50.0,1.0
"September, 2017","19,6  0 (0%)",20.95,18.25,19.6,19.6,19.6,19.6,19.6,20.0,18.44,50.0,1.0
"October, 2017","23,5  0 (0%)",25.1,21.9,23.5,0.0,0.0,0.0,23.5,0.0,22.11,10.0,235.0
