Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","25,7  0,2 (0,78%)",27.2,23.8,25.5,26.0,26.6,25.6,25.7,26.2,16.8,798.040,20.910.000
"February, 2014","24,1  -0,1 (-0,41%)",25.8,22.6,24.2,24.2,24.3,23.5,24.1,24.04,15.75,119.51,2.873.423
"March, 2014","27  -0,6 (-2,17%)",29.5,25.7,27.6,27.4,27.6,26.4,27.0,27.110000000000003,17.65,514.220,13.939.867
"April, 2014","24,5  -0,2 (-0,81%)",26.4,23.0,24.7,23.7,24.5,23.7,24.5,24.47,16.009999999999998,63.710,1.558.812
"May, 2014","18,3  -0,6 (-3,17%)",20.2,17.6,18.9,18.7,18.9,18.3,18.3,18.62,11.96,123.77,2.304.000
"June, 2014","17,9  0 (0%)",19.1,16.7,17.9,18.2,18.2,17.8,17.9,17.86,11.7,62.77,1.121.000
"July, 2014","18,5  -0,5 (-2,63%)",20.3,17.7,19.0,18.5,19.1,18.5,18.5,18.57,12.09,92.17,1.712.000
"August, 2014","26  -0,2 (-0,76%)",28.0,24.4,26.2,26.0,26.3,25.3,26.0,25.79,17.0,433.140,11.172.000
"September, 2014","24,4  -0,5 (-2,01%)",26.6,23.2,24.9,24.7,24.9,24.1,24.4,24.44,15.95,1.161.650,28.388.000
"October, 2014","24,4  0,6 (2,52%)",25.4,22.2,23.8,23.8,24.6,23.8,24.4,24.16,15.95,234.68,5.669.000
"November, 2014","25,5  0,9 (3,66%)",26.3,22.9,24.6,24.8,25.6,24.7,25.5,25.26,16.669999999999998,1.095.200,27.665.000
"December, 2014","25,1  1,1 (4,58%)",25.6,22.4,24.0,24.3,25.4,24.3,25.1,25.12,16.41,289.0,7.260.000
"January, 2015","24,8  -0,6 (-2,36%)",27.1,23.7,25.4,25.4,25.4,24.5,24.8,25.02,16.21,1.466.070,35.216.000
"February, 2015","25  -0,3 (-1,19%)",27.0,23.6,25.3,25.4,25.8,25.0,25.0,25.26,16.34,151.68,3.832.000
"March, 2015","23,3  0,2 (0,87%)",24.7,21.5,23.1,23.3,23.7,23.1,23.3,23.3,15.23,111.06,2.588.000
"April, 2015","22,4  -0,1 (-0,44%)",24.0,21.0,22.5,22.8,22.8,22.3,22.4,22.49,14.64,37.07,834.000
"May, 2015","21,7  0,4 (1,88%)",22.7,19.9,21.3,21.3,22.1,21.0,21.7,21.6,14.18,498.24,10.762.000
"June, 2015","22,2  0,3 (1,37%)",23.4,20.4,21.9,21.6,22.8,21.6,22.2,22.42,14.51,574.799,12.823.000
"July, 2015","23,1  -0,2 (-0,86%)",24.9,21.7,23.3,23.3,23.3,23.1,23.1,23.2,15.1,50.82,1.179.000
"August, 2015","19,6  -0,1 (-0,51%)",21.0,18.4,19.7,19.6,19.8,19.4,19.6,19.58,12.42,31.28,613.000
"September, 2015","20,2  0 (0%)",21.6,18.8,20.2,20.1,20.4,20.1,20.2,20.23,12.93,70.58,1.428.000
"October, 2015","23,5  0 (0%)",25.1,21.9,23.5,23.9,23.9,23.1,23.5,23.48,15.19,72.63,1.705.000
