Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","43,5  -0,9 (-2,03%)",47.5,41.3,44.4,44.0,44.2,43.5,43.5,43.61,62.4,11.74,512.000
"February, 2014","42,5  -1 (-2,3%)",46.5,40.5,43.5,43.5,43.5,42.5,42.5,43.18,60.9,62.9,2.716.000
"March, 2014","43,2  0,7 (1,65%)",45.4,39.6,42.5,42.6,43.5,42.6,43.2,43.05,61.9,30.11,1.296.000
"April, 2014","43,2  0 (0%)",46.2,40.2,43.2,43.0,43.6,43.0,43.2,43.41,61.9,35.93,1.560.000
"May, 2014","44  0,8 (1,85%)",46.2,40.2,43.2,43.2,44.0,43.2,44.0,43.64,63.1,12.25,535.000
"June, 2014","44,6  0 (0%)",47.7,41.5,44.6,44.5,46.0,44.5,44.6,44.62,64.0,17.08,762.000
"July, 2014","45,7  -0,3 (-0,65%)",49.2,42.8,46.0,46.0,46.7,45.2,45.7,45.86,54.3,3.91,179.0
"August, 2014","44,9  0 (0%)",48.0,41.8,44.9,44.2,44.9,43.6,44.9,43.72,54.5,4.6,201.0
"September, 2014","42  0,2 (0,48%)",44.7,38.9,41.8,41.5,42.0,41.5,42.0,41.760000000000005,59.8,490.0,20.000
"October, 2014","45,8  -0,1 (-0,22%)",49.1,42.7,45.9,44.6,45.9,44.6,45.8,45.05,65.7,25.63,1.155.000
"November, 2014","44,4  0,9 (2,07%)",46.5,40.5,43.5,44.0,44.5,43.0,44.4,43.49,63.7,37.82,1.645.000
"December, 2014","44  0,5 (1,15%)",46.5,40.5,43.5,43.4,45.5,43.4,44.0,43.73,63.1,7.8,341.000
"January, 2015","46,9  0 (0%)",50.0,43.7,46.9,46.5,46.9,46.5,46.9,46.65,69.8,17.24,804.000
"February, 2015","45  -0,1 (-0,22%)",48.2,42.0,45.1,45.2,46.0,45.0,45.0,45.1,67.1,31.81,1.435.000
"March, 2015","45,4  0 (0%)",48.5,42.3,45.4,44.1,45.5,44.1,45.4,45.260000000000005,67.7,7.44,337.0
"April, 2015","53,5  -0,5 (-0,93%)",57.5,50.5,54.0,55.0,55.0,53.5,53.5,53.7,81.2,830.0,45.000
"May, 2015","62,5  1 (1,63%)",65.5,57.5,61.5,61.5,62.5,61.5,62.5,62.11,95.8,1.66,103.000
"June, 2015","47,8  0,8 (1,7%)",50.0,43.8,47.0,47.0,48.0,46.0,47.8,47.7,90.7,15.03,717.000
