Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","5,7  0 (0%)",6.0,54.0,57.0,57.0,57.0,56.0,57.0,56.5,36.8,85.53,484.000
"February, 2014","4,9  0,1 (2,08%)",51.0,45.0,48.0,48.0,49.0,48.0,49.0,48.3,29.8,78.090,376.834
"March, 2014","6,7  -0,1 (-1,47%)",72.0,64.0,68.0,7.0,7.0,67.0,67.0,68.1,40.7,241.250,1.643.363
"April, 2014","5,9  0,1 (1,72%)",62.0,54.0,58.0,57.0,59.0,57.0,59.0,57.9,35.8,51.38,297.507
"May, 2014","5,2  0 (0%)",55.0,49.0,52.0,52.0,53.0,51.0,52.0,51.5,33.6,83.69,431.000
"June, 2014","5  -0,1 (-1,96%)",54.0,48.0,51.0,5.0,51.0,5.0,5.0,50.9,32.3,177.5,904.000
"July, 2014","5,2  0,1 (1,96%)",54.0,48.0,51.0,5.0,52.0,5.0,52.0,51.1,33.6,12.15,62.000
"August, 2014","5,3  0 (0%)",56.0,5.0,53.0,53.0,54.0,52.0,53.0,52.6,34.2,143.13,753.0
"September, 2014","5,6  0,2 (3,7%)",57.0,51.0,54.0,55.0,56.0,54.0,56.0,55.2,36.1,33.56,185.0
"October, 2014","5,7  0 (0%)",6.0,54.0,57.0,57.0,57.0,55.0,57.0,56.0,36.8,385.57,2.159.000
"November, 2014","5,7  0,1 (1,79%)",59.0,53.0,56.0,56.0,57.0,55.0,57.0,55.8,36.8,45.42,253.000
"December, 2014","5  -0,1 (-1,96%)",54.0,48.0,51.0,51.0,52.0,5.0,5.0,51.2,32.3,49.16,252.0
"January, 2015","5,2  0 (0%)",55.0,49.0,52.0,54.0,54.0,52.0,52.0,52.6,33.6,91.46,481.0
"February, 2015","5,3  0 (0%)",56.0,5.0,53.0,52.0,53.0,52.0,53.0,52.1,34.2,28.51,148.0
"March, 2015","4,7  -0,3 (-6%)",53.0,47.0,5.0,49.0,49.0,47.0,47.0,48.1,30.3,73.18,352.0
"April, 2015","4,7  0 (0%)",5.0,44.0,47.0,47.0,47.0,46.0,47.0,47.0,30.3,2.21,10.0
"May, 2015","4,9  -0,1 (-2%)",53.0,47.0,5.0,51.0,51.0,49.0,49.0,5.0,31.6,10.11,51.000
"June, 2015","4,9  -0,2 (-3,92%)",54.0,48.0,51.0,49.0,51.0,49.0,49.0,49.9,31.6,24.56,123.0
"July, 2015","5,1  0,1 (2%)",53.0,47.0,5.0,5.0,51.0,5.0,51.0,5.0,32.9,38.0,190.000
"August, 2015","5  -0,1 (-1,96%)",54.0,48.0,51.0,5.0,5.0,5.0,5.0,5.0,34.3,40.01,200.0
"September, 2015","5,2  0 (0%)",55.0,49.0,52.0,51.0,52.0,51.0,52.0,52.0,34.3,31.57,164.0
"October, 2015","5,7  0,1 (1,79%)",59.0,53.0,56.0,56.0,57.0,56.0,57.0,56.1,37.6,83.58,469.000
"November, 2015","5,7  0 (0%)",6.0,54.0,57.0,55.0,58.0,55.0,57.0,57.0,37.6,46.66,266.0
"December, 2015","5,6  -0,2 (-3,45%)",62.0,54.0,58.0,57.0,57.0,56.0,56.0,56.9,40.3,23.21,132.0
"January, 2016","5,5  0,2 (3,77%)",56.0,5.0,53.0,52.0,55.0,5.0,55.0,51.4,36.8,10.44,54.0
"February, 2016","5,2  0 (0%)",55.0,49.0,52.0,52.0,52.0,51.0,52.0,51.5,34.8,32.0,165.0
"March, 2016","5,2  0,1 (1,96%)",54.0,48.0,51.0,52.0,52.0,51.0,52.0,51.8,34.8,29.9,155.0
"April, 2016","5,5  0,3 (5,77%)",55.0,49.0,52.0,53.0,55.0,53.0,55.0,54.3,37.5,200.17,1.087.000
"May, 2016","6,2  0,2 (3,33%)",65.0,57.0,6.0,62.0,62.0,6.0,62.0,6.0,44.6,144.97,848.390
"June, 2016","6,5  0,1 (1,56%)",68.0,6.0,64.0,65.0,65.0,64.0,65.0,65.0,45.9,21.51,140.0
"July, 2016","6,5  0 (0%)",69.0,61.0,65.0,65.0,66.0,64.0,65.0,65.2,46.6,63.6,415.000
"August, 2016","5,9  -0,1 (-1,67%)",64.0,56.0,6.0,58.0,59.0,58.0,59.0,58.9,42.3,4.68,28.000
"September, 2016","5,7  0,2 (3,64%)",58.8,51.2,55.0,58.8,58.8,57.0,57.0,57.1,43.1,8.41,48.000
"October, 2016","6  0,3 (5,26%)",60.9,53.1,57.0,6.0,6.0,6.0,6.0,6.0,44.0,100.0,1.000
"November, 2016","5,6  -0,39 (-6,51%)",64.0,55.8,59.9,56.0,56.0,56.0,56.0,56.0,41.0,8.0,45.0
"December, 2016","6,6  0 (0%)",70.6,61.4,66.0,61.8,67.0,61.4,66.0,64.2,48.4,48.41,311.0
"January, 2017","6,9  -0,1 (-1,43%)",74.9,65.1,7.0,70.3,70.3,69.0,69.0,69.0,49.0,460.0,3.0
"February, 2017",7  0 (0%),74.9,65.1,7.0,7.0,7.0,7.0,7.0,7.0,49.8,1.56,11.0
"March, 2017","7,85  0 (0%)",83.9,73.1,78.5,78.0,78.5,77.7,78.5,77.9,56.5,10.1,79.000
"April, 2017","8,3  0,1 (1,22%)",87.7,76.3,82.0,8.0,83.0,77.0,83.0,80.7,59.8,40.0,323.0
"May, 2017","8  0,4 (5,26%)",81.3,70.7,76.0,8.0,8.0,74.0,8.0,79.8,58.3,10.02,80.0
"June, 2017","9,39  0,39 (4,33%)",96.3,83.7,9.0,96.3,96.3,9.0,93.9,92.9,68.4,20.46,190.000
"July, 2017","9,2  -0,4 (-4,17%)",10.25,89.3,96.0,92.5,95.0,9.0,92.0,90.7,67.9,77.860,706.000
"August, 2017","9,9  -0,1 (-1%)",10.7,93.0,10.0,10.0,10.0,99.0,99.0,99.3,73.7,13.5,134.000
"September, 2017","8,59  0,56 (6,97%)",85.9,74.7,80.3,77.8,85.9,77.8,85.9,84.9,64.6,5.18,44.0
"October, 2017","10,4  -0,3 (-2,8%)",11.4,99.6,10.7,10.4,10.4,10.4,10.4,10.34,79.8,5.03,52.000
"November, 2017","9,98  0,65 (6,97%)",99.8,86.8,93.3,99.8,99.8,99.8,99.8,10.0,78.2,600.0,6.0
"December, 2017","11,1  0,6 (5,71%)",11.2,97.7,10.5,10.9,11.1,10.9,11.1,10.97,88.8,17.6,193.000
"January, 2018","13,5  -0,1 (-0,74%)",14.55,12.65,13.6,13.8,13.8,13.5,13.5,13.75,10.83,4.0,55.0
"February, 2018","11,8  -0,8 (-6,35%)",13.45,11.75,12.6,11.8,11.8,11.8,11.8,11.11,10.21,90.0,1.000
"March, 2018","13,4  0,8 (6,35%)",13.45,11.75,12.6,13.2,13.4,13.2,13.4,13.0,11.68,1.0,13.0
"April, 2018","11,2  -0,8 (-6,67%)",12.8,11.2,12.0,11.2,11.2,11.2,11.2,11.2,97.6,10.0,112.0
"May, 2018","13,55  0,85 (6,69%)",13.55,11.85,12.7,13.55,13.55,12.5,13.55,13.51,12.07,1.11,15.0
"June, 2018","13,9  0,9 (6,92%)",13.9,12.1,13.0,12.2,13.9,12.1,13.9,13.22,12.38,13.99,185.000
"July, 2018","13,2  0,6 (4,76%)",13.45,11.75,12.6,13.2,13.2,13.2,13.2,13.2,12.19,10.0,132
