Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014",18  0 (0%),19.8,16.2,18.0,0.0,0.0,0.0,18.0,18.0,14.07,100.0,1.8
"February, 2014","14,5  0 (0%)",15.9,13.1,14.5,14.5,14.5,14.5,14.5,14.5,11.33,6.3,91.35
"March, 2014","15  -1,42 (-9,47%)",16.5,13.5,15.0,13.5,15.0,13.5,15.0,13.580000000000002,11.72,3.8,51.6
"April, 2014","14  -0,13 (-0,95%)",15.4,12.6,14.0,13.8,14.0,13.8,14.0,13.87,10.94,1.5,20.8
"May, 2014","13,7  0 (0%)",15.0,12.4,13.7,13.7,13.7,13.7,13.7,13.7,10.71,258.0,3.459
"June, 2014","14,1  0 (-0,03%)",15.5,12.7,14.1,14.1,14.1,14.0,14.1,14.1,11.02,7.212,101.362
"July, 2014","14,2  0 (0%)",15.6,12.8,14.2,0.0,0.0,0.0,14.2,14.2,11.1,2.357,33.360
"August, 2014",17  0 (0%),18.7,15.3,17.0,17.0,17.0,17.0,17.0,17.0,13.29,3.5,59.5
"September, 2014","16,6  0 (0%)",18.2,15.0,16.6,0.0,0.0,0.0,16.6,16.6,12.97,100.0,1.66
"October, 2014","16  0,4 (2,56%)",17.1,14.1,15.6,16.0,16.0,16.0,16.0,16.0,12.5,100.0,1.6
"November, 2014","16,6  -0,08 (-0,47%)",18.2,15.0,16.6,16.5,16.6,16.5,16.6,16.52,12.97,1.8,29.74
"December, 2014",16  0 (0%),17.6,14.4,16.0,16.0,16.0,16.0,16.0,16.0,12.5,700.0,11.2
"January, 2015",16  0 (0%),17.6,14.4,16.0,0.0,0.0,0.0,16.0,16.0,12.5,100.0,1.6
"February, 2015","16,5  0 (0%)",18.1,14.9,16.5,0.0,0.0,0.0,16.5,16.5,12.9,200.0,3.3
"March, 2015","17  -0,7 (-4,09%)",18.8,15.4,17.1,16.2,17.0,16.2,17.0,16.4,13.29,800.0,13.12
"April, 2015","17,5  0 (0%)",19.2,15.8,17.5,17.5,17.5,17.5,17.5,17.5,13.68,100.0,1.75
"May, 2015","17,8  0,47 (2,68%)",19.1,15.7,17.4,18.0,18.0,17.8,17.8,17.869999999999997,13.91,300.0,5.36
"June, 2015","18,5  0,1 (0,54%)",20.2,16.6,18.4,18.5,18.5,18.5,18.5,18.5,14.46,12.0,222.0
"July, 2015","17,9  0,01 (0,05%)",20.1,14.9,17.5,17.5,17.9,17.5,17.9,17.509999999999998,13.99,5.1,89.29
"August, 2015","17,2  0,23 (1,32%)",19.5,14.5,17.0,17.3,17.3,15.0,17.2,17.23,13.44,1.200.400,18.006.890
"September, 2015",16  0 (0%),18.4,13.6,16.0,0.0,0.0,0.0,16.0,16.0,12.5,41.0,558.0
"October, 2015","15  -0,9 (-5,66%)",18.2,13.6,15.9,15.0,15.0,15.0,15.0,15.0,11.72,10.766,161.49
"November, 2015","19  0,01 (0,05%)",21.8,16.2,19.0,19.0,19.3,16.5,19.0,19.01,14.85,33.0,552.03
"December, 2015","19  0,27 (1,46%)",21.6,16.0,18.8,19.5,19.5,19.0,19.0,19.08,14.85,4.42,84.308
"January, 2016","18,6  -0,89 (-4,67%)",21.8,16.2,19.0,18.3,18.6,18.0,18.6,18.11,14.54,6.9,124.98
"February, 2016","18,5  0,4 (2,21%)",20.8,15.4,18.1,18.5,18.5,18.5,18.5,18.5,14.46,100.0,1.85
"March, 2016","19,5  -1,74 (-8,59%)",23.3,17.3,20.3,18.5,19.5,18.5,19.5,18.56,15.24,5.3,98.35
"April, 2016","18,7  -0,18 (-0,98%)",21.5,15.9,18.7,18.5,18.8,18.5,18.7,18.52,14.61,3.1,57.4
"May, 2016","19,5  0,01 (0,04%)",22.4,16.6,19.5,19.5,19.7,19.5,19.5,19.51,15.24,2.65,51.695
"June, 2016",21  0 (0%),23.5,17.5,20.5,21.0,21.0,20.2,21.0,20.5,16.41,920.0,18.562
