Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","10,3  -0,1 (-0,96%)",11.1,97.0,10.4,10.2,10.4,10.2,10.3,10.27,43.3,15.63,161.0
"February, 2014","12,4  0,2 (1,64%)",13.0,11.4,12.2,12.2,12.5,12.2,12.4,12.32,48.6,3.47,42.742
"March, 2014","12,9  0 (0%)",13.8,12.0,12.9,13.0,13.0,12.3,12.9,12.76,51.8,21.0,267.9
"April, 2014","11  -0,2 (-1,79%)",11.9,10.5,11.2,11.2,11.2,11.0,11.0,11.08,44.1,17.97,199.068
"May, 2014","10,2  0 (0%)",10.9,95.0,10.2,10.2,10.2,10.2,10.2,10.2,40.9,2.0,20.0
"June, 2014","9,7  0,4 (4,3%)",99.0,87.0,93.0,98.0,98.0,96.0,97.0,97.4,38.9,13.05,127.0
"July, 2014","9,3  0,1 (1,09%)",98.0,86.0,92.0,91.0,93.0,9.0,93.0,90.3,37.3,12.01,108.0
"August, 2014","9,8  0 (0%)",10.4,92.0,98.0,96.0,98.0,96.0,98.0,97.9,39.3,9.76,96.0
"September, 2014","10,6  0,1 (0,95%)",11.2,98.0,10.5,10.5,10.6,10.3,10.6,10.52,42.5,17.51,184.000
"October, 2014",11  0 (0%),11.7,10.3,11.0,11.0,11.1,11.0,11.0,11.04,44.1,13.45,149.000
"November, 2014","10,4  -0,1 (-0,95%)",11.2,98.0,10.5,10.3,10.4,10.2,10.4,10.3,43.7,29.99,309.0
"December, 2014","10,7  0,3 (2,88%)",11.1,97.0,10.4,10.5,10.7,10.5,10.7,10.55,45.0,2.82,30.0
"January, 2015","9,9  -0,3 (-2,94%)",10.9,95.0,10.2,10.1,10.1,99.0,99.0,99.9,41.6,17.26,172.0
"February, 2015","9,9  0 (0%)",10.5,93.0,99.0,99.0,99.0,98.0,99.0,98.1,41.6,7.93,78.0
"March, 2015","9,5  0,2 (2,15%)",99.0,87.0,93.0,93.0,95.0,93.0,95.0,95.0,39.9,4.42,42.0
"April, 2015","8,3  0,1 (1,22%)",87.0,77.0,82.0,83.0,83.0,82.0,83.0,83.0,34.9,4.17,35.000
"May, 2015","9  -0,3 (-3,23%)",99.0,87.0,93.0,87.0,93.0,87.0,9.0,87.0,37.8,15.35,134.0
"June, 2015","8,6  -0,1 (-1,15%)",93.0,81.0,87.0,86.0,86.0,84.0,86.0,84.6,36.2,11.7,99.0
"July, 2015","7  -0,2 (-2,78%)",77.0,67.0,72.0,72.0,72.0,68.0,7.0,70.5,29.4,74.38,524.0
"August, 2015","6,1  0,3 (5,17%)",62.0,54.0,58.0,62.0,62.0,57.0,61.0,59.9,22.5,2.23,13.0
"September, 2015","6,2  -0,1 (-1,59%)",67.0,59.0,63.0,64.0,64.0,62.0,62.0,62.6,24.0,3.28,21.0
"October, 2015","6,9  0,1 (1,47%)",72.0,64.0,68.0,66.0,69.0,66.0,69.0,68.0,28.3,6.06,41.0
"November, 2015","6,7  -0,1 (-1,47%)",72.0,64.0,68.0,67.0,67.0,67.0,67.0,67.0,27.5,200.0,1.0
"December, 2015","7,2  0,1 (1,41%)",75.0,67.0,71.0,71.0,72.0,71.0,72.0,72.0,29.5,2.01,14.0
"January, 2016","7,2  0,2 (2,86%)",74.0,66.0,7.0,71.0,72.0,71.0,72.0,71.7,29.1,5.0,36.0
"February, 2016","7,2  -0,1 (-1,37%)",78.0,68.0,73.0,0.0,72.0,72.0,72.0,72.0,29.1,6.01,43.0
"March, 2016","9,6  -0,1 (-1,03%)",10.3,91.0,97.0,96.0,97.0,96.0,96.0,96.3,38.8,15.1,145.0
"April, 2016","10,3  -0,2 (-1,9%)",11.2,98.0,10.5,10.0,10.8,10.0,10.3,10.14,45.2,16.32,166.000
"May, 2016","10,7  0,2 (1,9%)",11.4,10.0,10.5,10.7,10.7,10.6,10.7,10.7,51.5,5.35,57.000
"June, 2016","13,7  -0,2 (-1,44%)",14.8,13.0,13.9,13.7,14.0,13.0,13.7,13.77,76.4,80.55,1.109.000
"July, 2016","12,9  -0,6 (-4,44%)",14.4,12.6,13.5,13.6,13.6,12.9,12.9,13.24,70.4,82.42,1.092.000
"August, 2016","14,6  0,2 (1,39%)",15.4,13.4,14.4,14.5,14.8,14.2,14.6,14.52,79.0,126.03,1.830.000
"September, 2016","18,25  1,15 (6,73%)",18.25,15.95,17.1,16.9,18.25,16.7,18.25,17.990000000000002,10.5,387.12,6.962.000
"October, 2016","19,4  0 (0%)",20.75,18.05,19.4,20.0,20.0,19.0,19.4,19.26,12.6,120.52,2.321.000
"November, 2016","22,4  1,2 (5,66%)",22.65,19.75,21.2,21.2,22.4,21.15,22.4,21.65,12.74,163.08,3.531.000
"December, 2016","21,3  0 (0%)",22.75,19.85,21.3,20.8,21.3,20.7,21.3,21.11,12.41,63.87,1.348.000
"January, 2017","23,4  0,6 (2,63%)",24.35,21.25,22.8,23.0,23.4,22.6,23.4,22.95,13.51,113.95,2.615.000
"February, 2017","23,5  -0,95 (-3,89%)",26.15,22.75,24.45,24.45,24.45,23.3,23.5,23.6,13.57,225.34,5.318.000
"March, 2017","25,8  -0,2 (-0,77%)",27.8,24.2,26.0,26.3,26.9,25.8,25.8,26.32,14.64,162.14,4.268.000
"April, 2017","22  -0,5 (-2,22%)",24.05,20.95,22.5,22.65,22.75,22.0,22.0,22.39,12.77,88.95,1.992.000
