Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","27,6  -0,3 (-1,08%)",29.8,26.0,27.9,28.9,28.9,27.0,27.6,27.76,20.380000000000003,15.18,421.0
"February, 2014","23  -0,1 (-0,43%)",24.7,21.5,23.1,22.6,23.0,22.5,23.0,22.87,16.25,70.0,1.601
"March, 2014","22,1  -1 (-4,33%)",24.7,21.5,23.1,22.9,23.0,22.1,22.1,22.77,15.62,630.0,14.343
"April, 2014","20,2  0,2 (1%)",21.4,18.6,20.0,20.4,20.4,20.0,20.2,20.24,14.28,170.0,3.44
"May, 2014","20,2  0,2 (1%)",21.4,18.6,20.0,20.4,20.4,20.0,20.2,20.12,14.919999999999998,260.0,5.0
"June, 2014","20,2  -0,2 (-0,98%)",21.8,19.0,20.4,20.5,21.2,20.2,20.2,20.49,14.919999999999998,120.0,2.0
"July, 2014","23,5  0,7 (3,07%)",24.3,21.3,22.8,22.5,23.5,22.5,23.5,22.95,17.35,32.83,753.000
"August, 2014","24,5  -0,2 (-0,81%)",26.4,23.0,24.7,24.9,25.2,24.0,24.5,24.72,18.09,96.92,2.396.000
"September, 2014","24,6  -0,9 (-3,53%)",27.2,23.8,25.5,24.6,25.3,24.6,24.6,24.62,18.17,4.89,120.0
"October, 2014","26,4  -0,3 (-1,12%)",28.5,24.9,26.7,27.0,27.0,26.1,26.4,26.46,19.5,4.07,108.000
"November, 2014","27,9  0,6 (2,2%)",29.2,25.4,27.3,27.9,29.2,27.8,27.9,28.31,20.6,28.91,818.0
"December, 2014","28,2  0,2 (0,71%)",29.9,26.1,28.0,26.6,28.5,26.6,28.2,28.34,20.83,19.54,554.0
"January, 2015","26,2  -0,8 (-2,96%)",28.8,25.2,27.0,27.2,27.5,26.1,26.2,26.28,19.35,11.53,303.000
"February, 2015","26,7  -0,1 (-0,37%)",28.6,25.0,26.8,25.6,26.7,25.5,26.7,26.05,19.72,890.0,23.000
"March, 2015","24,9  -0,1 (-0,4%)",26.7,23.3,25.0,23.4,24.9,23.4,24.9,24.15,18.39,20.0,1.0
"April, 2015","27  1,5 (5,88%)",27.2,23.8,25.5,25.1,27.0,25.1,27.0,26.98,19.94,1.07,29.0
"May, 2015","24,5  -0,3 (-1,21%)",26.5,23.1,24.8,25.5,25.8,24.5,24.5,24.630000000000003,18.09,300.0,7.000
"June, 2015","23,8  1,4 (6,25%)",23.9,20.9,22.4,23.9,23.9,22.0,23.8,23.07,17.580000000000002,560.0,13.0
"July, 2015","23  1,4 (6,48%)",23.1,20.1,21.6,21.7,23.0,21.7,23.0,21.93,16.990000000000002,1.0,22.0
"August, 2015","21,5  1 (4,88%)",21.9,19.1,20.5,21.0,21.5,21.0,21.5,21.11,17.3,510.0,11.0
"September, 2015","21,7  0,5 (2,36%)",22.6,19.8,21.2,21.7,21.7,21.7,21.7,21.7,17.3,140.0,3.0
"October, 2015","17,7  0,9 (5,36%)",17.9,15.7,16.8,17.7,17.7,17.7,17.7,17.7,13.69,1.07,19.0
"November, 2015","17,7  -0,1 (-0,56%)",19.0,16.6,17.8,17.8,18.0,17.7,17.7,17.75,13.69,600.0,11.0
"December, 2015","17,2  -0,4 (-2,27%)",18.1,15.9,17.6,17.2,17.2,17.2,17.2,17.2,13.63,1.53,26.0
"January, 2016","16,8  0 (0%)",17.9,15.7,16.8,16.0,16.8,16.0,16.8,16.03,11.94,3.57,57.0
"February, 2016","16,9  0,8 (4,97%)",17.2,15.0,16.1,0.0,16.9,15.9,16.9,16.130000000000003,12.01,3.32,54.0
"March, 2016",17  0 (0%),18.1,15.9,17.0,17.6,17.7,16.9,17.0,16.98,12.9,6.3,107.0
"April, 2016","18,7  -0,3 (-1,58%)",20.3,17.7,19.0,18.8,18.8,17.7,18.7,17.73,14.43,15.5,275.000
"May, 2016","19,4  -0,4 (-2,02%)",21.0,18.4,19.8,19.4,19.7,18.5,19.4,18.66,15.6,837.92,16.750.800
"June, 2016","20,2  -0,1 (-0,49%)",21.7,18.9,20.3,20.2,20.2,19.9,20.2,20.16,16.0,1.21,24.0
"July, 2016","20  1,2 (6,38%)",20.1,17.5,18.8,18.6,20.1,18.0,20.0,19.14,16.369999999999997,11.98,229.0
"August, 2016","19,8  0,5 (2,59%)",20.6,18.0,19.3,18.4,19.8,18.3,19.8,18.9,16.82,4.29,81.0
"September, 2016","19,15  -0,05 (-0,26%)",20.5,17.9,19.2,19.35,19.35,18.4,19.15,19.14,16.69,430.0,8.0
"October, 2016","18,95  0 (0%)",20.25,17.65,18.95,19.25,19.25,17.85,18.95,18.21,16.119999999999997,70.0,1.0
"November, 2016","16,2  -0,2 (-1,22%)",17.5,15.3,16.4,16.75,16.75,16.2,16.2,16.53,14.21,4.43,73.0
"December, 2016","17,6  0,8 (4,76%)",17.95,15.65,16.8,16.7,17.95,15.65,17.6,16.630000000000003,15.44,8.81,147.0
"January, 2017","18,3  0 (0%)",19.55,17.05,18.3,17.9,18.3,17.6,18.3,17.78,16.580000000000002,210.0,4.0
"February, 2017","19,7  0,75 (3,96%)",20.25,17.65,18.95,18.95,19.75,18.95,19.7,19.0,17.85,26.51,504.0
"March, 2017","15,7  -0,05 (-0,32%)",16.85,14.65,15.75,15.95,15.95,15.0,15.7,15.65,15.89,310.0,5.0
"April, 2017","16,35  0,05 (0,31%)",17.4,15.2,16.3,15.5,16.35,15.5,16.35,15.52,16.54,10.31,160.0
"May, 2017","16,35  0 (0%)",17.45,15.25,16.35,16.45,16.45,15.9,16.35,17.65,16.54,170.0,3.0
"June, 2017","16  -0,5 (-3,03%)",17.65,15.35,16.5,15.65,16.4,15.6,16.0,15.82,16.19,1.96,31.0
"July, 2017","15,65  0,05 (0,32%)",16.65,14.55,15.6,15.75,15.75,15.5,15.65,16.130000000000003,15.830000000000002,930.0,15.0
"August, 2017","16,1  1 (6,62%)",16.15,14.05,15.1,15.25,16.1,15.0,16.1,15.25,16.29,2.23,34.0
"September, 2017","14,95  -0,2 (-1,32%)",16.2,14.1,15.15,14.5,14.95,14.5,14.95,15.15,15.13,330.0,5.0
"October, 2017","14,7  -0,45 (-2,97%)",16.2,14.1,15.15,14.1,14.8,14.1,14.7,14.169999999999998,14.87,2.54,36.0
"November, 2017","14,2  0,45 (3,27%)",14.7,12.8,13.75,14.4,14.4,14.2,14.2,14.65,14.37,1.57,23.0
"December, 2017","13,7  -0,05 (-0,36%)",14.7,12.8,13.75,13.95,13.95,13.0,13.7,13.94,13.86,2.08,29.0
"January, 2018",14  0 (0%),14.95,13.05,14.0,14.45,14.45,13.75,14.0,14.16,14.169999999999998,1.13,16.0
"February, 2018","14,75  0,35 (2,43%)",15.4,13.4,14.4,14.75,14.75,14.75,14.75,14.75,14.919999999999998,30.0,443.0
"March, 2018","14,5  -0,4 (-2,68%)",15.9,13.9,14.9,14.95,14.95,14.5,14.5,15.15,14.669999999999998,330.0,5.0
"April, 2018","13,85  -0,05 (-0,36%)",14.85,12.95,13.9,12.95,13.85,12.95,13.85,12.98,14.01,10.63,138.0
"May, 2018","13,4  0 (0%)",14.3,12.5,13.4,0.0,0.0,0.0,13.4,0.0,13.56,20.0,261.0
"June, 2018","13,45  0 (0%)",14.35,12.55,13.45,0.0,0.0,0.0,13.45,0.0,13.61,200.0,3.0
"July, 2018","12,1  -0,2 (-1,63%)",13.15,11.45,12.3,13.1,13.1,12.1,12.1,12.6,12.24,20.0,252.0
"August, 2018","14,75  0,95 (6,88%)",14.75,12.85,13.8,13.8,14.75,13.8,14.75,14.28,14.919999999999998,20.0,286.0
"September, 2018","14,4  -0,1 (-0,69%)",15.5,13.5,14.5,13.5,14.4,13.5,14.4,13.080000000000002,14.57,1.07,14.0
"October, 2018","13,85  0,1 (0,73%)",14.7,12.8,13.75,13.85,13.85,13.85,13.85,13.85,14.01,10.0,139.0
"November, 2018","14,1  0 (0%)",15.05,13.15,14.1,0.0,0.0,0.0,14.1,0.0,14.27,200.0,3.0
"December, 2018","12,2  -0,1 (-0,81%)",13.15,11.45,12.3,13.0,13.0,12.2,12.2,11.9,12.34,840.0,10.0
"January, 2019","12,1  -0,4 (-3,2%)",13.35,11.65,12.5,12.1,12.5,12.1,12.1,12.12,12.33,7.18,87.0
"February, 2019","14,3  0,5 (3,62%)",14.75,12.85,13.8,14.3,14.3,14.3,14.3,14.3,14.580000000000002,10.0,143.0
"March, 2019","13,6  0 (0%)",14.55,12.65,13.6,0.0,0.0,0.0,13.6,0.0,13.86,220.0,3.0
"April, 2019","13,4  0 (0%)",14.3,12.5,13.4,0.0,0.0,0.0,13.4,0.0,13.66,40.0,1.0
"May, 2019","13,35  0 (0%)",14.25,12.45,13.35,0.0,0.0,0.0,13.35,0.0,13.61,2.04,27.0
"June, 2019","12,9  0,8 (6,61%)",12.9,11.3,12.1,12.9,12.9,12.9,12.9,12.9,13.15,10.0,129.0
"July, 2019","12,85  0,35 (2,8%)",13.35,11.65,12.5,12.5,12.9,12.5,12.85,12.9,13.1,620.0,8.0
"August, 2019","12,2  0 (0%)",13.05,11.35,12.2,12.2,12.2,12.2,12.2,12.2,12.44,10.0,122.0
"September, 2019","11,95  0,25 (2,14%)",12.5,10.9,11.7,12.4,12.4,11.05,11.95,11.54,12.18,1.04,12.0
"October, 2019","12  -0,85 (-6,61%)",13.7,12.0,12.85,12.0,12.0,12.0,12.0,11.11,12.23,90.0,1.0
"November, 2019","12,5  0,2 (1,63%)",13.15,11.45,12.3,12.5,12.5,12.5,12.5,12.5,12.74,10.0,125.0
"December, 2019","12,45  0,65 (5,51%)",12.6,11.0,11.8,12.6,12.6,11.6,12.45,11.61,12.69,1.12,13.0
"January, 2020","12,95  0 (0%)",13.85,12.05,12.95,12.95,12.95,12.95,12.95,12.95,13.36,10.0,130.0
"February, 2020","12,95  0 (0%)",13.85,12.05,12.95,0.0,0.0,0.0,12.95,0.0,13.36,220.0,3.0
"March, 2020","12  0,55 (4,8%)",12.25,10.65,11.45,10.65,12.0,10.65,12.0,12.5,11.97,320.0,4.0
"April, 2020","10,85  -0,55 (-4,82%)",12.15,10.65,11.4,11.3,11.3,10.85,10.85,11.08,10.85,20.0,222.0
"May, 2020","10,6  0 (0%)",11.3,98.6,10.6,0.0,0.0,0.0,10.6,0.0,10.6,1.0,11.0
"June, 2020","11,15  0,5 (4,69%)",11.35,99.1,10.65,11.15,11.15,11.15,11.15,11.15,0.0,10.0,112.0
"July, 2020","11,5  -0,45 (-3,77%)",12.75,11.15,11.95,12.45,12.45,11.5,11.5,11.98,0.0,20.0,240.0
"August, 2020","12,85  -0,5 (-3,75%)",14.25,12.45,13.35,12.45,12.85,12.45,12.85,12.65,0.0,20.0,253.0
"September, 2020","12,2  -0,15 (-1,21%)",13.2,11.5,12.35,12.25,12.95,12.2,12.2,12.32,0.0,2.11,26.0
"October, 2020","12,5  -0,05 (-0,4%)",13.4,11.7,12.55,11.9,12.5,11.8,12.5,12.9,0.0,310,4.000
"November, 2020","12,4  -0,6 (-4,62%)",13.9,12.1,13.0,13.0,13.25,12.4,12.4,12.64,0.0,11.55,146.0
"December, 2020","13,4  0,2 (1,52%)",14.1,12.3,13.2,13.1,13.45,12.7,13.4,12.5,0.0,240.0,3.0
"January, 2021","13,1  -0,2 (-1,5%)",14.2,12.4,13.3,12.6,13.1,12.6,13.1,13.080000000000002,0.0,1.3,17.0
"February, 2021","12,5  0 (0%)",13.35,11.65,12.5,12.5,13.3,12.5,12.5,12.86,0.0,2.8,36.0
"March, 2021","12,5  0 (0%)",13.35,11.65,12.5,12.5,12.5,12.4,12.5,12.57,0.0,3.5,44.0
"April, 2021","13,3  -0,1 (-0,75%)",14.3,12.5,13.4,13.3,13.3,12.8,13.3,12.86,0.0,4.9,63.0
