Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","38,8  0,5 (1,31%)",40.9,35.7,38.3,38.3,40.0,37.1,38.8,38.22,17.36,61.85,2.364.000
"February, 2014","25,7  0,2 (0,78%)",27.2,23.8,25.5,25.4,25.7,24.5,25.7,25.17,10.44,132.53,3.336.272
"March, 2014","25,1  -0,2 (-0,79%)",27.0,23.6,25.3,25.2,25.8,25.0,25.1,25.08,10.2,100.35,2.516.609
"April, 2014","22,8  0,2 (0,88%)",24.1,21.1,22.6,23.0,23.0,22.2,22.8,22.31,92.6,49.91,1.113.616
"May, 2014","22,3  0,1 (0,45%)",23.7,20.7,22.2,21.9,22.3,21.9,22.3,22.18,90.6,106.92,2.372.000
"June, 2014","21,6  1,4 (6,93%)",21.6,18.8,20.2,20.3,21.6,20.3,21.6,20.89,96.4,435.04,8.672.000
"July, 2014","21,3  0,4 (1,91%)",22.3,19.5,20.9,20.9,21.3,20.9,21.3,21.04,95.1,50.69,1.067.000
"August, 2014","22,5  0,1 (0,45%)",23.9,20.9,22.4,22.5,22.7,22.2,22.5,22.45,10.05,181.17,4.065.000
"September, 2014","29,9  1,9 (6,79%)",29.9,26.1,28.0,28.0,29.9,27.7,29.9,29.380000000000003,13.35,805.44,23.665.000
"October, 2014","33,5  0,5 (1,52%)",35.3,30.7,33.0,32.3,33.7,32.1,33.5,32.78,14.96,146.81,4.812.000
"November, 2014","38,3  -2,7 (-6,59%)",43.8,38.2,41.0,40.9,41.0,38.3,38.3,38.9,17.14,114.16,4.440.000
"December, 2014","34  1,6 (4,94%)",34.6,30.2,32.4,32.5,34.1,32.5,34.0,33.68,15.21,23.74,800.000
"January, 2015","33,4  -0,6 (-1,76%)",36.3,31.7,34.0,33.9,33.9,33.0,33.4,33.11,14.94,13.31,441.000
"February, 2015","32,6  -0,3 (-0,91%)",35.2,30.6,32.9,33.5,33.5,32.2,32.6,32.45,14.59,2.57,83.0
"March, 2015","31,5  0 (0%)",33.7,29.3,31.5,32.0,32.0,31.5,31.5,31.56,14.09,5.6,177.0
"April, 2015","30  -0,4 (-1,32%)",32.5,28.3,30.4,30.5,30.5,29.6,30.0,29.98,13.419999999999998,2.4,72.0
"May, 2015","28,9  -0,1 (-0,34%)",31.0,27.0,29.0,29.0,29.3,28.6,28.9,28.880000000000003,12.93,24.67,712.000
"June, 2015","24,9  -0,1 (-0,4%)",26.7,23.3,25.0,24.8,24.9,24.0,24.9,24.74,12.95,38.08,942.000
"July, 2015","25,4  -0,1 (-0,39%)",27.2,23.8,25.5,25.1,25.9,25.1,25.4,25.5,13.21,58.42,1.490.000
"August, 2015","25,6  0,5 (1,99%)",26.8,23.4,25.1,25.1,25.6,25.0,25.6,25.39,14.24,49.76,1.263.000
"September, 2015","25,8  0,6 (2,38%)",26.9,23.5,25.2,25.6,26.0,25.2,25.8,25.93,14.02,5.63,146.0
"October, 2015","31,5  -1 (-3,08%)",34.7,30.3,32.5,32.3,32.3,31.2,31.5,31.76,16.94,42.62,1.354.000
"November, 2015","33,5  0,1 (0,3%)",35.7,31.1,33.4,33.4,34.1,32.7,33.5,33.25,18.02,52.4,1.742.000
"December, 2015",34  0 (0%),36.4,31.8,34.0,34.1,34.9,34.0,34.0,34.25,21.46,29.9,1.024.000
"January, 2016","28,5  0,3 (1,06%)",30.1,26.3,28.2,28.0,28.8,28.0,28.5,28.160000000000004,16.47,47.5,1.338.000
"February, 2016","29,1  0 (0%)",31.1,27.1,29.1,29.1,29.6,28.8,29.1,29.110000000000003,16.82,30.21,879.000
"March, 2016","32,5  -1 (-2,99%)",35.8,31.2,33.5,33.5,34.0,32.5,32.5,33.1,19.03,91.5,3.028.000
"April, 2016","31,9  0,7 (2,24%)",33.3,29.1,31.2,31.7,32.2,31.0,31.9,31.27,19.95,134.94,4.219.000
"May, 2016","30,6  0,1 (0,33%)",32.8,28.6,30.5,0.0,30.7,30.4,30.6,30.52,18.66,36.32,1.108.000
"June, 2016","33,2  0,4 (1,22%)",35.0,30.6,32.8,33.2,33.2,32.4,33.2,32.86,21.27,65.49,2.152.000
"July, 2016","32,3  0,8 (2,54%)",33.7,29.3,31.5,31.5,33.4,31.1,32.3,32.46,20.95,547.36,17.770.000
"August, 2016","35  -0,7 (-1,96%)",38.1,33.3,35.7,35.7,35.7,35.0,35.0,35.39,23.06,180.82,6.400.000
"September, 2016","36,7  -0,3 (-0,81%)",39.55,34.45,37.0,37.0,37.0,36.5,36.7,36.760000000000005,24.17,412.130,15.150.000
"October, 2016","22,8  0 (0%)",24.35,21.25,22.8,22.85,22.85,22.75,22.8,22.79,20.75,28.080,640.000
"November, 2016",18  0 (0%),19.25,16.75,18.0,18.1,18.4,17.6,18.0,18.02,16.68,104.08,1.875.000
"December, 2016","17,4  -0,1 (-0,57%)",18.7,16.3,17.5,17.5,17.5,16.8,17.4,16.990000000000002,17.05,18.26,310.000
"January, 2017","17  0,2 (1,19%)",17.95,15.65,16.8,17.2,17.2,16.55,17.0,16.869999999999997,16.66,21.21,358.000
"February, 2017","17,4  0,1 (0,58%)",18.5,16.1,17.3,17.3,17.4,17.2,17.4,17.22,17.05,19.99,344.000
"March, 2017","17,05  -0,05 (-0,29%)",18.25,15.95,17.1,17.3,17.3,17.05,17.05,17.080000000000002,16.5,35.29,603.0
"April, 2017","16,7  0 (0%)",17.85,15.55,16.7,16.7,16.7,16.6,16.7,16.669999999999998,16.16,8.4,140.000
"May, 2017","16,7  0 (0%)",17.85,15.55,16.7,16.6,16.7,16.4,16.7,16.55,16.16,37.09,614.000
"June, 2017","16,4  0,1 (0,61%)",17.4,15.2,16.3,16.3,16.5,16.2,16.4,16.34,16.47,81.46,1.331.000
"July, 2017","15,2  0 (0%)",16.25,14.15,15.2,15.2,15.2,14.9,15.2,15.03,15.26,41.51,624.000
"August, 2017","14,25  0,1 (0,71%)",15.1,13.2,14.15,14.15,14.25,14.05,14.25,14.19,14.31,47.92,680.000
"September, 2017","14  -0,05 (-0,36%)",15.0,13.1,14.05,13.95,14.0,13.9,14.0,13.93,14.06,14.93,208.0
"October, 2017","12,7  -0,2 (-1,55%)",13.8,12.0,12.9,12.9,13.1,12.7,12.7,12.91,12.75,42.44,548.0
"November, 2017","12,35  0,05 (0,41%)",13.15,11.45,12.3,12.2,12.7,12.2,12.35,12.29,13.06,136.62,1.679.000
"December, 2017","12,85  0,05 (0,39%)",13.65,11.95,12.8,12.8,13.0,12.5,12.85,12.76,13.59,113.2,1.444.000
"January, 2018","15,2  -0,15 (-0,98%)",16.4,14.3,15.35,15.35,15.45,15.2,15.2,15.26,16.080000000000002,131.960,2.014.000
"February, 2018","14,95  -0,25 (-1,64%)",16.25,14.15,15.2,15.3,15.3,14.85,14.95,14.94,15.82,54.100,808.000
"March, 2018","14,75  -0,05 (-0,34%)",15.8,13.8,14.8,14.9,14.9,14.75,14.75,14.81,15.6,15.53,230.000
"April, 2018","13,9  0,1 (0,72%)",14.75,12.85,13.8,13.75,13.9,13.3,13.9,13.76,14.7,7.27,100.000
"May, 2018","12,1  -0,25 (-2,02%)",13.2,11.5,12.35,12.4,12.4,12.1,12.1,12.19,12.8,7.55,92.000
"June, 2018",11  0 (0%),11.75,10.25,11.0,10.8,11.1,10.35,11.0,10.75,11.89,930.0,10.000
"July, 2018","13,1  0,1 (0,77%)",13.9,12.1,13.0,12.7,13.1,12.7,13.1,13.02,14.31,3.84,50.0
"August, 2018","13,1  -0,2 (-1,5%)",14.2,12.4,13.3,12.8,13.1,12.75,13.1,12.84,14.31,32.02,411.0
"September, 2018","13,3  0,1 (0,76%)",14.1,12.3,13.2,13.35,14.1,13.3,13.3,13.24,14.53,680.0,9.000
"October, 2018","13  0,2 (1,56%)",13.65,11.95,12.8,12.8,13.0,12.7,13.0,12.94,14.2,37.55,486.0
"November, 2018","13  0,2 (1,56%)",13.65,11.95,12.8,12.8,13.0,12.8,13.0,12.87,14.2,1.01,13.0
"December, 2018","13,5  -0,15 (-1,1%)",14.6,12.7,13.65,13.65,14.5,13.5,13.5,14.24,15.1,69.57,991.000
