Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2021","39,7  0,1 (0,25%)",42.35,36.85,39.6,38.2,39.7,38.2,39.7,39.02,0.0,1.788.900,69.806.000
"February, 2021","39,55  -0,15 (-0,38%)",42.45,36.95,39.7,39.5,39.6,39.25,39.55,39.4,0.0,2.243.100,88.375.000
"March, 2021","28,15  1,8 (6,83%)",28.15,24.55,26.35,28.15,28.15,27.2,28.15,27.97,0.0,4.138.700,115.776.000
"April, 2021","26,85  0,05 (0,19%)",28.65,24.95,26.8,26.1,26.95,26.1,26.85,26.76,0.0,1.199.900,32.108.000
"May, 2021","40,8  1,8 (4,62%)",41.7,36.3,39.0,39.0,40.8,38.0,40.8,39.12,0.0,1.832.500,71.689.000
"June, 2021","41,15  0,2 (0,49%)",43.8,38.1,40.95,40.95,41.35,39.5,41.15,40.96,0.0,2.195.300,89.915.000
"July, 2021","36,6  -0,4 (-1,08%)",39.55,34.45,37.0,36.95,37.2,36.0,36.6,36.65,0.0,2.351.600,86.178.000
"August, 2021",36  0 (0%),38.5,33.5,36.0,36.0,36.1,35.65,36.0,35.85,0.0,3.009.500,107.893.000
"September, 2021","35,85  0 (0%)",38.35,33.35,35.85,35.8,35.95,35.2,35.85,35.58,0.0,2.694.100,95.857.000
"October, 2021","37,1  -0,7 (-1,85%)",40.4,35.2,37.8,37.75,37.8,36.8,37.1,37.19,0.0,2.120.900,78.868.000
"November, 2021","39,6  -0,15 (-0,38%)",42.5,37.0,39.75,39.9,40.0,38.6,39.6,39.6,0.0,1.579.000,62.529.000
"December, 2021","45,6  0,55 (1,22%)",48.2,41.9,45.05,44.9,45.9,44.8,45.6,45.35,0.0,2.256.900,102.342.000
