Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2010","82,5  0,5 (0,61%)",86.0,78.0,82.0,82.0,83.0,80.5,82.5,81.92,16.73,1.103.600,90.592.210
"February, 2010","86  0,5 (0,58%)",89.5,81.5,85.5,85.0,86.0,85.0,86.0,85.47,17.44,992.610,85.139.230
"March, 2010","43,2  -0,3 (-0,69%)",45.6,41.4,43.5,43.2,44.0,43.2,43.2,43.53,17.52,1.642.860,71.539.264
"April, 2010","43,6  -0,7 (-1,58%)",46.5,42.1,44.3,44.5,44.8,43.6,43.6,43.92,17.69,1.627.280,71.463.308
"May, 2010","37,5  -0,6 (-1,57%)",40.0,36.2,38.1,37.8,37.9,37.0,37.5,37.510000000000005,15.419999999999998,2.027.690,76.285.625
"June, 2010","34,4  -0,5 (-1,43%)",36.6,33.2,34.9,34.0,34.7,34.0,34.4,34.36,14.14,1.023.460,35.177.625
"July, 2010","32,8  0,1 (0,31%)",34.3,31.1,32.7,32.7,33.3,32.7,32.8,32.93,13.49,974.020,32.113.043
"August, 2010","28  1,3 (4,87%)",28.0,25.4,26.7,27.1,28.0,27.1,28.0,27.76,11.51,3.391.470,94.146.054
"September, 2010","26,9  -0,1 (-0,37%)",28.3,25.7,27.0,26.9,27.0,26.8,26.9,26.94,11.06,676.740,18.229.058
"October, 2010","24,7  0,1 (0,41%)",25.8,23.4,24.6,24.6,25.0,24.6,24.7,24.71,10.16,994.690,24.546.373
"November, 2010","24,7  1,1 (4,66%)",24.7,22.5,23.6,24.6,24.7,24.5,24.7,24.68,10.16,4.017.280,99.134.102
"December, 2010","32  0,3 (0,95%)",33.2,30.2,31.7,31.7,32.5,31.7,32.0,32.02,13.16,2.175.610,69.680.112
"January, 2011","29,8  0 (0%)",31.2,28.4,29.8,29.8,30.3,29.7,29.8,29.93,12.25,1.261.550,37.765.992
"February, 2011","24,4  -0,8 (-3,17%)",26.4,24.0,25.2,25.1,25.4,24.4,24.4,24.85,10.03,2.474.230,61.572.050
"March, 2011","22,5  0,1 (0,45%)",23.5,21.3,22.4,22.6,23.0,22.5,22.5,22.67,92.5,1.444.210,32.750.699
"April, 2011","20,5  0,3 (1,49%)",21.2,19.2,20.2,20.2,20.8,20.1,20.5,20.48,84.3,1.572.120,32.198.318
"May, 2011","16,4  -0,4 (-2,38%)",17.6,16.0,16.8,16.1,16.7,16.0,16.4,16.25,67.4,1.985.840,32.270.894
"June, 2011","17,7  -0,4 (-2,21%)",19.0,17.2,18.1,18.0,18.3,17.7,17.7,17.990000000000002,72.8,1.511.920,27.153.723
"July, 2011","17,4  -0,2 (-1,14%)",18.4,16.8,17.6,17.6,17.8,17.3,17.4,17.45,71.5,712.020,12.427.876
