Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2010","31  0,8 (2,65%)",31.7,28.7,30.2,29.9,31.0,29.8,31.0,29.9,40.1,2.18,65.183
"February, 2010","34,3  0,9 (2,69%)",35.0,31.8,33.4,33.8,34.3,33.8,34.3,34.14,44.4,20.55,701.548
"March, 2010","33,5  1,1 (3,4%)",34.0,30.8,32.4,32.5,33.5,32.5,33.5,32.63,43.3,910.0,29.696
"April, 2010","29,8  0,4 (1,36%)",30.8,28.0,29.4,29.3,30.0,29.3,29.8,29.78,44.3,11.37,338.564
"May, 2010","32,1  -0,9 (-2,73%)",34.6,31.4,33.0,33.9,33.9,32.1,32.1,32.239999999999995,47.7,2.11,68.017
"June, 2010","30,7  -0,3 (-0,97%)",32.5,29.5,31.0,30.9,30.9,30.7,30.7,30.89,47.1,160.0,4.942
"July, 2010",31  0 (0%),32.5,29.5,31.0,31.0,31.0,31.0,31.0,31.0,47.6,10.0,310.0
"August, 2010","27,7  -0,2 (-0,72%)",29.2,26.6,27.9,27.9,28.0,27.7,27.7,27.85,42.5,2.95,82.162
"September, 2010","25,8  0 (0%)",27.0,24.6,25.8,25.0,25.8,25.0,25.8,25.8,41.8,4.51,116.349
"October, 2010","24,7  0 (0%)",25.9,23.5,24.7,0.0,0.0,0.0,24.7,0.0,4.0,500.0,11.713
"November, 2010",23  0 (0%),24.1,21.9,23.0,22.8,24.1,22.7,23.0,23.53,37.3,1.88,44.245
"December, 2010","23  0,5 (2,22%)",23.6,21.4,22.5,22.4,23.0,22.0,23.0,22.44,38.9,17.28,387.799
"January, 2011","21,4  0 (0%)",22.4,20.4,21.4,20.4,21.4,20.4,21.4,20.73,36.2,330.0,6.841
"February, 2011","18,3  0,4 (2,23%)",18.7,17.1,17.9,18.7,18.7,18.3,18.3,18.59,31.0,410.0,7.623
"March, 2011","16,9  0,2 (1,2%)",17.5,15.9,16.7,16.9,16.9,16.9,16.9,16.9,28.6,10.0,169.0
"April, 2011","14,6  0,1 (0,69%)",15.2,13.8,14.5,14.5,14.6,14.5,14.6,14.6,24.7,220.0,3.211
"May, 2011","12,9  -0,1 (-0,77%)",13.6,12.4,13.0,12.9,12.9,12.4,12.9,12.59,22.6,1.36,17.124
"June, 2011","12,5  -0,2 (-1,57%)",13.3,12.1,12.7,12.7,12.7,12.4,12.5,12.42,21.9,3.22,39.989
"July, 2011","12,6  0,4 (3,28%)",12.8,11.6,12.2,12.6,12.6,12.6,12.6,12.6,22.1,500.0,6.3
"August, 2011","12,6  0 (0%)",13.2,12.0,12.6,0.0,0.0,0.0,12.6,0.0,23.9,4.51,56.226
"September, 2011",12  0 (0%),12.6,11.4,12.0,12.6,12.6,12.0,12.0,12.59,22.8,1.01,12.72
"October, 2011","11,5  0,5 (4,55%)",11.5,10.5,11.0,11.5,11.5,11.5,11.5,11.5,21.8,90.0,1.035
"November, 2011","12,5  0 (0%)",13.1,11.9,12.5,0.0,0.0,0.0,12.5,0.0,23.7,10.0,125.0
"December, 2011","11,3  -0,2 (-1,74%)",12.0,11.0,11.5,11.5,11.5,11.3,11.3,11.4,21.5,20.0,228.0
"January, 2012","11,5  0,4 (3,6%)",11.6,10.6,11.1,11.4,11.5,11.4,11.5,11.5,26.2,870.0,10.002
"February, 2012",13  0 (0%),13.6,12.4,13.0,12.5,13.0,12.5,13.0,12.52,29.6,620.0,7.76
"March, 2012","12,2  -0,1 (-0,81%)",12.9,11.7,12.3,12.2,12.2,12.2,12.2,12.2,27.8,20.0,244.0
"April, 2012","12,9  0 (0%)",13.5,12.3,12.9,12.9,12.9,12.3,12.9,12.86,29.4,3.17,40.769
"May, 2012","13,8  0,2 (1,47%)",14.2,13.0,13.6,13.6,13.8,13.6,13.8,13.6,31.4,2.77,37.674
"June, 2012",12  0 (0%),12.6,11.4,12.0,11.8,12.0,11.8,12.0,11.97,29.6,680.0,8.14
"July, 2012","11,7  0,2 (1,74%)",12.0,11.0,11.5,11.7,11.7,11.7,11.7,11.7,28.8,10.0,117.0
"August, 2012","10,7  0 (0%)",11.2,10.2,10.7,0.0,0.0,0.0,10.7,0.0,26.4,30.0,322.0
"September, 2012","11,5  0,5 (4,55%)",11.5,10.5,11.0,11.0,11.5,11.0,11.5,11.01,28.4,1.91,21.03
"October, 2012","13,1  0,3 (2,34%)",13.4,12.2,12.8,12.8,13.1,12.7,13.1,12.71,32.3,22.09,280.691
"November, 2012","11,2  -0,2 (-1,75%)",11.9,10.9,11.4,11.2,11.4,11.2,11.2,11.22,27.6,10.14,113.818
"December, 2012","12,3  -0,5 (-3,91%)",13.4,12.2,12.8,12.6,12.6,12.3,12.3,12.6,30.3,2.05,25.827
"January, 2013","13,4  0 (0%)",14.3,12.5,13.4,13.4,13.5,13.4,13.4,13.4,33.0,3.41,45.695
"February, 2013","14  0,2 (1,45%)",14.7,12.9,13.8,14.0,14.0,14.0,14.0,14.0,34.5,10.0,140.0
"March, 2013","14,4  0 (0%)",15.4,13.4,14.4,0.0,0.0,0.0,14.4,0.0,35.5,50.0,720.0
"April, 2013","14,5  -0,5 (-3,33%)",16.0,14.0,15.0,14.5,14.5,14.5,14.5,14.5,35.8,200.0,2.9
"May, 2013","14,2  -0,3 (-2,07%)",15.5,13.5,14.5,14.2,14.2,14.2,14.2,14.2,35.0,1.58,22.436
