Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2010","22,2  -0,1 (-0,45%)",23.4,21.2,22.3,22.0,22.5,22.0,22.2,22.19,10.27,1.392.140,30.953.961
"February, 2010","23,5  0,3 (1,29%)",24.3,22.1,23.2,23.2,23.5,23.1,23.5,23.26,10.87,1.292.610,30.096.429
"March, 2010","21,7  -0,1 (-0,46%)",22.8,20.8,21.8,21.8,22.0,21.7,21.7,21.8,10.04,1.612.840,35.157.305
"April, 2010","21,8  -0,2 (-0,91%)",23.1,20.9,22.0,22.0,22.0,21.8,21.8,21.880000000000003,10.09,2.317.460,50.463.357
"May, 2010","20,6  -0,2 (-0,96%)",21.8,19.8,20.8,20.8,20.9,20.6,20.6,20.71,95.3,1.303.250,27.388.760
"June, 2010","20,8  -0,2 (-0,95%)",22.0,20.0,21.0,20.8,21.0,20.8,20.8,20.85,96.2,1.599.770,33.362.515
"July, 2010","17,1  0 (0%)",17.9,16.3,17.1,17.1,17.2,17.0,17.1,17.11,95.8,732.760,12.536.563
"August, 2010","16,3  0,1 (0,62%)",17.0,15.4,16.2,16.2,16.4,16.0,16.3,16.22,91.3,1.198.450,19.440.564
"September, 2010","16,7  0,2 (1,21%)",17.3,15.7,16.5,16.5,16.7,16.4,16.7,16.61,93.5,816.970,13.568.272
"October, 2010","16  0,3 (1,91%)",16.4,15.0,15.7,15.7,16.0,15.6,16.0,15.87,89.6,3.820.560,60.426.606
"November, 2010","14,7  0,5 (3,52%)",14.9,13.5,14.2,14.5,14.9,14.4,14.7,14.64,82.3,4.185.603,61.081.852
"December, 2010","16,2  0,3 (1,89%)",16.6,15.2,15.9,16.4,16.4,15.9,16.2,16.19,90.7,2.554.890,41.326.325
"January, 2011","15,8  0 (0%)",16.5,15.1,15.8,15.8,15.8,15.6,15.8,15.74,88.5,896.310,14.118.903
"February, 2011","14,4  -0,3 (-2,04%)",15.4,14.0,14.7,14.7,14.8,14.4,14.4,14.56,80.7,711.620,10.363.751
"March, 2011","14  0,1 (0,72%)",14.5,13.3,13.9,13.9,14.1,13.9,14.0,13.98,78.4,1.283.220,17.944.001
"April, 2011","12,9  0 (0%)",13.5,12.3,12.9,12.9,13.0,12.8,12.9,12.9,72.3,488.290,6.299.811
"May, 2011","11,7  0 (0%)",12.2,11.2,11.7,11.7,11.8,11.6,11.7,11.71,65.5,963.620,11.281.236
"June, 2011",12  0 (0%),12.6,11.4,12.0,12.0,12.1,12.0,12.0,12.0,67.2,4.474.400,51.293.127
"July, 2011","13,9  0 (0%)",14.5,13.3,13.9,13.9,14.0,13.8,13.9,13.9,77.9,1.104.843,15.339.692
"August, 2011",14  0 (0%),14.7,13.3,14.0,14.0,14.1,13.8,14.0,14.0,90.4,5.769.970,80.774.059
"September, 2011","14,3  0,1 (0,7%)",14.9,13.5,14.2,14.2,14.6,14.2,14.3,14.38,92.3,900.060,12.940.667
"October, 2011","13,4  -0,2 (-1,47%)",14.2,13.0,13.6,13.5,13.6,13.4,13.4,13.49,86.5,787.680,10.624.843
"November, 2011","14,4  0,1 (0,7%)",15.0,13.6,14.3,14.2,14.4,14.0,14.4,14.3,93.0,2.790.810,39.985.913
"December, 2011","15,1  0 (0%)",15.8,14.4,15.1,15.0,15.2,14.8,15.1,15.06,97.5,12.666.676,193.743.642
"January, 2012","19  0,5 (2,7%)",19.4,17.6,18.5,18.5,19.0,18.5,19.0,18.93,12.27,1.198.700,22.685.792
"February, 2012","22,5  1 (4,65%)",22.5,20.5,21.5,21.5,22.5,21.2,22.5,21.86,14.53,5.872.010,128.349.051
"March, 2012","23,2  -0,2 (-0,85%)",24.5,22.3,23.4,23.5,23.5,23.2,23.2,23.28,14.98,822.590,19.150.549
"April, 2012","24,6  -0,1 (-0,4%)",25.9,23.5,24.7,24.9,24.9,24.6,24.6,24.7,15.88,746.780,18.487.683
