Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2010","25,5  0,8 (3,24%)",25.9,23.5,24.7,24.0,25.5,24.0,25.5,24.74,26.9,4.17,103.17
"February, 2010","25,5  0 (0%)",26.7,24.3,25.5,24.5,25.5,24.5,25.5,25.48,26.9,580.0,14.78
"March, 2010","32,6  -1,7 (-4,96%)",36.0,32.6,34.3,33.5,33.5,32.6,32.6,33.09,32.2,11.84,391.834
"April, 2010","31,5  0 (0%)",33.0,30.0,31.5,31.5,32.5,31.5,31.5,31.5,31.1,2.83,89.155
"May, 2010","31  0,7 (2,31%)",31.8,28.8,30.3,31.0,31.0,31.0,31.0,31.0,30.8,10.0,310.0
"June, 2010","42,3  2 (4,96%)",42.3,38.3,40.3,38.4,42.3,38.4,42.3,40.45,42.0,1.9,76.86
"July, 2010","41  -0,5 (-1,2%)",43.5,39.5,41.5,41.0,41.0,41.0,41.0,41.0,40.7,10.0,410.0
"August, 2010","36,1  1,2 (3,44%)",36.6,33.2,34.9,36.5,36.5,33.5,36.1,35.37,35.8,100.03,3.501.061
"September, 2010","34,5  -1,8 (-4,96%)",38.1,34.5,36.3,34.5,34.5,34.5,34.5,34.5,34.2,108.04,4.116.180
"October, 2010","28,5  -1,4 (-4,68%)",31.3,28.5,29.9,28.5,28.5,28.5,28.5,28.5,28.3,40.0,1.14
"November, 2010","24,7  1,1 (4,66%)",24.7,22.5,23.6,24.7,24.7,23.0,24.7,23.12,26.1,5.73,132.481
"December, 2010","25,5  0,5 (2%)",26.2,23.8,25.0,25.5,25.5,25.5,25.5,25.5,26.9,10.0,255
"January, 2011","25  0,5 (2,04%)",25.7,23.3,24.5,25.0,25.0,25.0,25.0,25.0,26.4,100.0,2.500
"February, 2011","24,2  0 (0%)",25.4,23.0,24.2,0.0,0.0,0.0,24.2,0.0,25.5,405.078,9.108.670
"March, 2011","22,5  0 (0%)",23.6,21.4,22.5,0.0,0.0,0.0,22.5,0.0,23.7,10.0,225.0
"April, 2011","21,1  0 (0%)",22.1,20.1,21.1,0.0,0.0,0.0,21.1,0.0,22.3,10.0,211.0
"May, 2011","16,9  0,8 (4,97%)",16.9,15.3,16.1,16.9,16.9,16.9,16.9,16.9,17.8,10.0,169.0
"June, 2011","23,7  -1,2 (-4,82%)",26.1,23.7,24.9,23.7,23.7,23.7,23.7,23.7,25.4,30.0,711.0
"July, 2011","22,4  1 (4,67%)",22.4,20.4,21.4,20.4,22.4,20.4,22.4,21.4,24.0,20.0,428.0
"August, 2011","18,7  0,8 (4,47%)",18.7,17.1,17.9,18.7,18.7,18.7,18.7,18.7,2.0,10,187.0
"September, 2011","29,1  0,1 (0,34%)",30.4,27.6,29.0,29.5,29.5,29.1,29.1,29.110000000000003,32.5,510.0,14.845
"October, 2011","24,4  -1,2 (-4,69%)",26.8,24.4,25.6,24.4,24.4,24.4,24.4,24.4,27.2,10.0,244.0
"November, 2011","22,8  0 (0%)",23.9,21.7,22.8,0.0,0.0,0.0,22.8,0.0,25.5,34.02,738.234
"December, 2011","16  0,7 (4,58%)",16.0,14.6,15.3,16.0,16.0,16.0,16.0,16.0,17.9,10.0,160.0
"January, 2012","16,6  0,7 (4,4%)",16.6,15.2,15.9,16.6,16.6,16.6,16.6,16.6,18.5,10.0,166.0
"February, 2012",25  0 (0%),26.2,23.8,25.0,0.0,0.0,0.0,25.0,0.0,27.9,10.0,250.0
"March, 2012",23  0 (0%),24.1,21.9,23.0,0.0,0.0,0.0,23.0,0.0,26.9,20.0,470.0
"April, 2012","21,5  -1,1 (-4,87%)",23.7,21.5,22.6,21.5,21.5,21.5,21.5,21.5,25.1,2.05,44.075
"May, 2012","22,3  -1,1 (-4,7%)",24.5,22.3,23.4,22.3,22.3,22.3,22.3,22.3,26.1,10.0,223.0
"June, 2012","17,2  0 (0%)",18.0,16.4,17.2,0.0,0.0,0.0,17.2,0.0,20.1,1.691.339,30.444.102
"July, 2012","25,5  0 (0%)",26.7,24.3,25.5,25.5,25.5,25.5,25.5,25.5,29.8,10.0,255.0
"August, 2012","16  -0,8 (-4,76%)",17.6,16.0,16.8,16.0,16.0,16.0,16.0,16.0,20.1,90.0,1.44
"September, 2012","15,3  0,7 (4,79%)",15.3,13.9,14.6,15.3,15.3,15.3,15.3,15.3,19.2,100.0,1.53
"October, 2012","18,4  0 (0%)",19.3,17.5,18.4,0.0,0.0,0.0,18.4,0.0,23.1,1.0,18.4
"November, 2012","18,4  0 (0%)",19.3,17.5,18.4,0.0,0.0,0.0,18.4,0.0,23.1,2.02,33.734
"December, 2012","17,4  0 (0%)",18.2,16.6,17.4,0.0,0.0,0.0,17.4,0.0,23.0,20.0,348.0
"January, 2013","17  -1,2 (-6,59%)",19.4,17.0,18.2,17.0,17.0,17.0,17.0,17.0,22.4,10.0,170.0
"February, 2013","22  1,4 (6,8%)",22.0,19.2,20.6,22.0,22.0,22.0,22.0,22.0,29.0,10.0,220.0
"March, 2013","15,3  0 (0%)",16.3,14.3,15.3,0.0,0.0,0.0,15.3,0.0,20.2,10.0,153.0
"April, 2013","13,5  0 (0%)",14.4,12.6,13.5,0.0,0.0,0.0,13.5,0.0,19.8,1.09,14.715
"May, 2013",18  0 (0%),19.2,16.8,18.0,0.0,0.0,0.0,18.0,0.0,26.5,10.0,180.0
"June, 2013","19,4  0 (0%)",20.7,18.1,19.4,0.0,0.0,0.0,19.4,0.0,28.5,100.0,1.94
"July, 2013",20  0 (0%),21.4,18.6,20.0,0.0,0.0,0.0,20.0,0.0,29.4,30.0,677.0
"August, 2013",20  0 (0%),21.4,18.6,20.0,0.0,0.0,0.0,20.0,0.0,29.4,2.45,45.626
"September, 2013","20,5  0 (0%)",21.9,19.1,20.5,20.3,20.5,19.5,20.5,19.93,30.1,810.0,16.145
"October, 2013","21,8  0 (0%)",23.3,20.3,21.8,0.0,0.0,0.0,21.8,0.0,36.1,100.0,2.195
"November, 2013","23,2  1,1 (4,98%)",23.6,20.6,22.1,22.2,23.2,20.6,23.2,22.0,38.4,30.0,660.0
"December, 2013","18,8  0 (0%)",20.1,17.5,18.8,18.8,18.8,18.8,18.8,18.8,31.1,3.3,62.04
"January, 2014",22  0 (0%),23.5,20.5,22.0,0.0,0.0,0.0,22.0,0.0,36.4,20.0,440.0
"February, 2014","27,3  0 (0%)",29.2,25.4,27.3,27.3,27.3,27.3,27.3,27.3,45.2,70.0,1.911
"March, 2014","28,5  0 (0%)",30.4,26.6,28.5,0.0,0.0,0.0,28.5,0.0,47.2,40.0,1.065
"April, 2014","29,6  0 (0%)",31.6,27.6,29.6,0.0,0.0,0.0,29.6,0.0,49.0,10.0,296.0
"May, 2014","27,6  -2 (-6,76%)",31.6,27.6,29.6,27.6,27.6,27.6,27.6,27.6,45.7,10.0,8.0
"June, 2014",24  0 (0%),25.6,22.4,24.0,0.0,0.0,0.0,24.0,0.0,39.8,10.0,1.0
"July, 2014",25  0 (0%),26.7,23.3,25.0,0.0,0.0,0.0,25.0,0.0,43.5,100.0,3.0
"August, 2014","21,1  -0,3 (-1,4%)",22.8,20.0,21.4,22.8,22.8,21.1,21.1,21.25,36.7,110.0,2.0
"September, 2014",21  0 (0%),22.4,19.6,21.0,21.0,21.0,21.0,21.0,21.0,36.5,2.18,46.000
"October, 2014","24,1  0 (0%)",25.7,22.5,24.1,0.0,0.0,0.0,24.1,0.0,41.9,190.0,5.0
"November, 2014","29,6  0,2 (0,68%)",31.4,27.4,29.4,29.4,29.6,29.4,29.6,29.410000000000004,51.5,310.0,9.0
"December, 2014","35  2,2 (6,71%)",35.0,30.6,32.8,34.0,35.0,34.0,35.0,34.5,60.9,20.0,1.000
"January, 2015","25,5  1,5 (6,25%)",25.6,22.4,24.0,24.0,25.5,24.0,25.5,24.01,46.1,6.490,156.000
"February, 2015","28,9  0 (0%)",30.9,26.9,28.9,0.0,0.0,0.0,28.9,0.0,52.3,10.0,14.0
"March, 2015","25  1 (4,17%)",25.6,22.4,24.0,24.0,25.0,24.0,25.0,24.98,45.2,410.0,10.000
"April, 2015",27  0 (0%),28.8,25.2,27.0,0.0,0.0,0.0,27.0,0.0,48.9,5.0,135.0
"May, 2015","25,1  -1,8 (-6,69%)",28.7,25.1,26.9,25.1,25.1,25.1,25.1,25.1,45.4,130.0,3.000
"June, 2015","29  -1,6 (-5,23%)",32.7,28.5,30.6,28.5,29.0,28.5,29.0,28.81,52.5,813.099,26.575.000
"July, 2015","28,5  0 (0%)",30.4,26.6,28.5,28.5,28.5,28.5,28.5,28.5,51.6,7.04,201.000
"August, 2015","29,5  0 (0%)",31.5,27.5,29.5,31.5,31.5,29.5,29.5,31.47,55.4,4.59,144.000
"September, 2015","26  1,1 (4,42%)",26.6,23.2,24.9,26.4,26.4,24.8,26.0,25.860000000000003,78.8,1.747.810,46.491.200
"October, 2015","22,8  -0,7 (-2,98%)",25.1,21.9,23.5,22.8,22.8,22.8,22.8,22.8,73.3,90.0,2.000
"November, 2015","23  0,1 (0,44%)",24.5,21.3,22.9,22.5,23.0,22.5,23.0,22.68,73.9,2.18,49.000
"December, 2015","17,5  0,7 (4,17%)",18.5,16.1,16.8,17.9,17.9,16.0,17.5,16.5,75.1,711.26,12.688.000
"January, 2016","15,5  0 (0%)",16.5,14.5,15.5,15.5,15.5,15.5,15.5,15.5,60.4,5.0,78.0
"February, 2016","15,5  0,5 (3,33%)",16.0,14.0,15.0,0.0,16.0,15.5,15.5,15.57,60.4,70.0,1.0
"March, 2016","16,9  1,1 (6,96%)",16.9,14.7,15.8,16.9,16.9,16.5,16.9,16.89,71.7,2.491.360,37.384.000
"April, 2016","15,8  1 (6,76%)",15.8,13.8,14.8,14.8,15.8,14.5,15.8,15.5,58.6,33.91,526.0
"May, 2016","14,8  0 (0%)",15.8,13.8,14.8,0.0,0.0,0.0,14.8,0.0,55.7,20.0,16.000
"June, 2016","25  1,6 (6,84%)",25.0,21.8,23.4,24.6,25.0,24.6,25.0,25.0,96.7,437.900,9.735.762
"July, 2016","32,9  1,2 (3,79%)",33.9,29.5,31.7,32.0,33.0,29.5,32.9,31.68,13.8,149.57,4.738.000
"August, 2016","19,4  -1,1 (-5,37%)",21.9,19.1,20.5,20.3,21.0,19.1,19.4,19.4,16.47,10.078.020,195.514.030
"September, 2016","20  -0,65 (-3,15%)",22.05,19.25,20.65,20.5,20.9,19.9,20.0,20.22,17.919999999999998,28.67,580.000
"October, 2016","23,2  0,2 (0,87%)",24.6,21.4,23.0,23.0,24.0,22.95,23.2,23.380000000000003,20.43,579.630,13.420.000
"November, 2016","23  -0,5 (-2,13%)",25.1,21.9,23.5,23.5,23.5,22.7,23.0,23.08,20.59,148.920,3.438.000
"December, 2016","24,9  -0,2 (-0,8%)",26.85,23.35,25.1,25.0,25.1,24.2,24.9,24.96,22.29,1.177.220,29.256.500
"January, 2017","23,8  0,3 (1,28%)",25.1,21.9,23.5,23.0,23.8,23.0,23.8,23.01,21.0,5.140,118.000
"February, 2017","22,6  -0,6 (-2,59%)",24.8,21.6,23.2,23.4,23.4,22.6,22.6,22.79,19.94,7.180,164.000
"March, 2017","23  -1,2 (-4,96%)",25.85,22.55,24.2,24.0,24.0,23.0,23.0,23.36,20.29,14.34,335.000
"April, 2017","28,6  -0,6 (-2,05%)",31.2,27.2,29.2,29.2,29.2,28.2,28.6,28.72,25.23,678.940,19.062.702
