Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2015","32,7  0,7 (2,19%)",34.2,29.8,32.0,32.8,32.8,32.2,32.7,32.489999999999995,19.630000000000003,286.4,9.307.000
"February, 2015","33,8  1,1 (3,36%)",34.9,30.5,32.7,33.8,34.5,32.6,33.8,32.85,20.29,254.98,8.466.000
"March, 2015","34  0,2 (0,59%)",34.9,30.5,33.8,34.0,34.0,33.5,34.0,33.79,21.09,164.98,5.596.000
"April, 2015","33,5  -0,5 (-1,47%)",36.1,31.5,34.0,33.5,34.0,33.3,33.5,33.72,20.9,37.02,1.248.000
"May, 2015","34,7  0,5 (1,46%)",36.5,31.9,34.2,34.2,34.7,34.2,34.7,34.55,20.83,103.97,3.592.000
"June, 2015","34,7  0 (0%)",37.1,32.3,34.7,34.6,34.7,34.5,34.7,34.52,20.83,12.61,435.000
"July, 2015","33  -0,5 (-1,49%)",36.3,31.7,33.5,35.4,35.4,33.0,33.0,33.67,20.29,42.17,1.420.000
"August, 2015","32,6  -0,4 (-1,21%)",35.3,30.7,33.0,33.0,33.3,32.4,32.6,32.67,20.04,73.63,2.405.000
"September, 2015","30,9  0 (0%)",0.0,0.0,0.0,30.0,30.9,29.5,30.9,30.02,16.18,397.32,11.926.000
"October, 2015","36,3  -0,2 (-0,55%)",39.0,34.0,36.5,36.2,36.5,36.0,36.3,36.2,19.81,94.53,3.484.400
"November, 2015",32  0 (0%),34.2,29.8,32.0,32.9,32.9,31.8,32.0,32.27,19.2,232.88,7.501.000
"December, 2015","31,9  0,1 (0,31%)",34.0,29.6,31.8,31.7,31.9,31.7,31.9,31.8,19.73,15.0,477.000
"January, 2016","29  -0,1 (-0,34%)",31.1,27.1,29.1,29.1,29.1,28.9,29.0,29.0,18.43,3.82,111.000
"February, 2016","29,5  0,2 (0,68%)",31.3,27.3,29.3,29.5,29.5,29.0,29.5,29.01,18.75,2.28,66.000
"March, 2016","29,3  0,5 (1,74%)",30.8,26.8,28.8,29.0,29.5,28.8,29.3,29.15,18.75,26.7,778.000
"April, 2016","26,8  1 (3,88%)",27.6,24.0,25.8,25.5,26.8,25.5,26.8,25.81,17.57,1.06,27.000
"May, 2016","28,4  1,1 (4,03%)",28.5,24.9,27.3,28.4,29.0,28.2,28.4,28.65,18.97,28.61,820.0
"June, 2016",24  0 (0%),25.6,22.4,24.0,0.0,24.0,24.0,24.0,24.0,16.61,1.36,33.0
"July, 2016","22  -0,5 (-2,22%)",24.0,21.0,22.5,22.0,22.5,21.0,22.0,21.97,14.9,10.22,225.000
"August, 2016",20  0 (0%),21.4,18.6,20.0,20.0,20.4,19.9,20.0,20.0,15.38,59.81,1.196.000
"September, 2016","18,8  0 (0%)",20.1,17.5,18.8,18.8,18.8,18.75,18.8,18.78,14.36,320.0,6.0
"October, 2016","18,8  0,2 (1,08%)",19.9,17.3,18.6,18.8,18.8,18.8,18.8,18.8,14.82,900.0,17.0
"November, 2016","17,4  0,45 (2,65%)",18.1,15.8,16.95,16.8,17.4,16.8,17.4,17.23,12.95,140.0,2.0
"December, 2016","19,9  -1,45 (-6,79%)",22.8,19.9,21.35,19.9,19.9,19.9,19.9,19.9,14.81,10.0,6.0
"January, 2017","19  0,1 (0,53%)",20.2,17.6,18.9,18.8,19.0,18.8,19.0,18.99,14.14,470.0,9.0
"February, 2017","19,7  0,7 (3,68%)",20.3,17.7,19.0,19.9,19.9,19.7,19.7,19.72,14.669999999999998,110.0,2.0
"March, 2017","18,6  -0,95 (-4,86%)",20.9,18.2,19.55,20.0,20.5,18.6,18.6,19.33,13.09,23.82,460.0
"April, 2017","19,25  -0,05 (-0,26%)",20.65,17.95,19.3,19.3,19.3,19.25,19.25,22.22,13.55,90.0,2.000
"May, 2017","18,4  0 (0%)",19.65,17.15,18.4,0.0,0.0,0.0,18.4,0.0,12.95,40.0,1.0
"June, 2017","18,5  -0,5 (-2,63%)",20.0,17.4,19.0,18.5,18.5,18.5,18.5,20.0,13.23,100.0,2.0
"July, 2017","14,3  -1 (-6,54%)",16.35,14.25,15.3,16.3,16.3,14.3,14.3,14.76,11.45,14.23,210.0
"August, 2017","15,75  -0,05 (-0,32%)",16.9,14.7,15.8,15.7,15.75,15.7,15.75,16.36,12.61,550.0,9.0
"September, 2017","16,8  0,8 (5%)",17.1,14.9,16.0,16.5,16.8,16.5,16.8,16.61,13.45,2.89,48.0
"October, 2017","16,05  -0,95 (-5,59%)",18.15,15.85,17.0,17.0,17.4,16.05,16.05,16.94,12.85,71.24,1.211.000
"November, 2017","18,1  0,1 (0,56%)",19.25,16.75,18.0,17.3,18.2,17.05,18.1,17.98,14.5,6.84,123.000
"December, 2017","18,4  0 (0%)",19.65,17.15,18.4,19.3,19.5,18.4,18.4,18.78,14.74,21.19,398.0
"January, 2018","18,6  -0,4 (-2,11%)",20.3,17.7,19.0,18.8,19.0,18.6,18.6,18.81,14.9,15.42,290.000
"February, 2018","16,8  -1,1 (-6,15%)",19.15,16.65,17.9,16.95,17.3,16.8,16.8,17.009999999999998,13.45,34.45,586.0
"March, 2018","16,2  0,2 (1,25%)",17.1,14.9,16.0,15.6,16.35,15.5,16.2,15.98,12.97,13.33,213.0
"April, 2018","15,85  0,75 (4,97%)",16.15,14.05,15.1,15.2,15.95,15.1,15.85,15.84,12.69,13.07,207.000
"May, 2018","16,2  0,7 (4,52%)",16.55,14.45,15.5,16.5,16.5,15.35,16.2,15.75,12.97,15.81,249.0
"June, 2018","14,55  -0,3 (-2,02%)",15.85,13.85,14.85,15.35,15.35,14.3,14.55,14.62,12.25,20.18,295.0
"July, 2018","14,95  0,4 (2,75%)",15.55,13.55,14.55,15.1,15.1,14.45,14.95,14.59,12.58,11.93,174.000
"August, 2018","13,5  0 (0%)",14.4,12.6,13.5,13.5,13.5,13.2,13.5,13.31,11.36,22.47,299.000
"September, 2018","18,2  -0,8 (-4,21%)",20.3,17.7,19.0,19.05,19.1,17.7,18.2,18.34,15.32,89.04,1.633.000
"October, 2018","18,1  0,25 (1,4%)",19.05,16.65,17.85,18.45,18.45,18.0,18.1,18.19,15.24,43.54,792.000
"November, 2018","18,65  0 (0%)",19.95,17.35,18.65,18.4,18.65,18.2,18.65,18.53,15.7,115.14,2.133.000
"December, 2018","15,9  -0,3 (-1,85%)",17.3,15.1,16.2,16.0,16.2,15.9,15.9,16.009999999999998,13.38,26.3,421.000
"January, 2019","17,2  -0,2 (-1,15%)",18.6,16.2,17.4,17.5,17.5,17.0,17.2,17.380000000000003,16.28,71.64,1.245.000
"February, 2019","18,15  1,15 (6,76%)",18.15,15.85,17.0,17.85,18.15,17.6,18.15,18.09,17.18,112.76,2.040.000
"March, 2019","22,2  0,05 (0,23%)",23.7,20.6,22.15,22.4,22.6,21.9,22.2,22.15,21.01,63.65,1.410.000
"April, 2019","21,75  -0,3 (-1,36%)",23.55,20.55,22.05,21.6,22.0,21.5,21.75,21.7,20.58,81.4,1.766.000
"May, 2019","24,45  -1,25 (-4,86%)",27.45,23.95,25.7,25.5,25.9,24.0,24.45,24.93,23.14,291.71,7.272.000
"June, 2019","23,9  0,5 (2,14%)",25.0,21.8,23.4,23.5,23.9,23.2,23.9,23.61,24.130000000000003,54.46,1.286.000
"July, 2019","21,9  -0,2 (-0,9%)",23.6,20.6,22.1,22.1,22.1,21.6,21.9,21.85,22.11,48.06,1.050.000
"August, 2019","22,1  0,5 (2,31%)",23.1,20.1,21.6,21.6,22.2,21.6,22.1,22.03,22.31,147.16,3.242.000
"September, 2019","19  -0,9 (-4,52%)",21.25,18.55,19.9,19.9,20.2,19.0,19.0,19.65,19.18,76.55,1.504.000
"October, 2019","19,1  -0,2 (-1,04%)",20.65,17.95,19.3,19.35,19.4,19.05,19.1,19.31,19.28,6.63,128.000
"November, 2019","17,8  -0,5 (-2,73%)",19.55,17.05,18.3,18.3,18.3,17.2,17.8,17.84,17.97,25.78,460.0
"December, 2019","17,55  -0,1 (-0,57%)",18.85,16.45,17.65,17.65,17.65,17.5,17.55,17.57,17.72,15.71,276.000
"January, 2020","17,6  0,05 (0,28%)",18.75,16.35,17.55,18.45,18.45,17.4,17.6,17.72,17.66,9.310,165.000
"February, 2020","17,8  -1 (-5,32%)",20.1,17.5,18.8,18.3,18.5,17.5,17.8,18.0,17.86,349.69,6.295.000
"March, 2020","13,75  0 (0%)",14.7,12.8,13.75,13.8,14.2,13.1,13.75,13.72,13.75,28.78,395.000
"April, 2020","17,15  0,05 (0,29%)",18.25,15.95,17.1,17.15,17.35,16.9,17.15,17.2,17.15,229.34,3.944.000
"May, 2020","17,2  0 (0%)",18.4,16.0,17.2,17.2,17.2,16.95,17.2,17.05,17.2,34.78,593.000
"June, 2020","16,4  0 (0%)",17.5,15.3,16.4,16.6,16.6,16.25,16.4,16.35,0.0,91.33,1.493.000
"July, 2020","13,8  -0,1 (-0,72%)",14.85,12.95,13.9,13.9,14.0,13.5,13.8,13.82,0.0,70.84,979.000
"August, 2020","14,9  0,05 (0,34%)",15.85,13.85,14.85,15.0,15.0,14.8,14.9,14.85,0.0,65.0,965.000
"September, 2020","15,5  0,15 (0,98%)",16.4,14.3,15.35,15.35,15.5,15.0,15.5,15.24,0.0,77.64,1.183.000
"October, 2020","17,7  -0,15 (-0,84%)",19.05,16.65,17.85,18.0,18.2,17.7,17.7,17.990000000000002,0.0,34.36,618.000
"November, 2020","20,6  -0,1 (-0,48%)",22.1,19.3,20.7,20.5,20.65,19.8,20.6,20.18,0.0,2.118.191,43.951.493
"December, 2020","20,9  -0,1 (-0,48%)",22.45,19.55,21.0,20.5,21.0,20.5,20.9,20.75,0.0,28.87,599.000
"January, 2021","25,85  0,8 (3,19%)",26.8,23.3,25.05,23.5,26.8,23.5,25.85,24.880000000000003,0.0,70.7,1.759.000
"February, 2021","26,3  -0,4 (-1,5%)",28.55,24.85,26.7,25.6,26.5,25.6,26.3,26.28,0.0,36.8,967.000
"March, 2021","36,1  2,1 (6,18%)",36.35,31.65,34.0,34.5,36.1,34.0,36.1,34.75,0.0,148.5,5.161.000
"April, 2021","32,6  -0,2 (-0,61%)",35.05,30.55,32.8,32.8,32.8,32.2,32.6,32.510000000000005,0.0,53.0,1.723.000
"May, 2021","32,05  -0,45 (-1,38%)",34.75,30.25,32.5,32.5,32.5,31.5,32.05,32.04,0.0,57.9,1.855.000
"June, 2021","40  -0,2 (-0,5%)",43.0,37.4,40.2,42.0,42.0,40.0,40.0,40.68,0.0,69.5,2.827.000
"July, 2021","42,2  0,1 (0,24%)",45.0,39.2,42.1,42.1,42.2,41.0,42.2,41.8,0.0,12.2,510.000
"August, 2021","47,9  -0,7 (-1,44%)",52.0,45.2,48.6,49.0,49.0,47.8,47.9,48.19,0.0,44.7,2.154.000
"September, 2021","48,2  0 (0%)",51.5,44.85,48.2,48.6,48.6,47.0,48.2,47.89,0.0,24.200,1.159.000
"October, 2021","59,9  0,2 (0,34%)",63.8,55.6,59.7,63.7,63.7,59.5,59.9,60.19,0.0,30.7,1.920.000
"November, 2021","63,1  1,1 (1,77%)",66.3,57.7,62.0,60.6,64.0,60.6,63.1,62.49,0.0,18.1,1.131.000
"December, 2021","56,6  -1,2 (-2,08%)",61.8,53.8,57.8,58.0,58.0,56.2,56.6,56.67,0.0,5.4,306.000
