Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2010","31,4  0,1 (0,32%)",32.8,29.8,31.3,30.8,31.4,30.6,31.4,31.14,15.37,51.96,1.617.834
"February, 2010","31,7  0,2 (0,63%)",33.0,30.0,31.5,31.5,31.9,31.5,31.7,31.67,15.52,24.71,782.605
"March, 2010","35,6  -0,4 (-1,11%)",37.8,34.2,36.0,35.2,36.5,35.1,35.6,35.81,17.43,185.94,6.659.373
"April, 2010","37,9  0,9 (2,43%)",38.8,35.2,37.0,37.5,37.9,36.9,37.9,37.54,18.55,206.22,7.742.046
"May, 2010","35,1  0,1 (0,29%)",36.7,33.3,35.0,33.9,35.4,33.8,35.1,34.63,17.65,437.13,15.398.481
"June, 2010","32,9  0 (0%)",34.5,31.3,32.9,32.2,32.9,32.2,32.9,32.81,16.54,40.7,1.335.190
"July, 2010","31,9  0 (0%)",33.4,30.4,31.9,32.0,32.0,31.3,31.9,31.89,16.04,22.2,708.000
"August, 2010","28,6  0,8 (2,88%)",29.1,26.5,27.8,28.7,28.7,28.2,28.6,28.610000000000003,14.38,37.25,1.065.750
"September, 2010","28,7  0 (0%)",30.1,27.3,28.7,28.7,28.7,27.6,28.7,28.15,14.43,35.5,999.250
"October, 2010","22,9  0,4 (1,78%)",23.6,21.4,22.5,22.5,23.0,21.8,22.9,22.16,11.51,57.48,1.273.943
"November, 2010","20,9  0,9 (4,5%)",21.0,19.0,20.0,20.9,21.0,20.9,20.9,20.92,10.51,63.65,1.331.768
"December, 2010","25  -0,5 (-1,96%)",26.7,24.3,25.5,25.5,25.5,24.4,25.0,24.95,12.57,54.79,1.366.915
"January, 2011","25  1,1 (4,6%)",25.0,22.8,23.9,24.8,25.0,24.8,25.0,25.0,12.85,20.01,500.248
"February, 2011","21,6  0,6 (2,86%)",22.0,20.0,21.0,22.0,22.0,21.0,21.6,21.43,11.11,4.01,85.916
"March, 2011","23  1 (4,55%)",23.1,20.9,22.0,22.0,23.0,21.1,23.0,22.54,11.83,23.17,522.187
"April, 2011","21,8  -1,1 (-4,8%)",24.0,21.8,22.9,22.0,23.9,21.8,21.8,21.86,11.21,13.65,298.364
"May, 2011","18,8  0,5 (2,73%)",19.2,17.4,18.3,17.7,18.8,17.6,18.8,18.19,96.7,11.15,202.844
"June, 2011","19,9  0,2 (1,02%)",20.6,18.8,19.7,19.3,19.9,19.3,19.9,19.74,10.23,60.0,1.157.200
