Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2011","7,5  0,2 (2,74%)",76.0,7.0,73.0,75.0,75.0,75.0,75.0,75.0,53.6,10.0,75.0
"February, 2011","7,2  -0,3 (-4%)",78.0,72.0,75.0,72.0,75.0,72.0,72.0,72.8,51.5,400.0,2.91
"March, 2011","9  -0,4 (-4,26%)",98.0,9.0,94.0,9.0,94.0,9.0,9.0,90.6,64.3,3.54,32.068
"April, 2011",9  0 (0%),94.0,86.0,9.0,94.0,94.0,88.0,9.0,90.4,64.3,2.07,18.714
"May, 2011","7,3  0,1 (1,39%)",75.0,69.0,72.0,74.0,74.0,73.0,73.0,73.1,52.2,140.0,1.023
"June, 2011","7,5  0,2 (2,74%)",76.0,7.0,73.0,73.0,75.0,73.0,75.0,73.5,53.6,170.0,1.249
"July, 2011","7,5  0 (0%)",78.0,72.0,75.0,0.0,0.0,0.0,75.0,0.0,53.6,970.0,8.41
"August, 2011","7,4  -0,1 (-1,33%)",78.0,72.0,75.0,74.0,74.0,74.0,74.0,74.0,52.9,50.0,370.0
"September, 2011","7,4  0 (0%)",77.0,71.0,74.0,0.0,0.0,0.0,74.0,0.0,52.9,1.11,10.256
"October, 2011","8,6  0,4 (4,88%)",86.0,78.0,82.0,82.0,86.0,82.0,86.0,84.2,61.5,8.29,69.822
"November, 2011","7,3  0,2 (2,82%)",74.0,68.0,71.0,73.0,73.0,73.0,73.0,73.0,52.2,10.0,73.0
"December, 2011","7,8  0,3 (4%)",78.0,72.0,75.0,75.0,78.0,74.0,78.0,75.1,55.7,2.82,21.171
"January, 2012","7,5  0 (0%)",78.0,72.0,75.0,75.0,75.0,75.0,75.0,75.0,53.6,1.05,7.875
"February, 2012","6,3  -0,3 (-4,55%)",69.0,63.0,66.0,67.0,67.0,63.0,63.0,63.2,45.0,400.0,2.528
"March, 2012","7,8  0 (0%)",81.0,75.0,78.0,0.0,0.0,0.0,78.0,0.0,55.7,170.0,1.326
"April, 2012","7,2  -0,3 (-4%)",78.0,72.0,75.0,72.0,72.0,72.0,72.0,72.0,51.5,1.13,8.136
"May, 2012","6,1  -0,3 (-4,69%)",67.0,61.0,64.0,61.0,61.0,61.0,61.0,61.0,43.6,900.0,5.49
"June, 2012","7,3  0 (0%)",76.0,7.0,73.0,0.0,0.0,0.0,73.0,0.0,52.2,1.21,8.473
"July, 2012","6,9  -0,3 (-4,17%)",75.0,69.0,72.0,69.0,72.0,69.0,69.0,69.0,49.3,780.0,5.385
"August, 2012","7,9  0,3 (3,95%)",79.0,73.0,76.0,79.0,79.0,79.0,79.0,79.0,56.5,10.0,79.0
"September, 2012","8,8  0,1 (1,15%)",91.0,83.0,87.0,88.0,88.0,88.0,88.0,88.0,62.9,10.0,88.0
"October, 2012","9,1  0,1 (1,11%)",94.0,86.0,9.0,91.0,91.0,91.0,91.0,91.0,87.6,10.0,91.0
"November, 2012","10,3  0 (0%)",10.8,98.0,10.3,0.0,0.0,0.0,10.3,0.0,99.1,10.0,103.0
"December, 2012","13,5  0 (0%)",14.1,12.9,13.5,0.0,0.0,0.0,13.5,0.0,12.99,10.0,135.0
"January, 2013","12,1  0 (0%)",12.9,11.3,12.1,0.0,0.0,0.0,12.1,0.0,11.64,10.0,121.0
"February, 2013","12  -0,8 (-6,25%)",13.6,12.0,12.8,13.6,13.6,12.0,12.0,12.53,11.55,30.0,376.0
"March, 2013","9,6  0,6 (6,67%)",96.0,84.0,9.0,96.0,96.0,96.0,96.0,96.0,92.4,20.0,192.0
"April, 2013","8,8  0,4 (4,76%)",89.0,79.0,84.0,84.0,88.0,84.0,88.0,86.0,84.7,20.0,172.0
"May, 2013","8,4  0,2 (2,44%)",87.0,77.0,82.0,84.0,84.0,84.0,84.0,84.0,80.8,10.0,84.0
"June, 2013","6,9  -0,5 (-6,76%)",79.0,69.0,74.0,69.0,77.0,69.0,69.0,69.2,66.4,480.0,3.32
"July, 2013","6,5  -0,4 (-5,8%)",73.0,65.0,69.0,65.0,65.0,65.0,65.0,65.0,62.6,10.0,65.0
"August, 2013","8,1  0,5 (6,58%)",81.0,71.0,76.0,81.0,81.0,81.0,81.0,81.0,78.0,10.0,81.0
"September, 2013","9,4  0,5 (5,62%)",95.0,83.0,89.0,83.0,94.0,83.0,94.0,88.1,90.5,80.0,705.0
"October, 2013","6,7  0,2 (3,08%)",69.0,61.0,65.0,67.0,67.0,67.0,67.0,67.0,64.5,10.0,67.0
"November, 2013","7  -0,1 (-1,41%)",75.0,67.0,71.0,71.0,71.0,7.0,7.0,71.0,67.4,8.82,62.621
"December, 2013","6,7  -0,4 (-5,63%)",75.0,67.0,71.0,73.0,73.0,67.0,67.0,72.6,64.5,4.87,35.363
"January, 2014","7,1  0,4 (5,97%)",71.0,63.0,67.0,67.0,71.0,67.0,71.0,68.5,68.3,350.0,2.397
"February, 2014","6,3  -0,2 (-3,08%)",69.0,61.0,65.0,68.0,69.0,63.0,63.0,65.6,60.6,80.0,525.0
"March, 2014","7,2  0,3 (4,35%)",73.0,65.0,69.0,65.0,72.0,65.0,72.0,69.7,69.3,30.0,209.0
"April, 2014","6,8  0 (0%)",72.0,64.0,68.0,0.0,0.0,0.0,68.0,0.0,65.4,890.0,5.892
"May, 2014","6,8  -0,1 (-1,45%)",73.0,65.0,69.0,68.0,68.0,68.0,68.0,68.0,61.6,10.0,3.0
