Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2019","11,6  0,6 (5,45%)",11.75,10.25,11.0,10.3,11.6,10.3,11.6,10.86,10.25,13.54,147.0
"February, 2019","11,1  -0,25 (-2,2%)",12.1,10.6,11.35,11.3,11.3,11.1,11.1,11.22,98.0,28.33,318.0
"March, 2019","16,2  0,4 (2,53%)",16.9,14.7,15.8,15.4,16.4,15.4,16.2,16.06,14.31,75.91,1.219.000
"April, 2019","15,15  0,15 (1%)",16.05,13.95,15.0,15.4,15.6,15.0,15.15,15.28,13.38,7.33,112.000
"May, 2019","18,2  -0,6 (-3,19%)",20.1,17.5,18.8,18.7,19.4,18.2,18.2,18.82,16.080000000000002,369.55,6.956.000
"June, 2019","18,3  -0,3 (-1,61%)",19.9,17.3,18.6,18.6,18.65,18.1,18.3,18.39,16.16,182.89,3.364.000
"July, 2019","22,8  0,3 (1,33%)",24.05,20.95,22.5,22.7,23.0,22.6,22.8,22.79,20.14,204.960,4.672.000
"August, 2019","21,8  -0,5 (-2,24%)",23.85,20.75,22.3,22.45,22.45,21.8,21.8,22.05,19.91,467.36,10.307.000
"September, 2019","18,3  -0,4 (-2,14%)",20.0,17.4,18.7,18.3,18.7,18.3,18.3,18.49,16.72,119.22,2.204.000
"October, 2019","17,9  -0,1 (-0,56%)",19.25,16.75,18.0,18.1,18.4,17.7,17.9,17.96,16.35,68.36,1.228.000
"November, 2019","17,1  -0,2 (-1,16%)",18.5,16.1,17.3,17.4,17.4,17.1,17.1,17.19,15.62,85.9,1.477.000
"December, 2019","17,7  0,2 (1,14%)",18.7,16.3,17.5,17.4,17.8,17.0,17.7,17.25,16.169999999999998,918.78,16.025.300
"January, 2020","14,7  -0,9 (-5,77%)",16.65,14.55,15.6,15.45,15.6,14.6,14.7,15.18,13.76,122.41,1.858.000
"February, 2020","17,85  0,3 (1,71%)",18.75,16.35,17.55,17.55,17.9,16.7,17.85,17.55,16.71,532.74,9.351.000
"March, 2020","12,6  -0,05 (-0,4%)",13.5,11.8,12.65,12.8,13.15,11.9,12.6,12.63,12.6,176.98,2.235.000
"April, 2020","18  0,2 (1,12%)",19.0,16.6,17.8,17.8,18.4,17.75,18.0,18.07,18.0,514.170,9.291.000
"May, 2020","21,2  0,7 (3,41%)",21.9,19.1,20.5,20.5,21.4,20.3,21.2,20.84,21.2,1.282.510,26.724.000
"June, 2020","18,4  -0,45 (-2,39%)",20.15,17.55,18.85,19.0,19.2,17.55,18.4,18.42,0.0,779.69,14.362.000
"July, 2020","24,25  -0,45 (-1,82%)",26.4,23.0,24.7,24.0,25.0,23.95,24.25,24.46,0.0,1.222.540,29.907.000
"August, 2020","25,95  -1,3 (-4,77%)",29.15,25.35,27.25,26.95,26.95,25.4,25.95,26.160000000000004,0.0,3.624.570,94.821.000
"September, 2020","26,35  0,45 (1,74%)",27.7,24.1,25.9,25.9,26.55,25.55,26.35,25.94,0.0,1.220.270,31.648.000
"October, 2020","23,25  0,35 (1,53%)",24.5,21.3,22.9,23.2,23.45,22.9,23.25,23.15,0.0,497.020,11.504.000
"November, 2020","28,7  -0,5 (-1,71%)",31.2,27.2,29.2,29.45,29.45,28.7,28.7,28.97,0.0,1.090.640,31.598.000
"December, 2020",32  0 (0%),34.2,29.8,32.0,31.85,32.2,31.6,32.0,31.8,0.0,1.167.140,37.113.000
"January, 2021","42  2,7 (6,87%)",42.05,36.55,39.3,39.35,42.05,39.35,42.0,40.81,0.0,1.442.700,58.881.000
"February, 2021","40,7  0,9 (2,26%)",42.55,37.05,39.8,39.0,42.55,39.0,40.7,40.67,0.0,1.078.200,43.848.000
"March, 2021","38,55  -0,1 (-0,26%)",41.35,35.95,38.65,38.75,38.8,38.45,38.55,38.56,0.0,423.0,16.310.000
"April, 2021","34,5  -0,4 (-1,15%)",37.3,32.5,34.9,35.1,35.5,34.5,34.5,35.07,0.0,382.900,13.429.000
"May, 2021","37,7  1,2 (3,29%)",39.05,33.95,36.5,36.5,37.8,36.2,37.7,36.95,0.0,1.108.900,40.974.000
"June, 2021","38,6  -0,35 (-0,9%)",41.65,36.25,38.95,38.95,38.95,38.4,38.6,38.6,0.0,625.700,24.155.000
"July, 2021","40,95  0,95 (2,38%)",42.8,37.2,40.0,40.0,41.4,40.0,40.95,41.010000000000005,0.0,2.283.300,93.629.000
"August, 2021","48,4  1,3 (2,76%)",50.3,43.85,47.1,47.15,49.65,46.7,48.4,48.49,0.0,2.119.000,102.750.000
"September, 2021","47  0,2 (0,43%)",50.0,43.55,46.8,47.5,47.5,47.0,47.0,47.18,0.0,459.800,21.862.800
"October, 2021","62,1  1,1 (1,8%)",65.2,56.8,61.0,60.6,63.0,60.6,62.1,61.89,0.0,650.400,40.251.000
"November, 2021","58,9  3,7 (6,7%)",59.0,51.4,55.2,56.0,59.0,56.0,58.9,58.24,0.0,2.717.100,158.233.000
"December, 2021","68  1,2 (1,8%)",71.4,62.2,66.8,68.0,68.0,66.5,68.0,67.45,0.0,1.282.000,86.465.000
