Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","18,3  0,3 (1,67%)",19.2,16.8,18.0,18.0,18.6,18.0,18.3,18.22,11.19,94.92,1.729.000
"February, 2014","25,4  0 (0%)",27.1,23.7,25.4,25.4,25.4,24.2,25.4,25.27,14.29,27.84,703.600
"March, 2014","23,4  -0,3 (-1,27%)",25.3,22.1,23.7,23.5,23.5,22.8,23.4,23.0,13.169999999999998,23.71,545.24
"April, 2014","21,3  1,1 (5,45%)",21.6,18.8,20.2,21.5,21.5,18.9,21.3,20.57,11.99,30.0,617.0
"May, 2014","17,6  -0,2 (-1,12%)",19.0,16.6,17.8,17.8,18.1,17.6,17.6,17.830000000000002,99.0,121.02,2.155.000
"June, 2014","17,4  -0,2 (-1,14%)",18.8,16.4,17.6,17.6,17.6,17.4,17.4,17.509999999999998,10.64,15.42,270.000
"July, 2014","17,5  0 (0%)",18.7,16.3,17.5,17.4,17.5,17.3,17.5,17.35,10.7,18.37,319.000
"August, 2014","18,8  -0,1 (-0,53%)",20.2,17.6,18.9,18.7,18.8,18.5,18.8,18.68,11.49,16.4,306.000
"September, 2014","20,2  -0,1 (-0,49%)",21.7,18.9,20.3,19.7,20.2,19.7,20.2,19.86,12.35,12.52,249.000
"October, 2014","18,2  0,2 (1,11%)",19.2,16.8,18.0,18.2,18.2,17.9,18.2,18.07,11.13,30.11,544.000
"November, 2014","18  0,1 (0,56%)",19.1,16.7,17.9,17.9,18.0,17.9,18.0,17.91,11.0,13.69,245.000
"December, 2014","18,3  0,4 (2,23%)",19.1,16.7,17.9,17.9,18.3,17.9,18.3,17.9,11.19,12.69,227.0
"January, 2015","18,4  -0,4 (-2,13%)",20.1,17.5,18.8,18.8,18.8,18.4,18.4,18.4,11.25,8.93,164.0
"February, 2015","18,4  0,3 (1,66%)",19.3,16.9,18.1,18.3,18.4,18.3,18.4,18.35,11.25,4.05,74.0
"March, 2015","18,4  0,4 (2,22%)",19.2,16.8,18.0,18.5,18.6,18.4,18.4,18.43,11.25,41.27,760.0
"April, 2015","19,3  0,3 (1,58%)",20.3,17.7,19.0,19.4,20.0,19.2,19.3,19.34,11.8,39.96,773.000
"May, 2015","19,2  0,2 (1,05%)",20.3,17.7,19.0,19.0,19.3,18.9,19.2,19.08,11.74,25.4,485.000
"June, 2015","19,2  0 (0%)",20.5,17.9,19.2,19.2,19.4,19.0,19.2,19.09,12.77,56.22,1.073.000
"July, 2015","18,5  -0,3 (-1,6%)",20.1,17.5,18.8,18.5,18.8,18.3,18.5,18.44,12.31,33.32,614.0
"August, 2015","18,4  -0,1 (-0,54%)",19.7,17.3,18.5,18.4,18.4,18.4,18.4,18.4,13.080000000000002,10.0,19.0
"September, 2015","18,8  0,2 (1,08%)",19.9,17.3,18.6,18.3,18.8,18.3,18.8,18.380000000000003,13.96,1.1,20.0
