Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","25  -0,4 (-1,57%)",27.1,23.7,25.4,25.3,25.3,25.0,25.0,25.0,13.080000000000002,14.29,357.0
"February, 2014","19,1  0 (0%)",20.4,17.8,19.1,19.1,19.1,19.1,19.1,19.1,94.2,50.0,955.0
"March, 2014","19,1  0,4 (2,14%)",20.0,17.4,18.7,18.6,19.2,18.6,19.1,18.84,94.2,3.87,72.908
"April, 2014","20,3  0,5 (2,53%)",21.1,18.5,19.8,20.4,20.4,20.0,20.3,20.15,99.1,4.02,81.006
"May, 2014","21  -0,4 (-1,87%)",22.8,20.0,21.4,21.0,21.0,20.8,21.0,20.98,10.05,12.770,268.000
"June, 2014","20,3  0,1 (0,5%)",21.6,18.8,20.2,20.5,20.5,20.2,20.3,20.380000000000003,10.43,13.79,281.0
"July, 2014","21,5  0,1 (0,47%)",22.8,20.0,21.4,21.1,21.5,21.1,21.5,21.36,11.05,1.69,36.0
"August, 2014","21,8  0 (0%)",23.3,20.3,21.8,21.8,22.5,21.7,21.8,21.84,11.2,29.67,648.0
"September, 2014","23,7  0 (0%)",25.3,22.1,23.7,24.7,24.7,23.5,23.7,23.7,12.18,57.87,1.372.000
"October, 2014","26,8  0 (0%)",28.6,25.0,26.8,26.8,26.8,26.5,26.8,26.73,13.77,3.33,89.000
"November, 2014","25,4  0,1 (0,4%)",27.0,23.6,25.3,26.0,26.0,25.0,25.4,25.0,13.29,5.03,126.0
"December, 2014","26,5  0,6 (2,32%)",27.7,24.1,25.9,25.9,26.5,25.9,26.5,26.47,13.86,5.8,154.000
"January, 2015",26  0 (0%),27.8,24.2,26.0,25.5,26.0,25.5,26.0,25.5,13.6,3.97,101.000
"February, 2015","25,5  -0,5 (-1,92%)",27.8,24.2,26.0,25.5,25.5,25.5,25.5,25.5,13.34,55.7,1.420.000
"March, 2015","26  -0,1 (-0,38%)",27.9,24.3,26.1,26.1,26.1,26.0,26.0,26.01,13.6,3.7,96.0
"April, 2015","26,5  0 (0%)",28.3,24.7,26.5,26.5,26.5,26.4,26.5,26.45,13.86,15.0,397.0
"May, 2015",26  0 (0%),27.8,24.2,26.0,26.0,26.0,25.5,26.0,25.97,14.71,5.47,142.0
"June, 2015","25,1  0 (0%)",26.8,23.4,25.1,0.0,0.0,0.0,25.1,0.0,14.2,470.0,12.0
"July, 2015",26  0 (0%),27.8,24.2,26.0,26.0,26.0,26.0,26.0,26.0,14.71,4.6,120.0
"August, 2015","25,5  -1,5 (-5,56%)",28.8,25.2,27.0,26.1,26.1,25.5,25.5,25.58,15.9,2.55,65.0
"September, 2015",26  1 (4%),26.7,23.3,25.0,24.5,26.0,23.8,26.0,24.03,17.14,1.1,26.0
"October, 2015","26  0,5 (1,96%)",27.2,23.8,25.5,25.8,26.0,25.8,26.0,25.98,16.81,600.0,16.0
"November, 2015","24,5  -1 (-3,92%)",27.2,23.8,25.5,24.5,24.5,24.5,24.5,24.5,15.84,20.0,13.0
"December, 2015","26,3  0 (0%)",27.8,24.2,26.3,0.0,0.0,0.0,26.3,0.0,19.4,4.78,125.0
"January, 2016",26  0 (0%),27.8,24.2,26.0,0.0,0.0,0.0,26.0,0.0,17.91,50.0,1.0
"February, 2016","24,6  0,4 (1,65%)",25.8,22.6,24.2,0.0,24.6,24.6,24.6,24.6,16.95,20.0,2.0
"March, 2016","23,4  0 (0%)",25.0,21.8,23.4,0.0,0.0,0.0,23.4,0.0,16.39,500.0,12.0
"April, 2016","23,5  0 (0%)",25.1,21.9,23.5,23.5,23.5,23.5,23.5,23.5,16.880000000000003,100.0,2.0
"May, 2016","22,7  0 (0%)",24.2,21.2,22.7,0.0,0.0,0.0,22.7,0.0,17.740000000000002,510.0,12.0
"June, 2016","23,5  0 (0%)",25.1,21.9,23.5,0.0,0.0,0.0,23.5,0.0,17.830000000000002,180.0,4.0
"July, 2016","23,9  -0,3 (-1,24%)",25.8,22.6,24.2,23.0,23.9,23.0,23.9,23.01,18.36,1.07,25.0
"August, 2016","23,2  0 (0%)",24.8,21.6,23.2,23.2,23.3,23.2,23.2,23.27,18.58,4.45,104.0
"September, 2016","23,95  -0,55 (-2,24%)",26.2,22.8,24.5,25.45,25.45,23.2,23.95,23.22,18.64,1.97,46.0
"October, 2016",24  0 (0%),25.65,22.35,24.0,0.0,0.0,0.0,24.0,0.0,18.69,790.0,19.0
"November, 2016","24  -0,65 (-2,64%)",26.35,22.95,24.65,24.0,24.0,24.0,24.0,24.0,18.69,1.0,24.0
"December, 2016","25  0,15 (0,6%)",26.55,23.15,24.85,24.6,25.0,24.45,25.0,24.78,20.32,2.82,70.0
"January, 2017","24,8  1,55 (6,67%)",24.85,21.65,23.25,23.65,24.8,23.65,24.8,24.7,19.05,1.19,29.0
"February, 2017","23,5  -0,3 (-1,26%)",25.45,22.15,23.8,23.5,23.5,23.5,23.5,23.5,18.05,1.85,43.0
"March, 2017","23,4  0,2 (0,86%)",24.8,21.6,23.2,23.2,23.4,23.2,23.4,23.33,18.25,600.0,14.0
"April, 2017","23,1  0 (0%)",24.7,21.5,23.1,0.0,0.0,0.0,23.1,0.0,18.8,1.0,23.0
"May, 2017","23,2  0,1 (0,43%)",24.7,21.5,23.1,23.4,23.4,23.2,23.2,23.08,18.880000000000003,1.04,24.0
"June, 2017","24,5  0 (0%)",26.2,22.8,24.5,24.5,24.5,24.5,24.5,24.0,19.94,500.0,12.0
"July, 2017","25,5  0 (0%)",27.25,23.75,25.5,25.5,25.5,25.5,25.5,20.0,20.75,50.0,1.0
"August, 2017",26  0 (0%),27.8,24.2,26.0,26.0,26.0,25.6,26.0,26.130000000000003,22.19,1.11,29.0
"September, 2017","26,7  1,7 (6,8%)",26.75,23.25,25.0,26.7,26.7,26.7,26.7,26.7,22.79,10.0,267.0
"October, 2017","24,95  0,2 (0,81%)",26.45,23.05,24.75,24.9,24.95,24.9,24.95,25.0,21.29,840.0,21.0
"November, 2017","24,7  -0,2 (-0,8%)",26.6,23.2,24.9,24.7,24.7,24.7,24.7,33.33,21.08,30.0,1.0
"December, 2017","24  0,1 (0,42%)",25.55,22.25,23.9,23.9,24.0,23.4,24.0,24.03,20.48,1.29,31.0
"January, 2018","23,6  -0,2 (-0,84%)",25.45,22.15,23.8,23.9,23.9,23.6,23.6,23.33,20.14,600.0,14.0
"February, 2018","25,3  1,3 (5,42%)",25.65,22.35,24.0,25.3,25.3,25.3,25.3,25.3,21.59,10.0,253.0
"March, 2018","24  -0,1 (-0,41%)",25.75,22.45,24.1,24.0,24.0,24.0,24.0,24.17,20.48,1.2,29.0
"April, 2018","23  -1 (-4,17%)",25.65,22.35,24.0,24.0,24.0,23.0,23.0,23.21,19.630000000000003,5.3,123.0
"May, 2018","24,2  0 (0%)",25.85,22.55,24.2,24.2,24.2,24.2,24.2,24.0,20.65,500.0,12.0
"June, 2018",24  0 (0%),25.65,22.35,24.0,24.0,24.3,24.0,24.0,24.32,21.58,740.0,18.0
"July, 2018","24,9  0,3 (1,22%)",26.3,22.9,24.6,24.9,24.9,24.9,24.9,25.0,22.39,1.0,25.0
"August, 2018","25,65  0 (0%)",27.4,23.9,25.65,0.0,0.0,0.0,25.65,0.0,23.07,10.0,257.0
"September, 2018","24,5  0 (0%)",26.2,22.8,24.5,24.55,24.55,24.5,24.5,24.31,22.03,1.44,35.0
"October, 2018","24,5  0 (0%)",26.2,22.8,24.5,0.0,0.0,0.0,24.5,0.0,22.03,3.1,76.0
"November, 2018","24,7  0 (0%)",26.4,23.0,24.7,24.7,24.7,24.7,24.7,24.5,22.21,2.0,49.000
"December, 2018",25  0 (0%),26.75,23.25,25.0,25.0,25.0,25.0,25.0,28.57,23.880000000000003,70.0,2.0
"January, 2019","24,65  0 (0%)",26.35,22.95,24.65,24.65,24.65,24.65,24.65,33.33,24.39,30.0,1.0
"February, 2019",26  0 (0%),27.8,24.2,26.0,25.5,26.0,25.5,26.0,25.19,25.73,1.31,33.0
"March, 2019","26,2  -0,1 (-0,38%)",28.1,24.5,26.3,26.2,26.2,25.95,26.2,26.2,25.93,3.32,87.0
"April, 2019","26,2  -0,9 (-3,32%)",28.95,25.25,27.1,25.5,26.2,25.5,26.2,25.0,25.93,160.0,4.0
"May, 2019","26,1  0,1 (0,38%)",27.8,24.2,26.0,26.1,26.1,26.1,26.1,27.08,25.83,480.0,13.0
"June, 2019","25,7  1,65 (6,86%)",25.7,22.4,24.05,25.7,25.7,25.7,25.7,26.83,25.93,410.0,11.0
"July, 2019","25,1  -0,2 (-0,79%)",27.05,23.55,25.3,25.1,25.1,25.1,25.1,26.0,25.33,500.0,13.0
"August, 2019",25  0 (0%),26.75,23.25,25.0,0.0,0.0,0.0,25.0,0.0,25.23,200.0,5.0
"September, 2019","24,9  -0,1 (-0,4%)",26.75,23.25,25.0,25.0,25.0,24.9,24.9,24.92,25.130000000000003,3.25,81.0
"October, 2019","24,25  0 (0%)",25.9,22.6,24.25,24.5,24.5,24.25,24.25,24.44,24.47,5.4,132.0
"November, 2019","24,3  -0,05 (-0,21%)",26.05,22.65,24.35,24.3,24.3,24.3,24.3,24.3,24.52,10.0,243.0
"December, 2019","23,9  1,4 (6,22%)",24.05,20.95,22.5,22.5,23.9,22.5,23.9,21.05,24.12,190.0,4.0
"January, 2020",25  0 (0%),26.75,23.25,25.0,0.0,0.0,0.0,25.0,0.0,25.23,20.0,488.0
"February, 2020","23  -0,3 (-1,29%)",24.9,21.7,23.3,23.5,23.5,23.0,23.0,22.73,23.21,660.0,15.0
"March, 2020","22,5  0 (0%)",24.05,20.95,22.5,0.0,0.0,0.0,22.5,0.0,22.5,1.02,23.0
"April, 2020","22,5  0,3 (1,35%)",23.75,20.65,22.2,22.5,22.5,22.5,22.5,23.53,22.5,340.0,8.0
"May, 2020","23,3  -0,7 (-2,92%)",25.65,22.35,24.0,23.5,23.5,23.3,23.3,23.33,23.3,6.0,140.0
"June, 2020",24  0 (0%),25.65,22.35,24.0,24.0,24.0,24.0,24.0,23.33,0.0,300.0,7.0
"July, 2020",24  0 (0%),25.65,22.35,24.0,0.0,0.0,0.0,24.0,0.0,0.0,130.0,3.0
"August, 2020","23,5  -0,3 (-1,26%)",25.45,22.15,23.8,23.8,23.9,23.4,23.5,23.52,0.0,25.76,606.000
"September, 2020","24,3  0 (0%)",26.0,22.6,24.3,24.3,24.3,24.2,24.3,24.28,0.0,23.15,562.0
"October, 2020","24,5  0,4 (1,66%)",25.75,22.45,24.1,25.0,25.0,24.2,24.5,24.14,0.0,3.19,77.0
"November, 2020","24,65  -0,05 (-0,2%)",26.4,23.0,24.7,24.7,24.7,24.4,24.65,24.71,0.0,2.55,63.0
"December, 2020","25,1  0,1 (0,4%)",26.75,23.25,25.0,25.1,25.2,24.9,25.1,25.16,0.0,4.69,118.000
"January, 2021","25,5  1,1 (4,51%)",26.1,22.7,24.4,24.7,25.5,24.7,25.5,24.94,0.0,7.7,192.000
"February, 2021","24,85  -0,15 (-0,6%)",26.75,23.25,25.0,25.0,25.0,24.8,24.85,24.8,0.0,5.0,124.0
"March, 2021","25,35  0,05 (0,2%)",27.05,23.55,25.3,25.3,25.4,25.3,25.35,25.32,0.0,21.8,552.0
"April, 2021","26,05  -0,05 (-0,19%)",27.9,24.3,26.1,26.05,26.05,26.05,26.05,25.0,0.0,400.0,10.000
"May, 2021","28,65  0,35 (1,24%)",30.25,26.35,28.3,28.0,28.65,28.0,28.65,28.57,0.0,700.0,20.000
"June, 2021","27,8  0,2 (0,72%)",29.5,25.7,27.6,27.9,27.9,27.8,27.8,28.18,0.0,1.1,31.0
"July, 2021","27,4  0,2 (0,74%)",29.1,25.3,27.2,27.4,27.4,27.4,27.4,26.0,0.0,500.0,13.0
"August, 2021","30,7  0,3 (0,99%)",32.5,28.3,30.4,30.4,30.8,30.2,30.7,30.44,0.0,34.1,1.038.000
"September, 2021","29,4  0 (0%)",31.45,27.35,29.4,29.2,29.4,29.2,29.4,29.130000000000003,0.0,4.6,134.000
"October, 2021",31  0 (0%),33.15,28.85,31.0,30.7,31.0,30.6,31.0,30.65,0.0,9.2,282.000
"November, 2021",32  0 (0%),34.2,29.8,32.0,33.0,33.0,32.0,32.0,32.86,0.0,4.2,138.0
"December, 2021","30,1  -0,85 (-2,75%)",32.0,27.9,30.95,30.8,30.8,30.1,30.1,30.380000000000003,0.0,2.6,79.000
