Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","17,3  -0,05 (-0,29%)",18.55,16.15,17.35,17.35,17.4,17.2,17.3,17.25,11.96,36.75,634.000
"February, 2017","16,9  0,1 (0,6%)",17.95,15.65,16.8,16.7,16.9,16.4,16.9,16.64,11.68,6.73,112.000
"March, 2017","18  1,1 (6,51%)",18.05,15.75,16.9,16.9,18.0,16.9,18.0,17.28,12.44,48.56,839.000
"April, 2017","17,2  -0,1 (-0,58%)",18.5,16.1,17.3,17.3,17.4,16.7,17.2,17.11,11.89,45.23,774.000
"May, 2017","15,8  0,3 (1,94%)",16.55,14.45,15.5,15.5,16.0,15.5,15.8,15.81,10.3,217.970,3.447.000
"June, 2017","17,95  0 (0%)",19.2,16.7,17.95,17.95,17.95,17.6,17.95,17.830000000000002,11.7,529.22,9.422.200
"July, 2017","16,35  0,05 (0,31%)",17.4,15.2,16.3,16.0,16.35,15.8,16.35,16.130000000000003,11.3,159.74,2.576.000
"August, 2017","16,5  0,5 (3,12%)",17.1,14.9,16.0,16.0,16.5,15.95,16.5,16.1,11.4,540.54,8.705.000
"September, 2017","19,05  0,05 (0,26%)",20.3,17.7,19.0,18.9,19.2,18.8,19.05,19.04,13.169999999999998,191.91,3.654.000
"October, 2017","16,8  0 (0%)",17.95,15.65,16.8,16.8,16.9,16.5,16.8,16.61,11.61,10.96,182.000
"November, 2017","17,35  -0,05 (-0,29%)",18.6,16.2,17.4,17.4,17.4,17.0,17.35,17.22,11.99,36.18,623.000
"December, 2017","17,7  0 (0%)",18.9,16.5,17.7,17.7,17.8,17.6,17.7,17.669999999999998,12.23,35.25,623.000
"January, 2018","16,6  0,1 (0,61%)",17.65,15.35,16.5,16.5,16.7,16.5,16.6,16.55,11.47,14.62,242.000
"February, 2018","16,6  -0,2 (-1,19%)",17.95,15.65,16.8,16.7,16.7,16.55,16.6,16.56,11.47,682.05,11.590.000
"March, 2018","17,6  -0,1 (-0,56%)",18.9,16.5,17.7,17.6,17.6,17.6,17.6,17.6,12.16,10.0,176
"April, 2018","17,8  0 (0%)",19.0,16.6,17.8,17.8,17.8,17.7,17.8,17.740000000000002,12.3,104.4,1.852.000
"May, 2018","16,2  0,15 (0,93%)",17.15,14.95,16.05,16.2,16.2,16.2,16.2,16.2,11.2,10.0,162
"June, 2018",15  0 (0%),16.05,13.95,15.0,15.0,15.0,15.0,15.0,12.5,10.37,80.0,1.000
