Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2016","19,7  -1,05 (-5,06%)",22.2,19.3,20.75,20.75,20.75,19.5,19.7,19.85,14.59,152.6,3.029.000
"February, 2016","19,2  -0,5 (-2,54%)",21.05,18.35,19.7,18.7,19.7,18.7,19.2,19.15,14.22,338.55,6.484.000
"March, 2016","24,55  -1,8 (-6,83%)",28.15,24.55,26.35,24.55,25.4,24.55,24.55,24.62,19.03,280.160,6.898.000
"April, 2016","23,7  -0,85 (-3,46%)",26.25,22.85,24.55,22.85,23.95,22.85,23.7,23.46,18.380000000000003,1.020.320,23.932.000
"May, 2016","18,65  -0,55 (-2,86%)",18.65,16.25,19.2,18.0,18.65,18.0,18.65,18.58,15.19,403.94,7.506.000
"June, 2016","18,7  0,05 (0,27%)",19.95,17.35,18.65,18.8,19.4,18.65,18.7,18.97,15.23,447.5,8.487.000
"July, 2016","19,1  0,4 (2,14%)",20.0,17.4,18.7,18.1,19.15,18.1,19.1,18.51,15.56,457.64,8.472.000
"August, 2016","19,8  0,7 (3,66%)",20.4,17.8,19.1,19.5,19.8,19.1,19.8,19.43,16.130000000000003,541.74,10.529.000
"September, 2016","19,8  0 (0%)",21.15,18.45,19.8,19.3,19.8,19.3,19.8,19.52,16.130000000000003,395.99,7.731.000
"October, 2016","28,3  -1,9 (-6,29%)",32.3,28.1,30.2,29.85,29.85,28.1,28.3,28.71,21.94,557.560,16.006.000
"November, 2016","20,75  0,1 (0,48%)",22.05,19.25,20.65,20.8,22.0,20.4,20.75,21.22,15.36,410.01,8.701.000
"December, 2016","16,9  0,9 (5,62%)",17.1,14.9,16.0,15.6,16.9,15.55,16.9,16.31,13.77,763.3,12.446.000
"January, 2017","16,85  0,3 (1,81%)",17.7,15.4,16.55,16.35,16.85,16.1,16.85,16.34,13.56,454.370,7.426.000
"February, 2017","16,25  -0,2 (-1,22%)",17.6,15.3,16.45,16.5,16.5,16.15,16.25,16.19,13.080000000000002,311.58,5.043.000
"March, 2017","17,55  -0,65 (-3,57%)",19.45,16.95,18.2,18.0,18.25,17.55,17.55,17.8,14.43,699.400,12.451.000
"April, 2017","20,75  0,2 (0,97%)",21.95,19.15,20.55,20.65,21.0,20.6,20.75,20.76,17.07,2.101.570,43.637.000
"May, 2017","21,3  0,05 (0,24%)",22.7,19.8,21.25,21.0,21.45,20.5,21.3,20.92,17.52,4.415.230,92.363.000
"June, 2017","19,2  0,4 (2,13%)",20.1,17.5,18.8,18.65,19.2,18.6,19.2,18.84,15.79,621.050,11.698.000
"July, 2017","17,1  0 (0%)",18.25,15.95,17.1,17.15,17.2,16.75,17.1,16.990000000000002,14.69,1.999.370,33.967.000
"August, 2017","16,25  0 (0%)",17.35,15.15,16.25,16.25,16.25,16.0,16.25,16.11,13.96,1.701.820,27.423.000
"September, 2017","16,05  0 (0%)",17.15,14.95,16.05,16.05,16.15,15.95,16.05,16.02,13.79,808.750,12.959.000
"October, 2017","15,5  -0,3 (-1,9%)",16.9,14.7,15.8,15.4,15.8,15.3,15.5,15.45,13.32,670.810,10.365.000
"November, 2017","18,8  0,2 (1,08%)",19.9,17.3,18.6,18.65,18.9,18.6,18.8,18.74,16.15,1.732.370,32.466.000
"December, 2017","21,15  -0,65 (-2,98%)",23.3,20.3,21.8,20.55,21.25,20.5,21.15,20.93,18.17,1.571.470,32.896.000
"January, 2018","21,5  -0,8 (-3,59%)",23.85,20.75,22.3,22.3,22.4,21.5,21.5,22.03,18.47,1.588.120,34.981.000
"February, 2018","19,9  -0,95 (-4,56%)",22.3,19.4,20.85,20.5,20.55,19.9,19.9,20.32,17.1,1.026.440,20.855.000
"March, 2018","20,7  0,45 (2,22%)",21.65,18.85,20.25,20.95,21.0,20.3,20.7,20.71,17.78,809.190,16.755.000
"April, 2018","26,8  1,75 (6,99%)",26.8,23.3,25.05,25.05,26.8,24.95,26.8,25.880000000000003,23.02,1.387.810,35.914.000
"May, 2018","27,9  0,35 (1,27%)",29.45,25.65,27.55,27.3,27.9,26.8,27.9,27.14,23.97,1.003.570,27.241.000
"June, 2018","21,75  0,35 (1,64%)",22.85,19.95,21.4,21.3,21.85,21.3,21.75,21.59,18.69,902.640,19.492.000
"July, 2018","26,6  1,35 (5,35%)",27.0,23.5,25.25,25.1,26.7,24.8,26.6,25.87,23.81,1.365.420,35.322.000
"August, 2018","27,1  -1,2 (-4,24%)",30.25,26.35,28.3,28.4,28.65,27.0,27.1,27.85,24.26,1.499.990,41.780.000
"September, 2018","24,05  -0,1 (-0,41%)",25.8,22.5,24.15,24.15,24.2,23.6,24.05,23.94,21.53,408.990,9.790.000
"October, 2018","20,3  0,15 (0,74%)",21.55,18.75,20.15,19.9,20.3,19.8,20.3,19.97,18.17,1.671.890,33.390.000
"November, 2018","20,5  0,2 (0,99%)",21.7,18.9,20.3,20.35,20.6,20.1,20.5,20.35,18.35,635.060,12.923.000
"December, 2018","17,75  0 (0%)",18.95,16.55,17.75,17.75,17.8,16.6,17.75,17.669999999999998,15.89,202.700,3.581.000
"January, 2019","18,7  -0,15 (-0,8%)",20.15,17.55,18.85,18.85,18.9,18.3,18.7,18.59,16.990000000000002,434.840,8.082.000
"February, 2019","24,4  -1,6 (-6,15%)",27.8,24.2,26.0,26.0,26.05,24.4,24.4,25.03,22.17,1.212.820,30.362.000
"March, 2019","22,6  0,05 (0,22%)",24.1,21.0,22.55,22.6,22.7,22.4,22.6,22.58,20.53,532.600,12.026.000
"April, 2019","21,4  0,2 (0,94%)",22.65,19.75,21.2,21.25,21.4,21.25,21.4,21.26,19.44,552.280,11.741.000
"May, 2019","20,7  -0,25 (-1,19%)",22.4,19.5,20.95,20.95,21.0,20.3,20.7,20.87,18.81,540.19,11.274.000
"June, 2019",21  0 (0%),22.45,19.55,21.0,21.0,21.05,20.75,21.0,20.93,19.08,811.870,16.992.000
"July, 2019","22,85  0,9 (4,1%)",23.45,20.45,21.95,21.8,22.85,21.6,22.85,21.95,21.45,1.519.090,33.337.000
"August, 2019","22,75  0,5 (2,25%)",23.8,20.7,22.25,22.2,22.95,22.2,22.75,22.52,21.35,4.085.710,91.999.000
"September, 2019","24,15  -0,15 (-0,62%)",26.0,22.6,24.3,24.2,24.2,23.95,24.15,24.09,22.67,538.300,12.970.000
"October, 2019","22,7  -0,25 (-1,09%)",24.55,21.35,22.95,22.9,23.1,22.7,22.7,22.9,21.31,366.570,8.396.000
"November, 2019","28,65  0,3 (1,06%)",30.3,26.4,28.35,28.3,28.9,28.3,28.65,28.6,27.37,1.697.190,48.535.000
"December, 2019","32,65  0,55 (1,71%)",34.3,29.9,32.1,32.1,32.8,32.1,32.65,32.53,31.2,1.223.330,39.796.000
"January, 2020","41,05  0,4 (0,98%)",43.45,37.85,40.65,40.65,41.05,40.6,41.05,40.86,39.69,865.140,35.348.000
"February, 2020","31,8  -2,35 (-6,88%)",36.5,31.8,34.15,34.15,34.2,31.8,31.8,33.33,30.75,1.035.070,34.504.000
"March, 2020","16,5  -0,25 (-1,49%)",17.9,15.6,16.75,16.65,17.05,16.25,16.5,16.73,16.5,535.790,8.964.000
"April, 2020","21,2  0,6 (2,91%)",22.0,19.2,20.6,20.65,21.4,20.6,21.2,21.01,21.2,1.165.090,24.481.000
"May, 2020","21,2  0,2 (0,95%)",22.45,19.55,21.0,20.5,21.3,20.2,21.2,20.82,21.2,1.420.330,29.570.000
"June, 2020","21,3  -1,6 (-6,99%)",24.5,21.3,22.9,21.7,22.0,21.3,21.3,21.55,0.0,1.546.040,33.324.000
"July, 2020","19,7  0,65 (3,41%)",20.35,17.75,19.05,18.95,20.35,17.75,19.7,19.8,0.0,9.952.340,197.018.000
"August, 2020","20,8  -0,55 (-2,58%)",22.8,19.9,21.35,21.3,21.3,20.7,20.8,20.880000000000003,0.0,3.153.790,65.857.000
"September, 2020","21,55  0,05 (0,23%)",23.0,20.0,21.5,21.1,21.8,20.85,21.55,21.31,0.0,15.024.070,320.216.000
"October, 2020","18,5  -0,2 (-1,07%)",20.0,17.4,18.7,18.8,18.9,18.25,18.5,18.55,0.0,5.839.620,108.331.000
"November, 2020","19,5  -0,7 (-3,47%)",21.6,18.8,20.2,20.25,20.45,19.5,19.5,19.98,0.0,9.693.850,193.702.000
"December, 2020","19,95  -0,25 (-1,24%)",21.6,18.8,20.2,20.2,20.3,19.9,19.95,19.99,0.0,5.345.790,106.875.000
"January, 2021","21,95  0,55 (2,57%)",22.85,19.95,21.4,20.0,22.55,20.0,21.95,21.35,0.0,9.480.600,202.424.000
"February, 2021","21,8  -0,25 (-1,13%)",23.55,20.55,22.05,21.7,22.05,21.4,21.8,21.71,0.0,5.700.300,123.782.000
"March, 2021","22,9  0,1 (0,44%)",24.35,21.25,22.8,22.8,23.55,22.5,22.9,23.09,0.0,7.797.400,180.076.000
"April, 2021","21,7  -0,3 (-1,36%)",23.5,20.5,22.0,22.2,22.2,21.7,21.7,21.94,0.0,3.798.700,83.352.000
