Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","31  -0,4 (-1,27%)",33.5,29.3,31.4,30.5,31.8,30.5,31.0,30.87,11.27,30.84,952.000
"February, 2014","27,5  0,2 (0,73%)",29.2,25.4,27.3,26.1,28.0,26.1,27.5,26.25,10.6,8.73,229.191
"March, 2014","26,9  -0,1 (-0,37%)",28.8,25.2,27.0,26.8,26.9,26.7,26.9,26.78,10.37,3.29,88.113
"April, 2014","24,1  0,1 (0,42%)",25.6,22.4,24.0,24.5,24.5,24.0,24.1,24.35,92.9,21.84,531.722
"May, 2014","22,9  -0,1 (-0,43%)",24.6,21.4,23.0,23.5,23.5,22.9,22.9,23.1,83.3,60.0,1.0
"June, 2014",23  0 (0%),24.6,21.4,23.0,23.0,23.0,23.0,23.0,23.0,83.6,1.04,24.0
"July, 2014",26  0 (0%),27.8,24.2,26.0,26.0,26.2,26.0,26.0,26.03,94.6,12.71,331.000
"August, 2014","27,5  -0,7 (-2,48%)",30.1,26.3,28.2,28.4,28.4,27.5,27.5,28.19,10.0,23.62,666.000
"September, 2014",28  0 (0%),29.9,26.1,28.0,28.0,28.0,27.8,28.0,28.0,10.18,12.71,356.000
"October, 2014","27,6  -0,4 (-1,43%)",29.9,26.1,28.0,27.0,27.9,26.8,27.6,27.14,10.04,5.71,155.0
"November, 2014","31,4  -0,1 (-0,32%)",33.7,29.3,31.5,31.3,31.5,31.0,31.4,31.18,11.42,52.19,1.627.000
"December, 2014","32,1  1,3 (4,22%)",32.9,28.7,30.8,30.6,32.1,30.6,32.1,31.97,11.67,62.81,2.008.000
"January, 2015","34,8  0,7 (2,05%)",36.4,31.8,34.1,34.5,34.8,33.8,34.8,34.08,12.66,63.63,2.168.000
"February, 2015","34  -0,1 (-0,29%)",36.4,31.8,34.1,33.8,34.0,33.7,34.0,33.75,12.37,20.12,679.000
"March, 2015","31,5  0 (0%)",33.7,29.3,31.5,31.7,31.7,31.5,31.5,31.5,12.1,9.52,300.0
"April, 2015","29  0,5 (1,75%)",30.4,26.6,28.5,28.5,29.0,28.5,29.0,28.62,11.14,5.41,155.0
"May, 2015","27,7  -0,1 (-0,36%)",29.7,25.9,27.8,28.0,28.0,27.7,27.7,27.83,10.64,1.2,33.0
"June, 2015","28,5  0 (0%)",30.4,26.6,28.5,28.5,28.5,28.5,28.5,28.5,10.95,3.49,99.0
"July, 2015","28,5  0,4 (1,42%)",30.0,26.2,28.1,28.5,28.5,28.5,28.5,28.5,10.95,100.0,3.0
"August, 2015","25,8  -0,2 (-0,77%)",27.8,24.2,26.0,26.0,26.0,25.8,25.8,25.98,10.14,4.25,110.000
"September, 2015","26,6  0,1 (0,38%)",28.3,24.7,26.5,26.6,26.6,26.6,26.6,26.6,10.38,3.76,100.000
"October, 2015","33,7  -1,3 (-3,71%)",37.4,32.6,35.0,35.0,35.0,33.7,33.7,34.36,13.98,49.32,1.695.000
"November, 2015","30  -0,4 (-1,32%)",32.5,28.3,30.4,30.0,30.0,29.0,30.0,29.77,12.44,47.16,1.404.000
"December, 2015","30,7  0 (0%)",32.7,28.5,30.7,30.6,30.7,30.1,30.7,30.44,12.5,34.09,1.038.000
"January, 2016","28,4  0,2 (0,71%)",30.1,26.3,28.2,28.7,28.7,28.1,28.4,28.26,11.26,79.17,2.238.000
"February, 2016","29,6  -0,6 (-1,99%)",32.3,28.1,30.2,29.6,29.9,29.5,29.6,29.7,11.73,56.1,1.666.000
"March, 2016","30  0,7 (2,39%)",31.3,27.3,29.3,29.2,30.8,29.2,30.0,29.93,12.24,254.51,7.446.000
"April, 2016","27,6  -0,2 (-0,72%)",29.7,25.9,27.8,27.8,27.8,27.5,27.6,27.6,11.58,20.39,563.000
"May, 2016","28,9  0 (0%)",30.8,26.8,28.9,28.9,29.0,28.6,28.9,28.84,12.98,24.13,696.000
"June, 2016","29,4  0,4 (1,38%)",31.0,27.0,29.0,29.4,29.4,28.7,29.4,29.03,13.580000000000002,9.75,283.000
"July, 2016","29,4  0,2 (0,68%)",31.2,27.2,29.2,29.2,29.5,29.2,29.4,29.3,13.86,14.78,433.000
"August, 2016","29,8  -0,2 (-0,67%)",32.1,27.9,30.0,29.6,30.3,29.5,29.8,29.92,14.34,9.13,273.000
"September, 2016","29,9  0 (0%)",31.95,27.85,29.9,29.5,29.9,29.4,29.9,29.51,14.669999999999998,15.85,468.0
"October, 2016","29,8  0,3 (1,02%)",31.55,27.45,29.5,29.8,29.8,29.1,29.8,29.58,14.38,970.0,29.0
"November, 2016","28  -1 (-3,45%)",31.0,27.0,29.0,29.6,29.6,28.0,28.0,28.27,13.49,34.35,971.0
