Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","33,9  0 (0%)",36.2,31.6,33.9,33.7,34.5,33.7,33.9,33.989999999999995,27.73,150.72,5.123.000
"February, 2014","28,3  -0,1 (-0,35%)",30.3,26.5,28.4,28.5,28.5,27.6,28.3,28.09,21.53,820.710,23.052.721
"March, 2014","27,8  -0,6 (-2,11%)",30.3,26.5,28.4,28.5,28.6,27.7,27.8,28.02,21.380000000000003,783.170,21.946.548
"April, 2014","28,3  0,3 (1,07%)",29.9,26.1,28.0,28.0,28.5,28.0,28.3,28.24,22.55,698.900,19.736.682
"May, 2014","24,7  -0,3 (-1,2%)",26.7,23.3,25.0,24.9,25.2,24.7,24.7,24.9,20.2,757.590,18.862.000
"June, 2014","27,5  0,1 (0,36%)",29.3,25.5,27.4,27.4,27.7,27.4,27.5,27.53,22.49,417.550,11.495.000
"July, 2014","26,9  0,6 (2,28%)",28.1,24.5,26.3,26.3,27.0,26.3,26.9,26.73,22.0,566.91,15.156.000
"August, 2014","34,1  -0,4 (-1,16%)",36.9,32.1,34.5,34.6,34.7,33.5,34.1,34.1,27.89,1.108.390,37.793.000
"September, 2014","34,6  0 (0%)",37.0,32.2,34.6,34.0,35.0,34.0,34.6,34.54,28.3,558.140,19.279.000
"October, 2014","34,2  0,7 (2,09%)",35.8,31.2,33.5,33.2,34.3,33.2,34.2,33.84,27.97,673.020,22.773.000
"November, 2014","33,9  -0,7 (-2,02%)",37.0,32.2,34.6,34.6,34.7,33.9,33.9,34.2,27.73,326.41,11.164.000
"December, 2014","32  1,9 (6,31%)",32.2,28.0,30.1,30.7,32.2,30.7,32.0,31.77,26.67,369.47,11.737.000
"January, 2015","33  -1 (-2,94%)",36.3,31.7,34.0,34.1,34.1,32.8,33.0,33.36,27.5,226.42,7.554.000
"February, 2015","34,2  -0,1 (-0,29%)",36.7,31.9,34.3,34.4,34.4,34.0,34.2,34.14,28.5,115.54,3.945.000
"March, 2015",32  0 (0%),34.2,29.8,32.0,32.1,32.6,31.9,32.0,32.160000000000004,26.67,416.03,13.813.000
"April, 2015","31,1  -0,1 (-0,32%)",33.3,29.1,31.2,31.4,31.5,31.1,31.1,31.27,25.92,141.72,4.431.000
"May, 2015","31  -0,1 (-0,32%)",33.2,29.0,31.1,31.2,31.4,30.9,31.0,31.110000000000003,25.83,278.07,8.650.000
"June, 2015","34,1  -0,1 (-0,29%)",36.5,31.9,34.2,34.1,34.7,34.0,34.1,34.410000000000004,28.98,1.023.840,35.229.000
"July, 2015","40,2  -0,5 (-1,23%)",43.5,37.9,40.7,40.7,41.5,40.2,40.2,40.92,34.160000000000004,1.041.000,42.745.000
