Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","13,3  0,8 (6,4%)",13.3,11.7,12.5,12.5,13.3,12.5,13.3,13.19,41.0,48.06,634.000
"February, 2014","12,3  0 (0%)",13.1,11.5,12.3,12.2,12.3,12.2,12.3,12.29,39.3,1.0,12.290
"March, 2014","12,9  -0,1 (-0,77%)",13.9,12.1,13.0,12.9,12.9,12.4,12.9,12.77,40.9,64.260,820.687
"April, 2014","12,5  0,1 (0,81%)",13.2,11.6,12.4,12.5,12.6,12.4,12.5,12.47,39.6,694.52,8.953.659
"May, 2014","11,9  0,3 (2,59%)",12.4,10.8,11.6,11.0,11.9,11.0,11.9,11.0,35.4,26.01,286.0
"June, 2014","11,8  -0,2 (-1,67%)",12.8,11.2,12.0,11.8,12.1,11.8,11.8,11.8,36.4,6.72,79.000
"July, 2014","11,8  -0,2 (-1,67%)",12.8,11.2,12.0,12.0,12.0,11.8,11.8,11.91,36.4,6.5,77.0
"August, 2014","11,6  0,2 (1,75%)",12.1,10.7,11.4,11.6,11.8,11.5,11.6,11.58,35.8,25.650,297.000
"September, 2014","12,2  -0,2 (-1,61%)",13.2,11.6,12.4,12.3,12.3,12.1,12.2,12.27,37.6,51.02,626.000
"October, 2014","12,5  0 (0%)",13.3,11.7,12.5,12.5,12.5,12.5,12.5,12.5,38.6,1.06,13.0
"November, 2014","12,5  0 (0%)",13.3,11.7,12.5,12.4,12.5,12.4,12.5,12.43,38.6,400.0,5.000
"December, 2014","13  0,3 (2,36%)",13.5,11.9,12.7,12.7,13.3,12.7,13.0,12.91,40.1,9.57,124.000
"January, 2015","13,3  -0,1 (-0,75%)",14.3,12.5,13.4,13.3,13.3,13.1,13.3,13.26,41.0,13.29,176.0
"February, 2015","13  -0,1 (-0,76%)",14.0,12.2,13.1,13.0,13.2,13.0,13.0,13.0,40.1,7.52,98.0
"March, 2015","13  0,4 (3,17%)",13.4,11.8,12.6,12.8,13.0,12.8,13.0,12.99,40.1,7.0,91.000
"April, 2015","12,4  0 (0%)",13.2,11.6,12.4,12.4,12.5,12.4,12.4,12.4,38.3,20.81,258.000
"May, 2015","10,2  -0,3 (-2,86%)",11.2,98.0,10.5,11.2,11.2,10.2,10.2,11.19,34.7,46.68,522.0
"June, 2015","11,7  0 (0%)",12.5,10.9,11.7,11.6,11.7,11.6,11.7,11.68,39.8,8.33,97.000
"July, 2015","11,5  0,1 (0,88%)",12.1,10.7,11.4,11.5,11.5,11.5,11.5,11.5,39.1,10.0,9.0
"August, 2015",11  0 (0%),10.5,93.0,11.0,0.0,0.0,0.0,11.0,0.0,51.3,30.0,3.0
"September, 2015","10,4  0 (0%)",11.1,97.0,10.4,0.0,0.0,0.0,10.4,0.0,59.9,40.0,43.0
"October, 2015","9,9  0 (0%)",10.5,93.0,99.0,0.0,0.0,0.0,99.0,0.0,55.9,9.83,97.0
"November, 2015","10,7  -0,6 (-5,31%)",12.0,10.6,11.3,10.7,10.7,10.7,10.7,10.7,60.4,8.14,87.000
"December, 2015","11,9  0 (0%)",12.7,11.1,11.9,12.2,12.2,11.9,11.9,12.1,78.1,30.0,15.0
"January, 2016","10,9  -0,4 (-3,54%)",12.0,10.6,11.3,10.6,10.9,10.6,10.9,10.62,70.4,1.04,11.0
"February, 2016","11,3  -0,4 (-3,42%)",12.5,10.9,11.7,0.0,11.3,10.9,11.3,10.91,73.0,1.06,12.0
"March, 2016","10,5  -0,1 (-0,94%)",11.3,99.0,10.6,11.0,11.0,10.5,10.5,10.58,62.6,60.0,1.0
"April, 2016","10,4  0,5 (5,05%)",10.5,93.0,99.0,96.0,10.4,94.0,10.4,94.4,57.4,5.93,56.0
"May, 2016","10,9  0,4 (3,81%)",11.2,98.0,10.5,0.0,10.9,10.9,10.9,10.9,59.6,10.0,14.000
"June, 2016","10,9  -0,1 (-0,91%)",11.7,10.3,11.0,10.9,11.0,10.3,10.9,10.8,59.0,1.03,11.000
"July, 2016","10,8  -0,4 (-3,57%)",11.9,10.5,11.2,10.8,10.8,10.8,10.8,10.8,54.4,10.0,1.0
"August, 2016","10,6  -0,7 (-6,19%)",12.0,10.6,11.3,10.6,10.6,10.6,10.6,10.6,51.4,300.0,3.0
"September, 2016","11,1  0,4 (3,74%)",11.4,99.6,10.7,11.1,11.1,11.1,11.1,11.1,51.7,10.0,1.000
