Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","99  3,5 (3,66%)",10.5,86.0,95.5,10.5,10.5,96.0,99.0,97.88,12.69,2.8,274.290
"February, 2014","100  2,5 (2,56%)",10.72,87.8,97.5,98.0,100.0,98.0,100.0,98.65,123.94,600.0,59.19
"March, 2014","102  0,9 (0,89%)",11.12,91.0,10.11,10.3,10.3,10.1,10.2,102.03,113.22,8.02,818.284
"April, 2014","97  -2 (-2,02%)",10.89,89.1,99.0,97.0,97.0,97.0,97.0,97.0,10.63,1.2,116.4
"May, 2014","91  1,3 (1,45%)",98.6,80.8,89.7,90.1,91.0,90.0,91.0,90.7,89.06,3.4,308.84
"June, 2014","102  -3 (-2,86%)",11.55,94.5,10.5,10.5,10.5,10.2,10.2,104.19,87.69,2.0,208.380
"July, 2014","124,5  4,5 (3,75%)",13.2,10.8,12.0,12.0,12.45,11.9,12.45,122.61,97.24,32.23,3.953.150
"August, 2014","119,7  -0,3 (-0,25%)",13.2,10.8,12.0,11.91,12.0,11.8,11.97,119.24,78.67999999999999,7.01,835.94
"September, 2014","155,1  2,1 (1,37%)",16.830000000000002,13.77,15.3,15.4,15.8,15.3,15.51,155.04000000000002,94.97,14.075,2.182.125
"October, 2014","81,5  0 (0%)",89.6,73.4,81.5,81.5,81.5,81.5,81.5,81.5,102.73,2.4,195.6
"November, 2014","79,4  0 (0%)",87.3,71.5,79.4,0.0,0.0,0.0,79.4,0.0,91.78,1.0,77.5
"December, 2014","74,4  1,9 (2,62%)",79.7,65.3,72.5,74.5,74.5,72.1,74.4,73.3,76.42999999999999,500.0,36.76
"January, 2015","73,9  0,4 (0,54%)",80.8,66.2,73.5,73.1,74.0,73.1,73.9,73.27000000000001,68.7,2.7,197.9
"February, 2015","76,5  -0,5 (-0,65%)",84.7,69.3,77.0,77.0,77.0,76.0,76.5,76.4,68.77000000000001,3.1,236.85
"March, 2015","72,1  0,1 (0,14%)",79.2,64.8,72.0,72.2,72.2,72.1,72.1,72.1,63.54,2.6,187.470
"April, 2015","71,9  0 (0%)",79.0,64.8,71.9,71.9,71.9,71.9,71.9,71.9,61.54,1.6,115.04
"May, 2015","67  -2,9 (-4,15%)",76.8,63.0,69.9,67.0,67.0,67.0,67.0,67.0,56.33,100.0,6.7
"June, 2015","64,2  -0,9 (-1,38%)",71.6,58.6,65.1,64.8,66.9,64.2,64.2,65.45,54.08,6.0,391.07
"July, 2015","56  -0,5 (-0,88%)",62.1,50.9,56.5,57.0,57.0,56.0,56.0,56.41,50.77,3.96,223.39
"August, 2015","59,5  1,4 (2,41%)",63.9,52.3,58.1,58.0,62.0,58.0,59.5,59.11,51.78,3.3,195.07
"September, 2015","55  0,9 (1,66%)",59.5,48.7,54.1,55.0,55.0,55.0,55.0,55.0,43.9,700.0,38.5
"October, 2015","54  -0,5 (-0,92%)",59.9,49.1,54.5,58.0,58.0,54.0,54.0,54.35,37.8,7.2,390.92
"November, 2015","51,9  -0,1 (-0,19%)",57.2,46.8,52.0,52.0,52.0,50.8,51.9,51.59,34.79,1.7,87.79
"December, 2015","50,5  0 (0%)",55.5,45.5,50.5,0.0,0.0,0.0,50.5,0.0,35.78,100.0,5.05
"January, 2016",49  0 (0%),53.9,44.1,49.0,49.0,49.0,49.0,49.0,49.0,35.08,2.43,119.068
"February, 2016","55,5  -1,5 (-2,63%)",62.7,51.3,57.0,57.5,57.5,55.5,55.5,56.220000000000006,37.47,900.0,50.600
"March, 2016","51  -0,5 (-0,97%)",55.0,47.9,51.5,51.0,52.0,51.0,51.0,51.03,34.5,4.89,250.0
"April, 2016","54  0,5 (0,93%)",57.0,49.8,53.5,53.0,55.0,53.0,54.0,53.71,40.87,5.98,321.000
"May, 2016","51  -0,5 (-0,97%)",55.5,48.4,51.5,0.0,51.5,51.0,51.0,51.5,37.95,6.71,346.0
"June, 2016","56,5  3 (5,61%)",57.0,49.8,53.5,56.5,56.5,53.5,56.5,55.33,42.45,59.62,3.299.000
"July, 2016",55  0 (0%),58.5,51.5,55.0,55.0,56.0,54.5,55.0,54.81,43.73,5.37,294.000
"August, 2016","52,5  0,5 (0,96%)",55.5,48.4,52.0,52.5,52.5,52.0,52.5,52.11,41.61,3.89,203.0
"September, 2016","56,1  0,1 (0,18%)",59.9,52.1,56.0,56.3,56.4,56.1,56.1,56.16,45.16,1.26,71.000
"October, 2016","55,2  0 (0%)",59.0,51.4,55.2,55.2,56.0,55.2,55.2,55.21,44.03,2.66,147.000
"November, 2016","56  0,9 (1,63%)",58.9,51.3,55.1,56.0,56.0,55.7,56.0,55.95,44.760000000000005,21.94,1.228.000
"December, 2016","55,2  0,1 (0,18%)",58.9,51.3,55.1,55.0,55.2,55.0,55.2,55.02,45.52,550.0,30.000
"January, 2017","59,2  0,2 (0,34%)",63.1,54.9,59.0,59.0,59.2,58.6,59.2,58.85,48.04,14.1,830.000
"February, 2017","58,5  -0,5 (-0,85%)",63.1,54.9,59.0,59.0,59.0,58.1,58.5,58.73,47.48,7.79,458.000
"March, 2017","57  0,4 (0,71%)",60.5,52.7,56.6,56.6,57.0,56.5,57.0,56.55,47.25,1.9,107.0
"April, 2017","56,1  0,1 (0,18%)",59.9,52.1,56.0,56.1,56.1,56.0,56.1,56.05,46.5,3.14,176.000
"May, 2017","50,6  -0,4 (-0,78%)",54.5,47.45,51.0,50.7,51.0,50.5,50.6,50.56,44.28,1.78,90.0
"June, 2017","50,9  -0,5 (-0,97%)",54.9,47.85,51.4,51.0,51.0,50.9,50.9,50.96,44.74,5.22,266.000
"July, 2017",49  0 (0%),52.4,45.6,49.0,49.0,49.0,49.0,49.0,48.94,43.29,3.31,162.0
"August, 2017","49,1  -0,4 (-0,81%)",52.9,46.05,49.5,49.2,49.2,49.1,49.1,48.33,43.46,600.0,29.0
"September, 2017","53,5  0 (0%)",57.2,49.8,53.5,54.7,54.7,53.5,53.5,50.0,47.52,20.0,1.000
"October, 2017","58,5  0 (0%)",62.5,54.5,58.5,58.0,58.5,57.5,58.5,57.92,51.96,4.42,256.000
"November, 2017","59,9  0,5 (0,84%)",63.5,55.3,59.4,60.0,60.0,59.8,59.9,59.88,55.71,13.71,821.0
"December, 2017","64  1,1 (1,75%)",67.3,58.5,62.9,62.9,64.0,62.6,64.0,62.77,59.52,5.99,376.0
"January, 2018","66,1  0 (0%)",70.7,61.5,66.1,66.1,66.1,66.0,66.1,66.02000000000001,61.48,4.65,307.0
"February, 2018",66  0 (0%),70.6,61.4,66.0,65.9,66.0,65.3,66.0,65.58,61.38,6.42,421.0
"March, 2018","65  -1,8 (-2,69%)",71.4,62.2,66.8,65.5,65.5,65.0,65.0,64.92999999999999,60.45,2.11,137.0
"April, 2018","66,4  0,4 (0,61%)",70.6,61.4,66.0,66.0,66.4,66.0,66.4,66.3,61.760000000000005,10.0,663.0
"May, 2018","57,5  -3,6 (-5,89%)",65.3,56.9,61.1,65.0,65.0,57.5,57.5,58.94,53.48,4.53,267.0
