Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","11,1  0 (0%)",11.8,10.4,11.1,11.2,11.4,11.1,11.1,11.26,54.9,1.142.480,12.865.000
"February, 2014","12,2  0,1 (0,83%)",12.9,11.3,12.1,12.1,12.4,12.0,12.2,12.11,64.8,986.330,11.949.140
"March, 2014","13,1  0 (0%)",14.0,12.2,13.1,13.2,13.3,13.0,13.1,13.07,69.0,707.380,9.246.471
"April, 2014","12,2  0,1 (0,83%)",12.9,11.3,12.1,12.0,12.4,12.0,12.2,12.2,62.7,382.680,4.666.907
"May, 2014","9,5  -0,2 (-2,06%)",10.3,91.0,97.0,96.0,97.0,95.0,95.0,95.9,47.0,552.140,5.295.000
"June, 2014","10,5  0,4 (3,96%)",10.8,94.0,10.1,10.1,10.6,10.0,10.5,10.36,52.0,1.300.100,13.469.000
"July, 2014","10,1  0,2 (2,02%)",10.5,93.0,99.0,10.0,10.3,10.0,10.1,10.17,5.0,697.960,7.100.000
"August, 2014","10,5  0,2 (1,94%)",11.0,96.0,10.3,10.3,10.5,10.3,10.5,10.42,52.0,578.200,6.024.000
"September, 2014","10,1  0,4 (4,12%)",10.3,91.0,97.0,97.0,10.3,97.0,10.1,99.7,5.0,772.85,7.708.000
"October, 2014","10,7  0 (0%)",11.4,10.0,10.7,10.7,10.9,10.6,10.7,10.74,52.9,763.190,8.194.000
"November, 2014","11,1  0,5 (4,72%)",11.3,99.0,10.6,10.7,11.2,10.7,11.1,11.01,54.9,2.730.030,30.056.000
"December, 2014","10,6  0,6 (6%)",10.7,93.0,10.0,10.0,10.7,10.0,10.6,10.49,52.5,958.6,10.085.000
"January, 2015","10,1  -0,2 (-1,94%)",11.0,96.0,10.3,10.3,10.3,10.0,10.1,10.12,5.0,456.74,4.623.000
"February, 2015","9,9  -0,2 (-1,98%)",10.8,94.0,10.1,10.1,10.1,99.0,99.0,99.8,49.0,338.26,3.376.000
"March, 2015","9,7  0,1 (1,04%)",10.2,9.0,96.0,98.0,98.0,97.0,97.0,97.1,48.0,88.29,858.000
"April, 2015","10,1  0,1 (1%)",10.7,93.0,10.0,10.1,10.1,99.0,10.1,99.7,5.0,41.7,416.000
"May, 2015","10,1  0,6 (6,32%)",10.1,89.0,95.0,96.0,10.1,96.0,10.1,10.08,5.0,1.341.880,13.520.000
"June, 2015","8,5  -0,2 (-2,3%)",93.0,81.0,87.0,86.0,87.0,85.0,85.0,85.6,46.7,158.58,1.357.000
"July, 2015","8,5  0 (0%)",9.0,8.0,85.0,85.0,85.0,84.0,85.0,84.1,46.7,47.95,403.0
"August, 2015","7,3  0 (0%)",78.0,68.0,73.0,73.0,73.0,71.0,73.0,72.1,40.3,2.23,16.0
"September, 2015","6,6  0,1 (1,54%)",69.0,61.0,65.0,66.0,67.0,66.0,66.0,66.0,37.0,138.13,912.000
"October, 2015","6,8  0 (0%)",72.0,64.0,68.0,68.0,69.0,68.0,68.0,68.0,35.9,43.79,298.000
"November, 2015","6,5  -0,1 (-1,52%)",7.0,62.0,66.0,66.0,66.0,65.0,65.0,65.0,34.3,10.54,69.0
"December, 2015","7  0,4 (6,06%)",66.0,58.0,66.0,68.0,7.0,68.0,7.0,69.8,38.8,774.36,5.408.000
"January, 2016","6,6  0,1 (1,54%)",69.0,61.0,65.0,66.0,67.0,66.0,66.0,66.1,39.3,101.98,674.0
"February, 2016","6,8  -0,1 (-1,45%)",73.0,65.0,69.0,68.0,69.0,68.0,68.0,68.1,40.5,67.29,458.000
"March, 2016","7,1  -0,1 (-1,39%)",77.0,67.0,72.0,72.0,73.0,71.0,71.0,71.8,41.1,122.66,880.000
"April, 2016","7,1  0 (0%)",75.0,67.0,71.0,71.0,72.0,71.0,71.0,71.0,42.9,94.52,671.0
"May, 2016","7,9  -0,1 (-1,25%)",81.0,71.0,8.0,79.0,8.0,78.0,79.0,78.9,50.9,226.07,1.784.000
"June, 2016","5,9  -0,1 (-1,67%)",64.0,56.0,6.0,59.0,6.0,58.0,59.0,58.9,40.5,111.88,664.000
"July, 2016","5,9  0 (0%)",63.0,55.0,59.0,58.0,59.0,58.0,59.0,58.2,39.9,56.34,328.0
"August, 2016","5,9  0 (0%)",63.0,55.0,59.0,58.0,59.0,58.0,59.0,58.0,39.2,20.97,122.0
"September, 2016","5,63  -0,01 (-0,18%)",60.3,52.5,56.4,55.8,56.3,55.8,56.3,55.8,37.6,18.75,105.0
"October, 2016","5,59  0,01 (0,18%)",59.7,51.9,55.8,55.8,56.0,55.1,55.9,55.9,37.3,28.46,159.0
"November, 2016","5,58  -0,02 (-0,36%)",59.9,52.1,56.0,56.0,56.0,54.0,55.8,54.7,37.6,52.08,285.0
"December, 2016","5,9  0,1 (1,72%)",62.0,54.0,58.0,58.0,6.0,58.0,59.0,59.5,39.7,157.87,939.000
"January, 2017","6,31  0,11 (1,77%)",66.3,57.7,62.0,62.3,63.2,62.3,63.1,62.9,43.2,284.45,1.788.000
"February, 2017","6,6  0,2 (3,12%)",68.4,59.6,64.0,64.0,66.0,64.0,66.0,65.2,45.2,354.79,2.315.000
"March, 2017","6,9  0,04 (0,58%)",73.4,63.8,68.6,69.0,69.2,68.5,69.0,68.9,47.0,69.04,476.000
"April, 2017","7,45  -0,13 (-1,72%)",81.1,70.5,75.8,75.8,75.8,74.5,74.5,74.8,50.7,231.720,1.733.000
"May, 2017","8,02  -0,11 (-1,35%)",86.9,75.7,81.3,80.4,81.5,80.2,80.2,80.6,54.6,242.96,1.959.000
"June, 2017","8  -0,02 (-0,25%)",85.8,74.6,80.2,8.0,80.7,77.5,8.0,78.8,54.5,303.01,2.387.000
"July, 2017","7,24  -0,39 (-5,11%)",81.6,71.0,76.3,74.5,76.0,72.2,72.4,73.5,49.3,31.83,234.000
"August, 2017","7,87  -0,23 (-2,84%)",86.6,75.4,81.0,81.0,81.0,78.7,78.7,79.7,53.6,7.53,60.000
"September, 2017","7,93  -0,04 (-0,5%)",85.2,74.2,79.7,79.9,8.0,79.1,79.3,79.4,54.0,26.21,208.0
"October, 2017","7,99  -0,26 (-3,15%)",88.2,76.8,82.5,81.0,82.3,79.0,79.9,79.6,54.4,22.1,176.000
"November, 2017","6,76  -0,36 (-5,06%)",76.1,66.3,71.2,71.4,71.4,67.6,67.6,68.2,52.5,652.69,4.450.000
"December, 2017","7,38  0 (0%)",78.9,68.7,73.8,73.8,74.5,73.8,73.8,74.1,57.3,89.34,662.000
"January, 2018","8,45  -0,37 (-4,2%)",94.3,82.1,88.2,88.2,88.3,84.5,84.5,86.3,65.6,236.18,2.039.000
"February, 2018","8,08  0,18 (2,28%)",84.5,73.5,79.0,78.9,81.9,78.9,80.8,80.6,62.8,327.54,2.639.000
"March, 2018","8,95  -0,22 (-2,4%)",98.1,85.3,91.7,92.0,93.0,89.0,89.5,90.9,69.5,422.54,3.840.000
"April, 2018","9  -0,01 (-0,11%)",96.4,83.8,90.1,91.0,91.0,87.0,9.0,89.4,69.9,293.31,2.621.000
"May, 2018","9  0,07 (0,78%)",95.5,83.1,89.3,92.2,92.6,89.9,9.0,90.9,69.9,280.430,2.550.000
"June, 2018","8,96  0,11 (1,24%)",94.6,82.4,88.5,89.7,89.9,88.1,89.6,88.7,69.8,97.99,869.000
"July, 2018","8,53  0,03 (0,35%)",90.9,79.1,85.0,85.5,85.5,84.7,85.3,85.0,66.4,71.96,612.000
"August, 2018","8,57  0,07 (0,82%)",90.9,79.1,85.0,85.4,85.8,85.2,85.7,85.4,66.7,24.46,209.000
"September, 2018","9,04  0,04 (0,44%)",96.3,83.7,9.0,91.0,91.5,90.4,90.4,91.0,70.4,103.72,944.000
"October, 2018","7,45  0 (0%)",79.7,69.3,74.5,75.5,75.5,73.3,74.5,74.2,66.4,1.003.930,7.478.254
"November, 2018","7,76  -0,01 (-0,13%)",83.1,72.3,77.7,77.9,77.9,76.4,77.6,77.1,69.2,14.79,114.0
"December, 2018","7,63  -0,15 (-1,93%)",83.2,72.4,77.8,76.0,78.0,76.0,76.3,76.3,68.0,24.5,187.0
"January, 2019","7,55  0 (0%)",80.7,70.3,75.5,75.5,75.5,75.2,75.5,75.2,67.3,27.39,206.0
"February, 2019","7,85  -0,07 (-0,88%)",84.7,73.7,79.2,79.4,79.4,77.0,78.5,77.8,7.0,82.93,645.000
"March, 2019","8,85  0,05 (0,57%)",94.1,81.9,88.0,88.8,89.2,88.0,88.5,88.6,78.9,156.27,1.385.000
"April, 2019","8,48  0,07 (0,83%)",89.9,78.3,84.1,84.0,85.0,84.0,84.8,84.2,75.6,45.37,382.000
"May, 2019","8,35  -0,06 (-0,71%)",89.9,78.3,84.1,85.0,85.0,83.5,83.5,84.0,74.5,16.31,137.0
"June, 2019","8,37  0,12 (1,45%)",88.2,76.8,82.5,82.2,83.9,81.0,83.7,82.2,74.6,18.98,156.0
"July, 2019","8,34  -0,02 (-0,24%)",89.4,77.8,83.6,83.5,83.5,82.0,83.4,83.2,74.4,45.41,378.000
"August, 2019","10,7  -0,05 (-0,47%)",11.5,10.0,10.75,10.7,11.1,10.7,10.7,10.9,96.5,1.450.460,15.814.000
"September, 2019","8,78  -0,16 (-1,79%)",95.6,83.2,89.4,9.0,9.0,87.8,87.8,88.3,90.4,144.23,1.274.000
"October, 2019","8,65  0,1 (1,17%)",91.4,79.6,85.5,88.6,88.6,85.6,86.5,86.1,89.4,36.47,314.000
"November, 2019","8,35  -0,06 (-0,71%)",89.9,78.3,84.1,83.5,84.0,83.5,83.5,83.7,86.3,37.52,314.000
"December, 2019","8,41  -0,09 (-1,06%)",90.9,79.1,85.0,84.1,86.5,84.0,84.1,84.6,87.0,8.04,68.000
"January, 2020","8,3  -0,04 (-0,48%)",89.2,77.6,83.4,83.5,84.0,82.1,83.0,83.4,85.9,70.39,587.000
"February, 2020","8,05  -0,09 (-1,11%)",87.0,75.8,81.4,81.0,81.0,80.5,80.5,80.6,83.3,43.04,347.0
"March, 2020","6,24  0,03 (0,48%)",66.4,57.8,62.1,63.0,63.1,61.0,62.4,61.9,62.4,55.87,346.000
"April, 2020","7,63  -0,02 (-0,26%)",81.8,71.2,76.5,76.8,76.9,76.3,76.3,76.6,76.3,69.75,534.0
"May, 2020","8,06  -0,01 (-0,12%)",86.3,75.1,80.7,80.1,80.7,80.1,80.6,80.7,80.6,30.96,250.000
"June, 2020","7,96  0,01 (0,13%)",85.0,74.0,79.5,8.0,81.0,79.1,79.6,8.0,0.0,106.4,851.0
"July, 2020","7,88  -0,02 (-0,25%)",84.5,73.5,79.0,78.0,79.0,78.0,78.8,78.4,0.0,16.45,129.000
"August, 2020","8,77  0,03 (0,34%)",93.5,81.3,87.4,87.2,88.9,87.2,87.7,87.9,0.0,238.02,2.092.000
"September, 2020","9,07  0,03 (0,33%)",96.7,84.1,90.4,90.4,91.0,9.0,90.7,90.4,0.0,112.33,1.016.000
"October, 2020","9,83  0,33 (3,47%)",10.15,88.4,95.0,95.0,99.5,95.0,98.3,97.0,0.0,848.760,8.236.000
"November, 2020","9,54  0,28 (3,02%)",99.0,86.2,92.6,92.7,95.8,92.7,95.4,94.8,0.0,1.439.680,13.214.000
"December, 2020","15,35  0 (0%)",16.4,14.3,15.35,15.35,15.6,14.9,15.35,15.34,0.0,1.764.650,28.128.000
"January, 2021","15  0,1 (0,67%)",15.9,13.9,14.9,13.9,15.4,13.9,15.0,14.3,0.0,1.439.000,20.577.000
"February, 2021","20,3  0,4 (2,01%)",21.25,18.55,19.9,19.8,21.0,19.3,20.3,20.28,0.0,1.245.900,25.267.000
"March, 2021","20,7  0,6 (2,99%)",21.5,18.7,20.1,20.0,21.3,20.0,20.7,20.66,0.0,789.200,16.304.000
"April, 2021","16,75  -0,2 (-1,18%)",18.1,15.8,16.95,16.9,17.3,16.6,16.75,16.869999999999997,0.0,515.7,8.698.000
"May, 2021","18,3  0,1 (0,55%)",19.45,16.95,18.2,18.0,18.3,17.85,18.3,18.04,0.0,528.700,9.540.000
"June, 2021","19,5  -0,15 (-0,76%)",21.0,18.3,19.65,19.85,19.85,19.3,19.5,19.44,0.0,274.900,5.343.000
"July, 2021","17,5  0,1 (0,57%)",18.6,16.2,17.4,17.5,17.65,17.35,17.5,17.48,0.0,287.400,5.024.000
"August, 2021","21,3  1,35 (6,77%)",21.3,18.6,19.95,20.0,21.3,20.0,21.3,20.9,0.0,8.279.310,163.393.670
"September, 2021","21,5  -0,2 (-0,92%)",23.2,20.2,21.7,21.7,22.3,21.5,21.5,21.68,0.0,321.400,6.968.000
"October, 2021","29,3  0,8 (2,81%)",30.45,26.55,28.5,28.3,29.9,28.3,29.3,29.12,0.0,1.249.300,36.384.000
"November, 2021","28  0,8 (2,94%)",29.1,25.3,27.2,27.8,28.5,27.2,28.0,28.0,0.0,1.089.200,30.493.000
"December, 2021","28  0,4 (1,45%)",29.5,25.7,27.6,27.8,28.1,26.5,28.0,27.57,0.0,995.900,27.456.000
