Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","16,9  0,4 (2,42%)",17.65,15.35,16.5,16.5,16.9,16.5,16.9,16.73,11.65,534.89,8.947.000
"February, 2017","14,4  0,05 (0,35%)",15.35,13.35,14.35,14.35,14.4,13.5,14.4,13.88,99.2,535.590,7.432.000
"March, 2017","14,4  0 (0%)",15.4,13.4,14.4,14.4,14.45,14.25,14.4,14.4,99.2,280.660,4.042.000
"April, 2017","17,3  0,4 (2,37%)",18.05,15.75,16.9,16.9,17.3,16.85,17.3,17.080000000000002,11.92,388.37,6.633.000
"May, 2017","16,6  -0,7 (-4,05%)",18.5,16.1,17.3,17.35,17.55,16.1,16.6,17.05,11.44,651.31,11.102.000
"June, 2017","10,55  -0,4 (-3,65%)",11.7,10.2,10.95,10.7,10.8,10.45,10.55,10.58,71.1,635.570,6.724.000
"July, 2017","9,3  0,36 (4,03%)",95.6,83.2,89.4,95.5,95.6,9.0,93.0,95.5,63.9,237.5,2.268.000
"August, 2017","14,35  0 (0%)",15.35,13.35,14.35,14.25,14.5,14.1,14.35,14.29,98.9,474.62,6.782.000
"September, 2017","14,5  -0,4 (-2,68%)",15.9,13.9,14.9,14.9,14.95,14.45,14.5,14.62,99.9,232.950,3.405.000
"October, 2017","14,4  -0,05 (-0,35%)",15.45,13.45,14.45,14.45,14.5,14.2,14.4,14.36,99.2,312.29,4.484.000
"November, 2017","16,5  0,65 (4,1%)",16.95,14.75,15.85,15.85,16.55,15.8,16.5,16.259999999999998,11.37,508.27,8.265.000
"December, 2017","11,6  -0,75 (-6,07%)",13.2,11.5,12.35,11.55,12.4,11.5,11.6,11.59,79.9,291.11,3.373.000
"January, 2018",11  0 (0%),11.75,10.25,11.0,11.0,11.0,10.6,11.0,10.91,76.7,392.42,4.281.000
"February, 2018","13,6  0 (0%)",14.55,12.65,13.6,12.7,14.0,12.65,13.6,13.330000000000002,95.1,348.36,4.642.000
"March, 2018","13,2  0,05 (0,38%)",14.05,12.25,13.15,13.15,13.4,12.25,13.2,13.14,92.3,243.67,3.202.000
"April, 2018","13,1  0,1 (0,77%)",13.9,12.1,13.0,13.0,13.1,12.9,13.1,12.97,91.6,152.37,1.976.000
