Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","20,6  0,3 (1,48%)",21.7,18.9,20.3,20.6,20.7,20.3,20.6,20.53,69.3,168.81,3.466.000
"February, 2014","18,6  0 (0%)",19.9,17.3,18.6,18.6,18.7,17.8,18.6,18.12,62.1,279.74,5.069.512
"March, 2014","18,9  -0,5 (-2,58%)",20.7,18.1,19.4,19.2,19.3,18.9,18.9,19.11,63.1,156.66,2.993.351
"April, 2014","17,2  0 (0%)",18.4,16.0,17.2,16.6,17.3,16.6,17.2,17.14,57.4,92.24,1.581.166
"May, 2014","15,1  -0,2 (-1,31%)",16.3,14.3,15.3,15.3,15.4,15.0,15.1,15.23,50.8,68.36,1.041.000
"June, 2014","15,7  -0,1 (-0,63%)",16.9,14.7,15.8,15.7,15.8,15.6,15.7,15.69,52.8,30.45,478.000
"July, 2014","15,8  0,3 (1,94%)",16.5,14.5,15.5,15.5,15.8,15.5,15.8,15.66,53.1,193.19,3.025.000
"August, 2014","16,9  0,3 (1,81%)",17.7,15.5,16.6,16.6,17.1,16.5,16.9,16.880000000000003,56.8,408.400,6.893.000
"September, 2014",18  0 (0%),19.2,16.8,18.0,17.9,18.0,17.5,18.0,17.869999999999997,60.5,456.9,8.165.000
"October, 2014","20  0,4 (2,04%)",20.9,18.3,19.6,19.5,20.2,19.5,20.0,19.95,67.2,166.23,3.316.000
"November, 2014","20,3  0,7 (3,57%)",20.9,18.3,19.6,19.6,20.5,19.6,20.3,20.07,68.3,305.1,6.123.000
"December, 2014","19,4  0,3 (1,57%)",20.4,17.8,19.1,19.3,19.7,19.3,19.4,19.51,65.2,49.64,968.000
"January, 2015","18,2  0,3 (1,68%)",19.1,16.7,17.9,17.9,18.3,17.9,18.2,17.93,71.1,133.23,2.389.000
"February, 2015","19  -0,1 (-0,52%)",20.4,17.8,19.1,19.0,19.3,19.0,19.0,19.0,74.2,212.86,4.045.000
"March, 2015","18,1  0,3 (1,69%)",19.0,16.6,17.8,18.0,18.1,17.8,18.1,17.9,70.7,16.44,294.000
"April, 2015","16,9  -0,4 (-2,31%)",18.5,16.1,17.3,17.2,17.2,16.8,16.9,17.06,66.0,14.65,250.000
"May, 2015","16,6  -0,3 (-1,78%)",18.0,15.8,16.9,16.9,17.1,16.6,16.6,16.669999999999998,64.8,30.59,510.000
"June, 2015","16,8  0 (0%)",17.9,15.7,16.8,16.5,16.8,16.5,16.8,16.73,65.6,40.95,685.000
"July, 2015",16  0 (0%),17.1,14.9,16.0,16.3,16.3,15.9,16.0,15.99,62.5,79.6,1.273.000
"August, 2015","14,2  -0,8 (-5,33%)",16.0,14.0,15.0,14.2,14.5,14.1,14.2,14.27,56.5,65.41,933.0
"September, 2015","13,4  -0,4 (-2,9%)",14.7,12.9,13.8,13.7,13.7,13.4,13.4,13.53,51.4,57.76,782.000
"October, 2015","13,8  0 (0%)",14.7,12.9,13.8,13.9,13.9,13.7,13.8,13.79,52.2,67.3,928.000
"November, 2015","13,5  -0,3 (-2,17%)",14.7,12.9,13.8,13.8,13.8,13.5,13.5,13.68,51.1,102.6,1.403.000
"December, 2015","13,8  0,1 (0,73%)",14.3,12.5,13.7,13.6,13.8,13.5,13.8,13.74,53.0,13.78,189.000
"January, 2016","13  0,2 (1,56%)",13.6,12.0,12.8,13.1,13.1,12.7,13.0,12.88,48.9,390.0,5.0
"February, 2016","12,8  0,2 (1,59%)",13.4,11.8,12.6,12.8,12.8,12.6,12.8,12.69,5.0,84.24,1.069.000
"March, 2016","12,8  -0,3 (-2,29%)",14.0,12.2,13.1,13.1,13.1,12.8,12.8,12.99,50.8,55.83,725.000
