Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2016",25  0 (0%),28.7,21.3,25.0,0.0,0.0,0.0,25.0,25.0,23.31,100.0,2.07
"February, 2016",25  0 (0%),28.7,21.3,25.0,0.0,0.0,0.0,25.0,25.0,23.31,112.5,2.148.750
"March, 2016","32,8  4,2 (14,69%)",32.8,24.4,28.6,32.8,32.8,32.8,32.8,32.8,30.58,100.0,3.28
"April, 2016","33,5  0 (0%)",38.5,28.5,33.5,0.0,0.0,0.0,33.5,33.5,31.24,200.0,6.7
"May, 2016","24,3  0 (0%)",27.9,20.7,24.3,0.0,0.0,0.0,24.3,24.3,22.66,100.0,2.43
"June, 2016",26  0 (0%),29.9,22.1,26.0,0.0,0.0,0.0,26.0,26.0,24.24,110.0,2.809
"July, 2016","19,1  0 (0%)",21.9,16.3,19.1,0.0,0.0,0.0,19.1,19.1,17.81,200.0,3.82
"August, 2016","33,1  0 (0%)",38.0,28.2,33.1,0.0,0.0,0.0,33.1,33.1,30.860000000000003,162.0,5.362
"September, 2016","18  0,03 (0,19%)",19.5,14.5,17.0,17.0,18.0,17.0,18.0,17.03,16.78,3.1,52.8
"October, 2016","28,6  0 (0%)",32.8,24.4,28.6,0.0,0.0,0.0,28.6,28.6,26.67,100.0,2.86
"November, 2016",25  0 (0%),28.7,21.3,25.0,0.0,0.0,0.0,25.0,25.0,23.31,200.0,5.0
"December, 2016",24  0 (0%),27.6,20.4,24.0,0.0,0.0,0.0,24.0,24.0,22.380000000000003,100.0,2.4
"January, 2017",25  0 (0%),28.7,21.3,25.0,0.0,0.0,0.0,25.0,25.0,23.31,3.0,64.0
"February, 2017","23  -3,7 (-13,86%)",30.7,22.7,26.7,23.0,23.0,23.0,23.0,23.0,21.45,400.0,9.2
"March, 2017","22,5  0 (0%)",25.8,19.2,22.5,0.0,0.0,0.0,22.5,22.5,20.98,17.0,391.0
"April, 2017",26  0 (0%),29.9,22.1,26.0,0.0,0.0,0.0,26.0,26.0,24.24,100.0,2.6
"May, 2017",23  0 (0%),26.4,19.6,23.0,0.0,0.0,0.0,23.0,23.0,21.45,100.0,2.3
"June, 2017",22  0 (0%),25.3,18.7,22.0,0.0,0.0,0.0,22.0,22.0,20.51,100.0,2.2
"July, 2017","33,9  0 (0%)",38.9,28.9,33.9,0.0,0.0,0.0,33.9,33.9,31.610000000000003,100.0,3.39
"August, 2017",18  0 (0%),20.7,15.3,18.0,0.0,0.0,0.0,18.0,18.0,16.78,200.0,3.6
"September, 2017",20  0 (0%),23.0,17.0,20.0,0.0,0.0,0.0,20.0,20.0,18.65,200.0,4.0
"October, 2017",19  0 (0%),21.8,16.2,19.0,0.0,0.0,0.0,19.0,19.0,17.72,3.0,65.0
"November, 2017","22,4  0 (0%)",25.7,19.1,22.4,0.0,0.0,0.0,22.4,22.4,20.89,137.250,2.745.000
"December, 2017","18  0,5 (2,86%)",20.1,14.9,17.5,18.0,18.0,18.0,18.0,18.0,16.78,100,1.800
"January, 2018","16,9  0,9 (5,62%)",18.4,13.6,16.0,16.9,16.9,13.6,16.9,16.9,15.76,320.1,4.353.690
"February, 2018","17,5  1,2 (7,34%)",18.8,14.0,16.4,18.0,18.0,17.5,17.5,17.6,16.32,30.600,538.640
"March, 2018","16,7  0 (0%)",19.2,14.2,16.7,0.0,0.0,0.0,16.7,16.7,15.57,10,160
"April, 2018","16,9  0,88 (5,44%)",18.6,13.8,16.2,17.7,17.7,16.9,16.9,17.080000000000002,15.76,4.4,75.16
"May, 2018","17  0,2 (1,18%)",19.4,14.4,16.9,17.2,18.0,17.0,17.0,17.1,15.85,6.100,108.000
"June, 2018","18  0,36 (2,05%)",20.2,15.0,17.6,17.3,18.0,17.3,18.0,17.96,16.78,8.000,143.680
"July, 2018","16,8  0,16 (0,95%)",19.0,14.2,16.6,16.8,16.8,16.6,16.8,16.759999999999998,15.669999999999998,27.200,455.820
"August, 2018","18  0,24 (1,35%)",20.3,15.1,17.7,17.8,18.0,17.8,18.0,17.94,16.78,54.4,971.700
"September, 2018","19,5  -0,16 (-0,82%)",23.0,17.0,20.0,20.0,20.0,19.5,19.5,19.84,18.18,89.0,1.765.500
"October, 2018","18,7  0 (0%)",20.0,17.4,18.7,19.6,19.6,18.7,18.7,18.57,17.44,2.1,39.0
"November, 2018","18,3  -0,3 (-1,61%)",19.9,17.3,18.6,19.9,19.9,18.1,18.3,19.04,17.06,13.39,255.0
"December, 2018","20,1  -0,9 (-4,29%)",21.5,18.7,21.0,20.5,20.5,19.6,20.1,19.99,19.58,15.56,311.0
"January, 2019","19,6  0,1 (0,51%)",20.85,18.15,19.5,19.5,19.7,19.5,19.6,19.68,19.09,13.11,258.000
"February, 2019","25,35  -0,15 (-0,59%)",27.25,23.75,25.5,26.0,26.3,25.1,25.35,25.39,24.7,425.230,10.796.000
"March, 2019","29,9  -0,1 (-0,33%)",32.1,27.9,30.0,30.0,30.1,29.3,29.9,29.76,29.130000000000003,715.820,20.924.445
"April, 2019","29,6  0,8 (2,78%)",30.8,26.8,28.8,29.0,29.8,28.8,29.6,29.4,28.84,192.94,5.673.000
"May, 2019","28,6  -0,6 (-2,05%)",31.2,27.2,29.2,29.0,29.2,28.6,28.6,28.77,27.860000000000003,83.97,2.416.000
"June, 2019","31,95  -0,25 (-0,78%)",34.45,29.95,32.2,32.0,32.3,31.7,31.95,32.04,31.130000000000003,169.83,5.441.000
"July, 2019","30,6  0,6 (2%)",32.1,27.9,30.0,29.2,30.9,29.2,30.6,30.07,29.81,143.620,4.319.000
"August, 2019","30,8  0,2 (0,65%)",32.7,28.5,30.6,30.5,30.9,30.5,30.8,30.7,29.910000000000004,121.97,3.744.000
"September, 2019","28,4  0,05 (0,18%)",30.3,26.4,28.35,28.2,28.7,28.0,28.4,28.35,27.58,81.54,2.312.000
"October, 2019","26,9  -0,1 (-0,37%)",28.85,25.15,27.0,27.0,27.3,26.85,26.9,27.0,26.12,17.78,480.000
"November, 2019","26,9  1,25 (4,87%)",27.4,23.9,25.65,25.75,26.9,25.65,26.9,26.110000000000003,26.12,27.96,730.000
"December, 2019","25,7  0 (0%)",27.45,23.95,25.7,25.7,26.0,25.25,25.7,25.46,25.85,65.29,1.662.000
"January, 2020","23,65  -0,35 (-1,46%)",25.65,22.35,24.0,24.0,24.2,23.65,23.65,23.91,23.380000000000003,11.67,279.000
"February, 2020","22,6  0 (0%)",24.15,21.05,22.6,22.5,22.75,22.0,22.6,22.49,22.34,137.190,3.086.000
"March, 2020","15,7  -0,3 (-1,88%)",17.1,14.9,16.0,16.2,16.7,15.55,15.7,15.9,15.7,359.410,5.715.000
"April, 2020","20,75  -0,05 (-0,24%)",22.25,19.35,20.8,20.5,20.9,20.3,20.75,20.56,20.75,182.93,3.708.835
"May, 2020","21,5  -0,15 (-0,69%)",23.15,20.15,21.65,21.5,21.6,21.3,21.5,21.48,21.5,108.5,2.331.000
"June, 2020","22,7  0,1 (0,44%)",24.15,21.05,22.6,22.9,23.0,22.6,22.7,22.91,0.0,164.78,3.775.000
"July, 2020","24,8  0,2 (0,81%)",26.3,22.9,24.6,24.5,25.3,24.1,24.8,24.77,0.0,222.4,5.508.000
"August, 2020","24,4  -0,5 (-2,01%)",26.6,23.2,24.9,24.8,25.0,24.25,24.4,24.55,0.0,319.45,7.843.000
"September, 2020","23,6  -0,1 (-0,42%)",25.35,22.05,23.7,23.75,23.85,23.55,23.6,23.65,0.0,143.62,3.397.000
"October, 2020","22,8  -0,15 (-0,65%)",24.55,21.35,22.95,22.75,23.0,22.7,22.8,22.8,0.0,123.9,2.825.000
"November, 2020","27,2  0,35 (1,3%)",28.7,25.0,26.85,27.0,27.7,26.9,27.2,27.27,0.0,937.250,25.452.000
"December, 2020","27,35  -0,05 (-0,18%)",29.3,25.5,27.4,27.4,27.7,27.05,27.35,27.39,0.0,334.440,9.159.000
"January, 2021","25,4  1,1 (4,53%)",26.0,22.6,24.3,24.0,25.45,23.5,25.4,24.880000000000003,0.0,344.400,8.570.000
"February, 2021",28  0 (0%),29.95,26.05,28.0,27.6,28.0,27.3,28.0,27.58,0.0,539.3,14.875.000
"March, 2021","28,9  0,05 (0,17%)",30.85,26.85,28.85,28.85,29.0,28.6,28.9,28.77,0.0,2.234.100,66.739.000
"April, 2021","27,3  -0,1 (-0,36%)",29.3,25.5,27.4,27.4,27.5,27.0,27.3,27.160000000000004,0.0,334.6,9.087.000
"May, 2021","26,6  -0,4 (-1,48%)",28.85,25.15,27.0,26.8,27.0,26.1,26.6,26.67,0.0,167.0,4.454.000
"June, 2021","28  0,1 (0,36%)",29.85,25.95,27.9,28.0,28.1,27.8,28.0,27.97,0.0,216.1,6.045.000
"July, 2021","30,05  -0,15 (-0,5%)",32.3,28.1,30.2,30.2,30.5,29.8,30.05,30.110000000000003,0.0,1.042.000,31.387.000
"August, 2021","30,1  -0,75 (-2,43%)",33.0,28.7,30.85,31.0,31.0,30.1,30.1,30.4,0.0,1.307.700,39.750.000
"September, 2021","29,65  0,3 (1,02%)",31.4,27.3,29.35,29.65,29.7,29.35,29.65,29.48,0.0,419.9,12.232.000
"October, 2021","34,45  0,9 (2,68%)",35.85,31.25,33.55,33.55,34.5,33.5,34.45,34.160000000000004,0.0,522.600,17.851.000
"November, 2021","38,15  0,15 (0,39%)",40.65,35.35,38.0,38.0,38.25,37.8,38.15,38.02,0.0,598.500,22.753.000
"December, 2021","35  0,5 (1,45%)",36.9,32.1,34.5,34.25,35.0,33.8,35.0,34.1,0.0,343.2,11.704.000
