Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"March, 2018","15,5  0 (0%)",17.8,13.2,15.5,15.5,15.5,15.5,15.5,15.5,15.5,1.5,23.250
"April, 2018","15,5  0 (0%)",17.8,13.2,15.5,0.0,0.0,0.0,15.5,15.5,15.5,,
"May, 2018","15,1  -0,47 (-3,02%)",17.8,13.2,15.5,15.0,15.2,14.8,15.1,15.03,15.1,107.2,1.608.230
"June, 2018",15  0 (0%),17.2,12.8,15.0,0.0,15.0,15.0,15.0,15.0,15.1,100.0,1.500.000
"July, 2018","15  -0,07 (-0,47%)",17.2,12.8,15.0,14.7,15.0,14.7,15.0,14.93,15.0,111.76700000000001,1.676.145
"August, 2018",,,,,,,,,,,,
"September, 2018",,,,,,,,,,,,
"October, 2018","15  0,1 (0,67%)",17.1,12.7,14.9,15.0,15.0,15.0,15.0,15.0,15.0,92.0,1.380.000
"November, 2018","15,5  -0,5 (-3,12%)",18.4,13.6,16.0,15.5,15.5,15.5,15.5,15.5,15.5,1.5,23.25
"December, 2018","14,6  -0,2 (-1,35%)",17.0,12.6,14.8,14.6,14.6,14.6,14.6,14.6,14.6,2.8,40.88
"January, 2019","14,4  0 (0%)",16.5,12.3,14.4,0.0,0.0,0.0,14.4,14.4,14.4,2.5,36.0
"February, 2019",15  0 (0%),17.2,12.8,15.0,0.0,0.0,0.0,15.0,15.0,14.9,36.0,539.7
"March, 2019","15,1  -0,4 (-2,58%)",17.8,13.2,15.5,15.1,15.1,15.1,15.1,15.1,15.1,100.0,1.51
"April, 2019","14,6  0 (0%)",16.7,12.5,14.6,0.0,0.0,0.0,14.6,14.6,14.6,5.5,80.1
"May, 2019","14,9  0 (0%)",17.1,12.7,14.9,0.0,0.0,0.0,14.9,14.9,14.9,5.7,84.930
"June, 2019","17,3  0 (0%)",19.8,14.8,17.3,17.3,17.3,17.3,17.3,17.3,17.3,5.3,91.690
"July, 2019",16  0 (0%),18.4,13.6,16.0,0.0,0.0,0.0,16.0,16.0,16.0,200.0,3.2
"August, 2019","16,7  0,2 (1,21%)",18.9,14.1,16.5,16.7,16.7,16.7,16.7,16.7,16.7,3.6,60.12
"September, 2019","16,6  0 (0%)",19.0,14.2,16.6,0.0,0.0,0.0,16.6,16.6,16.6,1.3,21.54
"October, 2019","16,3  0 (0%)",18.7,13.9,16.3,0.0,0.0,0.0,16.3,16.3,17.0,14.0,227.5
"November, 2019","16,3  0 (0%)",18.7,13.9,16.3,0.0,0.0,0.0,16.3,16.3,16.0,15.2,247.46
"December, 2019","16,7  -0,16 (-0,98%)",19.2,14.2,16.7,16.5,16.7,16.5,16.7,16.54,16.7,5.6,92.600
"January, 2020","17  1,3 (8,28%)",18.0,13.4,15.7,17.0,17.0,17.0,17.0,17.0,17.0,3.6,61.200
"February, 2020","21,7  0 (0%)",24.9,18.5,21.7,0.0,0.0,0.0,21.7,21.7,21.8,4.6,99.66
"March, 2020",22  0 (0%),25.3,18.7,22.0,0.0,0.0,0.0,22.0,22.0,20.9,24.4,536.7
"April, 2020",23  0 (0%),26.4,19.6,23.0,0.0,0.0,0.0,23.0,23.0,23.0,100.0,2.3
"May, 2020",23  0 (0%),32.2,13.8,23.0,0.0,0.0,0.0,23.0,23.0,23.0,692.5,22.263.000
"June, 2020","20,5  2,6 (14,53%)",20.5,15.3,17.9,20.5,20.5,20.5,20.5,20.5,0.0,500.0,10.250
"July, 2020","18,2  -1,55 (-7,28%)",24.4,18.2,21.3,21.3,21.3,18.2,18.2,19.75,0.0,5.0,98.750
"August, 2020","35,1  0,55 (1,59%)",36.95,32.15,34.55,34.55,35.1,34.4,35.1,34.69,0.0,654.61,22.711.000
"September, 2020","35,1  0 (0%)",37.55,32.65,35.1,35.3,35.7,35.0,35.1,35.18,0.0,491.47,17.291.000
"October, 2020","30,9  0,7 (2,32%)",32.3,28.1,30.2,30.2,31.05,30.2,30.9,30.56,0.0,396.6,12.121.000
"November, 2020","31,6  0,1 (0,32%)",33.7,29.3,31.5,32.0,32.0,31.3,31.6,31.630000000000003,0.0,519.33,16.424.000
