Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2018","7,19  0,2 (2,86%)",74.7,65.1,69.9,69.9,74.5,65.6,71.9,71.2,71.0,216.580,1.543.000
"February, 2018","7,1  -0,09 (-1,25%)",76.9,66.9,71.9,73.4,73.4,66.9,71.0,69.2,70.1,176.570,1.222.000
"March, 2018","5,58  -0,42 (-7%)",64.2,55.8,6.0,6.0,6.0,55.8,55.8,55.9,55.1,1.541.850,8.614.000
"April, 2018","5,55  -0,03 (-0,54%)",59.7,51.9,55.8,53.0,57.0,51.9,55.5,52.5,54.8,1.766.690,9.274.000
"May, 2018","14  -0,3 (-2,1%)",15.3,13.3,14.3,14.25,14.3,13.95,14.0,14.16,13.080000000000002,237.300,3.361.000
"June, 2018","14,85  -0,05 (-0,34%)",15.9,13.9,14.9,14.9,14.95,14.8,14.85,14.87,13.87,127.49,1.896.000
"July, 2018","19,4  -1,45 (-6,95%)",22.3,19.4,20.85,20.0,20.9,19.4,19.4,20.71,18.130000000000003,141.130,2.923.000
"August, 2018","27  -1,05 (-3,74%)",30.0,26.1,28.05,28.05,28.05,26.1,27.0,27.71,26.48,16.49,457.000
"September, 2018","15,8  0,8 (5,33%)",16.05,13.95,15.0,15.0,15.8,13.95,15.8,14.01,15.49,782.430,10.961.000
"October, 2018","6,99  0,07 (1,01%)",74.0,64.4,69.2,64.4,69.9,64.4,69.9,65.0,69.0,283.730,1.845.000
"November, 2018","6  -0,28 (-4,46%)",67.1,58.5,62.8,58.5,61.0,58.5,6.0,58.5,59.2,1.596.880,9.342.000
"December, 2018","3,11  -0,23 (-6,89%)",35.7,31.1,33.4,31.1,31.9,31.1,31.1,31.1,30.7,149.72,466.000
"January, 2019","2,84  0,18 (6,77%)",28.4,24.8,26.6,26.7,28.4,26.7,28.4,28.4,28.6,516.710,1.466.000
"February, 2019","2,55  0 (0%)",27.2,23.8,25.5,25.5,26.0,23.8,25.5,24.7,25.7,239.04,590.000
"March, 2019","3,04  0,06 (2,01%)",31.8,27.8,29.8,29.0,30.5,29.0,30.4,29.8,30.6,569.390,1.745.100
"April, 2019","4,07  0 (0%)",43.5,37.9,40.7,38.2,41.0,38.2,40.7,40.3,41.0,135.330,546.000
"May, 2019","3,6  -0,15 (-4%)",40.1,34.9,37.5,34.9,37.5,34.9,36.0,35.1,36.2,97.61,343.000
"June, 2019","2,98  -0,01 (-0,33%)",31.9,27.9,29.9,29.8,29.9,28.5,29.8,29.0,3.0,77.130,224.000
"July, 2019","3,86  0,14 (3,76%)",39.8,34.6,37.2,37.2,39.6,37.2,38.6,39.0,38.8,226.970,885.000
"August, 2019","3,1  -0,03 (-0,96%)",33.4,29.2,31.3,31.3,31.5,3.0,31.0,30.2,31.2,199.480,603.000
"September, 2019","2,29  -0,17 (-6,91%)",26.3,22.9,24.6,24.6,24.9,22.9,22.9,23.0,23.0,2.876.450,6.612.000
"October, 2019","1,93  0,01 (0,52%)",20.5,17.9,19.2,19.2,19.4,18.9,19.3,19.0,19.4,325.86,645.650
"November, 2019","1,81  0 (0%)",19.3,16.9,18.1,18.2,18.2,17.9,18.1,18.0,18.2,115.81,208.0
"December, 2019","1,82  0,01 (0,55%)",19.3,16.9,18.1,18.1,18.7,17.9,18.2,18.1,18.3,360.86,654.000
"January, 2020","1,55  -0,11 (-6,63%)",17.7,15.5,16.6,15.6,16.2,15.5,15.5,15.6,15.9,262.83,411.0
"February, 2020","1,43  -0,03 (-2,05%)",15.6,13.6,14.6,14.6,14.6,14.1,14.3,14.3,14.6,102.29,146.0
"March, 2020","0,87  -0,06 (-6,45%)",99.0,87.0,93.0,87.0,89.0,87.0,87.0,87.0,87.0,272.7,237.0
"April, 2020","0,87  0 (0%)",93.0,81.0,87.0,85.0,88.0,85.0,87.0,86.0,87.0,310.190,268.000
"May, 2020","0,94  0,06 (6,82%)",94.0,82.0,88.0,88.0,94.0,88.0,94.0,92.0,94.0,602.86,555.0
"June, 2020","1,14  -0,03 (-2,56%)",12.5,10.9,11.7,11.9,12.0,11.4,11.4,11.6,0.0,311.49,362.000
"July, 2020","0,9  -0,01 (-1,1%)",97.0,85.0,91.0,9.0,91.0,87.0,9.0,89.0,0.0,141.06,126.0
"August, 2020","1,1  0 (0%)",11.7,10.3,11.0,10.9,11.2,10.7,11.0,10.9,0.0,182.04,198.0
"September, 2020","1,15  0 (0%)",12.3,10.7,11.5,11.5,11.8,11.2,11.5,11.4,0.0,380.83,433.0
"October, 2020","1,02  0,01 (0,99%)",10.8,94.0,10.1,10.1,10.2,1.0,10.2,10.1,0.0,169.25,171.0
"November, 2020","1,02  0 (0%)",10.9,95.0,10.2,10.3,10.4,10.1,10.2,10.3,0.0,186.24,191.0
"December, 2020","1,17  -0,02 (-1,68%)",12.7,11.1,11.9,12.0,12.0,11.7,11.7,11.8,0.0,231.080,273.000
"January, 2021","2,1  -0,03 (-1,41%)",22.7,19.9,21.3,19.9,22.3,19.9,21.0,20.7,0.0,2.689.200,5.556.000
"February, 2021","1,85  -0,02 (-1,07%)",2.0,17.4,18.7,18.7,18.9,18.4,18.5,18.6,0.0,401.3,747.000
"March, 2021","2,48  -0,07 (-2,75%)",27.2,23.8,25.5,25.7,25.7,24.0,24.8,25.2,0.0,1.096.200,2.759.000
"April, 2021","3,75  -0,25 (-6,25%)",42.8,37.2,4.0,38.5,42.8,37.5,37.5,41.3,0.0,1.598.900,6.606.000
