Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","14  0,5 (3,7%)",14.4,12.6,13.5,14.0,14.0,14.0,14.0,14.0,59.8,3.0,42.0
"February, 2014","9,2  0 (0%)",98.0,86.0,92.0,9.0,92.0,9.0,92.0,90.1,36.9,260.0,2.342
"March, 2014","10  -0,4 (-3,85%)",11.1,97.0,10.4,10.4,10.4,99.0,10.0,10.33,39.7,6.12,63.203
"April, 2014",10  0 (0%),10.7,93.0,10.0,10.0,10.0,10.0,10.0,10.0,39.7,6.07,60.7
"May, 2014","9  -0,2 (-2,17%)",98.0,86.0,92.0,96.0,96.0,9.0,9.0,95.4,37.6,100.0,1.0
"June, 2014","9,5  0 (0%)",10.1,89.0,95.0,0.0,0.0,0.0,95.0,0.0,40.6,20.01,202.0
"July, 2014","11  0,2 (1,85%)",11.5,10.1,10.8,11.5,11.5,11.0,11.0,11.47,47.0,18.31,210.0
"August, 2014","11,4  0 (0%)",12.1,10.7,11.4,11.4,11.4,11.4,11.4,11.4,48.7,10.0,49.0
"September, 2014","11,6  0,2 (1,75%)",12.1,10.7,11.4,11.9,12.1,11.6,11.6,12.03,49.6,4.38,53.000
"October, 2014",14  0 (0%),14.9,13.1,14.0,14.9,14.9,14.0,14.0,14.0,59.8,2.01,28.000
"November, 2014","13,5  0,4 (3,05%)",14.0,12.2,13.1,14.0,14.0,13.1,13.5,13.6,57.7,18.12,246.0
"December, 2014",15  0 (0%),16.0,14.0,15.0,0.0,0.0,0.0,15.0,0.0,65.5,62.22,939.0
"January, 2015","15,1  0,9 (6,34%)",15.1,13.3,14.2,15.1,15.1,15.1,15.1,15.1,65.9,100.0,2.0
"February, 2015","17,2  -0,6 (-3,37%)",19.0,16.6,17.8,17.2,17.2,17.2,17.2,17.2,75.1,10.0,17.0
"March, 2015","15  -0,7 (-4,46%)",16.7,14.7,15.7,15.0,15.0,15.0,15.0,15.0,65.5,10.0,19.0
