Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","23,5  -0,1 (-0,42%)",25.2,22.0,23.6,23.5,23.6,23.4,23.5,23.46,10.79,3.55,83.0
"February, 2014","21,7  0,2 (0,93%)",23.0,20.0,21.5,21.0,21.9,21.0,21.7,21.09,99.9,5.83,122.955
"March, 2014",23  0 (0%),24.6,21.4,23.0,23.0,23.0,23.0,23.0,23.0,10.59,2.7,62.1
"April, 2014",20  0 (0%),21.4,18.6,20.0,0.0,0.0,0.0,20.0,0.0,92.1,7.0,141.35
"May, 2014",20  0 (0%),21.4,18.6,20.0,20.0,20.0,20.0,20.0,20.0,87.5,51.41,1.028.000
"June, 2014",21  0 (0%),22.4,19.6,21.0,0.0,0.0,0.0,21.0,0.0,96.4,2.0,42.0
"July, 2014","20,2  0 (0%)",21.6,18.8,20.2,0.0,0.0,0.0,20.2,0.0,92.8,2.0,40.0
"August, 2014","21  0,2 (0,96%)",22.2,19.4,20.8,21.0,21.0,21.0,21.0,21.0,96.4,300.0,6.0
"September, 2014","20,1  -0,4 (-1,95%)",21.9,19.1,20.5,20.6,20.6,20.1,20.1,20.22,92.3,49.0,991.0
"October, 2014","22,4  0 (0%)",23.9,20.9,22.4,0.0,0.0,0.0,22.4,0.0,10.29,10.0,7.0
"November, 2014","23,6  0,6 (2,61%)",24.6,21.4,23.0,23.2,23.6,23.2,23.6,23.34,10.84,1.75,41.0
"December, 2014",22  0 (0%),23.5,20.5,22.0,0.0,0.0,0.0,22.0,0.0,10.54,5.02,110.0
"January, 2015","22,9  0 (0%)",24.5,21.3,22.9,0.0,0.0,0.0,22.9,0.0,10.97,20.0,1.0
"February, 2015","20,6  -1,4 (-6,36%)",23.5,20.5,22.0,20.6,20.6,20.6,20.6,20.6,98.7,10.0,42.000
"March, 2015","22,8  0,8 (3,64%)",23.5,20.5,22.0,21.0,22.8,21.0,22.8,22.1,10.92,4.57,101.0
"April, 2015",22  0 (0%),23.5,20.5,22.0,22.0,22.0,22.0,22.0,22.0,10.54,100,2.000
"May, 2015","21,5  0 (0%)",23.0,20.0,21.5,21.5,21.5,21.5,21.5,21.5,10.3,10.0,594.0
"June, 2015","20,3  0 (0%)",21.7,18.9,20.3,20.3,20.3,20.3,20.3,20.3,10.2,5.2,106.000
"July, 2015","21  0,3 (1,45%)",22.1,19.3,20.7,20.5,21.0,20.5,21.0,20.51,10.55,1.22,25.0
"August, 2015","20,3  -0,1 (-0,49%)",21.8,19.0,20.4,20.3,20.3,20.3,20.3,20.3,10.1,100.0,2.0
"September, 2015","19,7  -1,3 (-6,19%)",22.4,19.6,21.0,19.7,19.7,19.7,19.7,19.7,98.5,5.7,112.000
"October, 2015",23  0 (0%),24.6,21.4,23.0,0.0,0.0,0.0,23.0,0.0,11.5,20.0,18.0
"November, 2015","23,5  0 (0%)",25.1,21.9,23.5,23.5,23.5,23.4,23.5,23.41,11.75,16.0,375.000
"December, 2015",25  0 (0%),26.7,23.3,25.0,25.0,25.0,25.0,25.0,25.0,13.28,8.0,200.0
"January, 2016","24,5  0 (0%)",26.2,22.8,24.5,0.0,0.0,0.0,24.5,0.0,13.01,400.0,10.0
"February, 2016","23,5  0 (0%)",25.1,21.9,23.5,0.0,0.0,0.0,23.5,0.0,12.48,3.5,81.0
"March, 2016",24  0 (0%),25.6,22.4,24.0,0.0,0.0,0.0,24.0,0.0,11.94,20.0,141.0
"April, 2016","25  -0,5 (-1,96%)",27.2,23.8,25.5,25.0,25.0,25.0,25.0,25.0,12.47,60.0,2.0
"May, 2016","25,2  -1,8 (-6,67%)",30.7,26.7,27.0,25.2,28.8,25.2,25.2,25.85,13.07,33.99,879.000
"June, 2016","30,7  2 (6,97%)",30.7,26.7,28.7,26.7,30.7,26.7,30.7,28.7,16.669999999999998,20.0,1.000
"July, 2016",31  0 (0%),33.1,28.9,31.0,0.0,0.0,0.0,31.0,0.0,18.0,90.0,3.0
"August, 2016","32,1  0 (0%)",34.3,29.9,32.1,0.0,0.0,0.0,32.1,0.0,18.59,1.19,42.0
"September, 2016","27,65  0 (0%)",29.55,25.75,27.65,0.0,0.0,0.0,27.65,0.0,16.009999999999998,10.0,3.0
"October, 2016","32,15  2,1 (6,99%)",32.15,27.95,30.05,32.0,32.15,32.0,32.15,32.15,21.27,2.51,81.000
"November, 2016","34,7  -2,55 (-6,85%)",39.85,34.65,37.25,34.7,39.85,34.7,34.7,39.81,24.4,10.08,401.0
"December, 2016","40,45  2,6 (6,87%)",40.45,35.25,37.85,35.25,40.45,35.25,40.45,40.44,28.44,81.13,3.281.000
"January, 2017","34,6  -2,6 (-6,99%)",39.8,34.6,37.2,39.8,39.8,34.6,34.6,39.79,26.0,5.06,201.0
"February, 2017","37,5  2,45 (6,99%)",37.5,32.6,35.05,37.5,37.5,37.5,37.5,37.5,28.18,110.0,4.000
"March, 2017",33  0 (0%),35.3,30.7,33.0,0.0,0.0,0.0,33.0,0.0,24.79,10.0,22.075.000
"April, 2017","38,65  -2,9 (-6,98%)",44.45,38.65,41.55,44.45,44.45,38.65,38.65,44.2,29.04,1.81,80.000
"May, 2017","38,4  0 (0%)",41.05,35.75,38.4,0.0,0.0,0.0,38.4,0.0,28.85,10.0,384.0
"June, 2017","30,9  2 (6,92%)",30.9,26.9,28.9,27.6,30.9,27.6,30.9,50.0,24.380000000000003,20.0,1.0
"July, 2017","30,6  0 (0%)",32.7,28.5,30.6,0.0,0.0,0.0,30.6,0.0,24.15,10.0,306.0
"August, 2017","32,5  2,1 (6,91%)",32.5,28.3,30.4,32.5,32.5,32.5,32.5,32.5,25.65,10.0,325.0
"September, 2017","34,75  0 (0%)",37.15,32.35,34.75,0.0,0.0,0.0,34.75,0.0,27.42,10.0,348
"October, 2017","31,6  0 (0%)",33.8,29.4,31.6,0.0,0.0,0.0,31.6,0.0,24.94,10.0,316
"November, 2017","36,4  -2,6 (-6,67%)",41.7,36.3,39.0,36.3,41.7,36.3,36.4,40.0,29.42,192.05,7.241.600
"December, 2017","36,2  0 (0%)",38.7,33.7,36.2,0.0,0.0,0.0,36.2,0.0,29.26,130.0,5.0
"January, 2018","36,3  0 (0%)",38.8,33.8,36.3,0.0,0.0,0.0,36.3,0.0,29.34,20.0,1.0
"February, 2018","32,5  0 (0%)",34.75,30.25,32.5,32.5,32.5,32.5,32.5,32.5,26.27,10.0,325.0
"March, 2018",30  0 (0%),32.1,27.9,30.0,0.0,0.0,0.0,30.0,0.0,24.25,30.0,1.0
"April, 2018","33,4  -2,5 (-6,96%)",38.4,33.4,35.9,38.4,38.4,33.4,33.4,50.0,27.0,20.0,1.0
"May, 2018","45,1  2,95 (7%)",45.1,39.2,42.15,45.1,45.1,39.2,45.1,44.83,38.14,580.0,26.0
"June, 2018",45  0 (0%),48.15,41.85,45.0,0.0,0.0,0.0,45.0,0.0,38.06,20.0,1.0
"July, 2018","37,45  0 (0%)",40.05,34.85,37.45,0.0,0.0,0.0,37.45,0.0,31.67,10.0,375
"August, 2018","31  -2 (-6,06%)",35.3,30.7,33.0,35.3,35.3,31.0,31.0,31.25,26.22,160.0,5.0
"September, 2018","36  1 (2,86%)",37.45,32.55,35.0,36.0,36.0,36.0,36.0,40.0,30.44,50.0,2.000
"October, 2018","29,9  -2,2 (-6,85%)",34.3,29.9,32.1,31.0,31.0,29.9,29.9,28.57,25.29,70.0,2.000
"November, 2018","30,1  1,6 (5,61%)",30.45,26.55,28.5,30.1,30.1,30.1,30.1,28.57,26.78,70,2.000
"December, 2018","27  -0,5 (-1,82%)",29.4,25.6,27.5,27.0,27.0,27.0,27.0,33.33,24.02,30.0,1.000
"January, 2019",29  0 (0%),31.0,27.0,29.0,0.0,0.0,0.0,29.0,0.0,25.8,10.34,310.000
"February, 2019","29  1 (3,57%)",29.95,26.05,28.0,26.05,29.0,26.05,29.0,26.09,25.8,230.0,6.0
"March, 2019",28  0 (0%),29.95,26.05,28.0,0.0,0.0,0.0,28.0,0.0,24.91,60.0,2.0
"April, 2019",29  0 (0%),31.0,27.0,29.0,0.0,0.0,0.0,29.0,0.0,25.8,60.0,2.0
"May, 2019",29  0 (0%),31.0,27.0,29.0,0.0,0.0,0.0,29.0,0.0,27.110000000000003,100.0,3.000
"June, 2019","28  -2 (-6,67%)",32.1,27.9,30.0,28.0,28.0,28.0,28.0,28.0,26.17,10.0,280.0
"July, 2019",30  0 (0%),32.1,27.9,30.0,0.0,0.0,0.0,30.0,0.0,28.04,100.0,3.0
"August, 2019","26,25  -0,25 (-0,94%)",28.35,24.65,26.5,26.25,26.25,26.25,26.25,50.0,24.54,20.0,1.0
"September, 2019","30,6  2 (6,99%)",30.6,26.6,28.6,30.6,30.6,30.6,30.6,33.33,28.6,30.0,1.0
"October, 2019","27  1 (3,85%)",27.8,24.2,26.0,27.0,27.0,27.0,27.0,27.0,25.24,10.0,270.0
"November, 2019","28,35  1,85 (6,98%)",28.35,24.65,26.5,28.35,28.35,28.35,28.35,28.35,27.69,10.0,284
"December, 2019","29,8  0 (0%)",31.85,27.75,29.8,0.0,0.0,0.0,29.8,0.0,29.1,40.0,1.0
"January, 2020",31  0 (0%),33.15,28.85,31.0,0.0,0.0,0.0,31.0,0.0,30.28,10.0,310.0
"February, 2020","27,5  -1,1 (-3,85%)",30.6,26.6,28.6,27.5,27.5,27.5,27.5,27.5,26.860000000000003,10.0,275.0
"March, 2020","29,5  0 (0%)",31.55,27.45,29.5,30.0,30.0,29.5,29.5,30.0,29.5,1.5,45.000
"April, 2020","28,1  0 (0%)",30.05,26.15,28.1,0.0,0.0,0.0,28.1,0.0,28.1,30.0,1.0
"May, 2020","29,5  -0,5 (-1,67%)",32.1,27.9,30.0,29.0,29.5,29.0,29.5,28.81,29.5,666.77,19.721.000
"June, 2020","29,05  1,9 (7%)",29.05,25.25,27.15,29.0,29.05,25.55,29.05,26.09,0.0,230.0,6.000
"July, 2020",30  0 (0%),32.1,27.9,30.0,0.0,0.0,0.0,30.0,0.0,0.0,80.0,2.0
"August, 2020",30  0 (0%),32.1,27.9,30.0,0.0,0.0,0.0,30.0,0.0,0.0,20.0,1.0
"September, 2020",31  0 (0%),33.15,28.85,31.0,31.0,31.0,31.0,31.0,30.0,0.0,400.0,12.0
"October, 2020","29  1,05 (3,76%)",29.9,26.0,27.95,29.9,29.9,28.0,29.0,27.27,0.0,110.0,3.0
"November, 2020","31  1,95 (6,71%)",31.05,27.05,29.05,31.0,31.0,31.0,31.0,50.0,0.0,20.0,1.0
"December, 2020","29,5  -2,2 (-6,94%)",33.9,29.5,31.7,31.65,31.65,29.5,29.5,40.0,0.0,50.0,2.0
"January, 2021",31  0 (0%),33.15,28.85,31.0,0.0,0.0,0.0,31.0,0.0,0.0,100.0,3.0
"February, 2021","32,85  1,85 (5,97%)",33.15,28.85,31.0,29.0,32.85,29.0,32.85,30.0,0.0,400.0,12.0
"March, 2021","31,85  2,05 (6,88%)",31.85,27.75,29.8,29.8,31.85,29.8,31.85,31.25,0.0,800.0,25.0
"April, 2021","31  2 (6,9%)",31.0,27.0,29.0,31.0,31.0,31.0,31.0,30.0,0.0,100.0,3.0
"May, 2021","31,4  -1,1 (-3,38%)",34.75,30.25,32.5,31.55,31.55,31.4,31.4,31.53,0.0,20.2,637.000
"June, 2021","33,5  0 (0%)",35.8,31.2,33.5,0.0,0.0,0.0,33.5,0.0,0.0,400.0,14.0
"July, 2021","31,2  0 (0%)",33.35,29.05,31.2,0.0,0.0,0.0,31.2,0.0,0.0,100.0,3.0
"August, 2021","33,7  -0,2 (-0,59%)",36.25,31.55,33.9,33.5,33.7,31.55,33.7,31.62,0.0,8.0,253.0
"September, 2021","32,25  -0,05 (-0,15%)",34.55,30.05,32.3,32.45,32.7,32.25,32.25,32.08,0.0,4.8,154.000
"October, 2021","36  1,7 (4,96%)",36.7,31.9,34.3,34.75,36.0,34.6,36.0,35.33,0.0,45.7,1.554.000
"November, 2021","33,9  0,25 (0,74%)",36.0,31.3,33.65,33.8,34.2,33.8,33.9,33.95,0.0,12.9,438.000
"December, 2021","34,6  0,6 (1,76%)",36.35,31.65,34.0,33.5,34.6,33.5,34.6,34.0,0.0,1.0,34.000
