Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"July, 2017","14,4  0 (0%)",0.0,0.0,0.0,12.3,14.4,12.0,14.4,13.5,12.81,2.566.650,34.644.000
"August, 2017","15,4  1 (6,94%)",15.4,13.4,14.4,14.55,15.4,14.45,15.4,15.07,13.7,1.260.740,18.994.000
"September, 2017",,,,,,,,,,,,
"October, 2017",,,,,,,,,,,,
"November, 2017","15,8  0,4 (2,6%)",16.45,14.35,15.4,15.6,16.1,15.5,15.8,15.86,14.05,643.090,10.197.000
"December, 2017","12,05  -0,05 (-0,41%)",12.9,11.3,12.1,12.15,12.15,11.95,12.05,12.04,10.72,276.930,3.333.000
"January, 2018","15,3  1 (6,99%)",15.3,13.3,14.3,14.35,15.3,14.3,15.3,14.89,13.61,2.194.850,32.676.000
"February, 2018","15,3  -0,05 (-0,33%)",16.4,14.3,15.35,15.2,15.35,15.1,15.3,15.22,13.61,202.59,3.084.000
"March, 2018","16,3  -0,2 (-1,21%)",17.65,15.35,16.5,16.5,17.0,15.35,16.3,15.78,14.5,1.279.240,20.192.000
"April, 2018","10,45  -0,1 (-0,95%)",11.25,98.2,10.55,10.4,10.6,10.0,10.45,10.22,93.8,151.39,1.547.000
"May, 2018","11  0,55 (5,26%)",11.15,97.2,10.45,10.35,11.0,10.35,11.0,10.69,99.4,287.930,3.077.000
"June, 2018","15,7  1 (6,8%)",15.7,13.7,14.7,14.85,15.7,14.65,15.7,15.21,14.19,1.389.740,21.139.000
"July, 2018","7,65  -0,32 (-4,02%)",85.2,74.2,79.7,8.0,80.5,74.2,76.5,75.0,72.3,1.816.690,13.621.000
"August, 2018","7,06  -0,01 (-0,14%)",75.6,65.8,70.7,70.1,72.0,70.1,70.6,70.6,66.7,166.830,1.178.000
"September, 2018","7,06  0,01 (0,14%)",75.4,65.6,70.5,70.8,70.8,70.2,70.6,70.5,69.4,341.24,2.406.000
"October, 2018",7  0 (0%),74.9,65.1,7.0,7.0,71.8,69.7,7.0,7.0,68.8,105.75,740.000
"November, 2018","6,89  0 (0%)",73.7,64.1,68.9,68.9,69.0,68.1,68.9,68.5,67.7,87.48,599.000
"December, 2018","6,85  0 (0%)",73.2,63.8,68.5,68.5,69.0,68.5,68.5,68.8,67.3,100.62,692.000
"January, 2019","7,04  0 (0%)",75.3,65.5,70.4,7.0,70.4,7.0,70.4,7.0,69.2,270.73,1.895.000
"February, 2019","7  -0,06 (-0,85%)",75.5,65.7,70.6,71.4,71.4,65.7,7.0,69.6,68.8,210.62,1.466.000
"March, 2019",6  0 (0%),64.2,55.8,6.0,6.0,60.9,59.5,6.0,59.8,59.0,130.660,782.000
"April, 2019","5,85  -0,01 (-0,17%)",62.7,54.5,58.6,58.5,58.6,58.4,58.5,58.5,57.5,193.61,1.133.000
"May, 2019","5,9  0,01 (0,17%)",63.0,54.8,58.9,59.0,59.0,58.0,59.0,58.4,58.0,58.75,343.0
"June, 2019","5,35  -0,03 (-0,56%)",57.5,50.1,53.8,53.8,54.3,51.0,53.5,53.5,52.6,65.43,350.000
"July, 2019","5,4  0,02 (0,37%)",57.5,50.1,53.8,53.8,54.0,52.7,54.0,53.1,53.1,153.09,813.000
"August, 2019","5,99  0 (0%)",64.0,55.8,59.9,59.0,61.2,59.0,59.9,59.5,58.9,139.97,833.000
"September, 2019","4,5  -0,02 (-0,44%)",48.3,42.1,45.2,45.2,45.2,44.5,45.0,45.0,44.2,293.43,1.319.000
"October, 2019","4,8  0,12 (2,56%)",5.0,43.6,46.8,47.2,5.0,46.5,48.0,48.6,47.2,1.568.050,7.620.000
"November, 2019","4,5  -0,05 (-1,1%)",48.6,42.4,45.5,45.5,46.9,45.0,45.0,45.8,44.2,235.11,1.076.000
"December, 2019","4,53  -0,01 (-0,22%)",48.5,42.3,45.4,45.6,45.7,45.3,45.3,45.4,44.5,142.14,646.0
"January, 2020","4,4  0 (0%)",47.0,41.0,44.0,44.0,45.0,43.5,44.0,43.8,42.8,69.36,304.0
"February, 2020","4,35  0,02 (0,46%)",46.3,40.3,43.3,46.2,46.2,42.5,43.5,43.0,42.4,140.11,602.0
"March, 2020","4,37  -0,03 (-0,68%)",47.0,41.0,44.0,43.8,43.9,42.0,43.7,44.4,43.7,4.95,22.0
"April, 2020","4,81  0,31 (6,89%)",48.1,41.9,45.0,47.0,48.1,46.9,48.1,47.9,48.1,105.72,506.000
"May, 2020",6  0 (0%),64.2,55.8,6.0,59.9,61.5,59.9,6.0,6.0,6.0,126.61,760.000
"June, 2020","6,68  0,08 (1,21%)",70.6,61.4,66.0,67.9,67.9,66.0,66.8,66.1,0.0,140.31,927.000
"July, 2020","9,1  -0,05 (-0,55%)",97.9,85.1,91.5,90.5,91.5,89.8,91.0,90.7,0.0,156.31,1.418.000
"August, 2020","15,3  0,25 (1,66%)",16.1,14.0,15.05,15.1,15.55,15.0,15.3,15.35,0.0,401.04,6.157.000
"September, 2020","15,2  -1,1 (-6,75%)",17.4,15.2,16.3,15.2,15.2,15.2,15.2,15.2,0.0,306.690,4.662.000
"October, 2020","8,15  -0,2 (-2,4%)",89.3,77.7,83.5,84.0,85.0,80.5,81.5,83.5,0.0,503.920,4.206.000
"November, 2020","5,81  0,17 (3,01%)",60.3,52.5,56.4,56.9,58.4,56.5,58.1,57.5,0.0,370.720,2.133.000
"December, 2020","5,9  -0,14 (-2,32%)",64.6,56.2,60.4,61.0,61.0,57.5,59.0,59.1,0.0,827.770,4.895.000
"January, 2021","5,57  -0,04 (-0,71%)",6.0,52.2,56.1,52.2,56.3,52.2,55.7,53.6,0.0,715.6,3.834.000
"February, 2021","5,75  -0,07 (-1,2%)",62.2,54.2,58.2,56.8,58.2,56.8,57.5,57.4,0.0,183.9,1.055.000
"March, 2021","6,44  -0,06 (-0,92%)",69.5,60.5,65.0,65.0,65.0,63.9,64.4,64.2,0.0,838.000,5.380.000
