Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014",53  0 (0%),56.5,49.3,53.0,53.0,53.0,53.0,53.0,53.0,11.76,20.0,1.000
"February, 2014","49,8  0,9 (1,84%)",52.0,45.5,48.9,49.8,49.8,49.8,49.8,49.8,87.3,20.0,996.0
"March, 2014","45,2  2,7 (6,35%)",45.4,39.6,42.5,42.5,45.4,40.7,45.2,43.44,82.3,29.05,1.261.900
"April, 2014","44,9  1,4 (3,22%)",46.5,40.5,43.5,44.9,44.9,43.0,44.9,43.47,81.8,1.05,45.644
"May, 2014","40,9  0,5 (1,24%)",43.2,37.6,40.4,39.7,40.9,39.7,40.9,40.25,74.4,860.0,35.0
"June, 2014",41  0 (0%),43.8,38.2,41.0,41.0,41.0,41.0,41.0,41.0,75.5,20.0,1.0
"July, 2014","43  1 (2,38%)",44.9,39.1,42.0,43.0,44.0,43.0,43.0,43.010000000000005,79.2,1.44,62.0
"August, 2014","46,4  0,4 (0,87%)",49.2,42.8,46.0,46.4,46.4,46.4,46.4,46.4,85.5,430.0,20.0
"September, 2014",55  0 (0%),58.5,51.5,55.0,52.0,55.0,52.0,55.0,53.02,10.4,5.12,271.000
"October, 2014","56,5  0 (0%)",60.0,53.0,56.5,0.0,0.0,0.0,56.5,0.0,12.44,2.86,161.000
"November, 2014","53  -1 (-1,85%)",57.5,50.5,54.0,53.0,53.0,53.0,53.0,53.0,11.74,8.0,424.000
"December, 2014","53  1 (1,92%)",55.5,48.4,52.0,53.0,53.0,53.0,53.0,53.0,11.92,600.0,32.0
"January, 2015","53,5  -0,5 (-0,93%)",57.5,50.5,54.0,53.5,53.5,53.5,53.5,53.5,12.34,40.0,2.000
"February, 2015","54,5  0 (0%)",58.0,51.0,54.5,0.0,0.0,0.0,54.5,0.0,12.71,20.0,1.0
"March, 2015","56,5  1,5 (2,73%)",58.5,51.5,55.0,56.5,57.0,56.0,56.5,56.5,13.18,180.0,10.000
"April, 2015","60  -3 (-4,76%)",67.0,59.0,63.0,60.0,60.0,60.0,60.0,60.0,13.99,680.0,41.000
"May, 2015",66  0 (0%),70.5,61.5,66.0,70.0,70.5,66.0,66.0,69.81,15.39,800.0,56.0
