Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","8,8  0,2 (2,33%)",92.0,8.0,86.0,86.0,88.0,86.0,88.0,87.3,46.9,232.750,2.031.000
"February, 2014","8,9  0,2 (2,3%)",93.0,81.0,87.0,87.0,9.0,86.0,89.0,88.1,52.2,1.817.340,16.007.454
"March, 2014","10,3  0 (0%)",11.0,96.0,10.3,10.3,10.3,10.1,10.3,10.22,59.8,940.040,9.606.322
"April, 2014","9,4  0,2 (2,17%)",98.0,86.0,92.0,92.0,94.0,91.0,94.0,92.5,53.4,376.600,3.482.782
"May, 2014","8,3  0 (0%)",88.0,78.0,83.0,83.0,84.0,81.0,83.0,82.0,44.2,960.100,7.877.000
"June, 2014","8,9  0,1 (1,14%)",94.0,82.0,88.0,88.0,89.0,87.0,89.0,88.0,47.4,649.750,5.720.000
"July, 2014","8,9  0 (0%)",95.0,83.0,89.0,88.0,9.0,87.0,89.0,88.4,47.4,400.830,3.545.000
"August, 2014","9,5  0,1 (1,06%)",10.0,88.0,94.0,94.0,95.0,93.0,95.0,94.4,50.6,1.780.540,16.800.000
"September, 2014","8,7  0 (0%)",93.0,81.0,87.0,87.0,87.0,86.0,87.0,86.2,46.3,292.970,2.526.000
"October, 2014","9  0,1 (1,12%)",95.0,83.0,89.0,89.0,9.0,88.0,9.0,89.5,47.9,607.000,5.435.000
"November, 2014","8,6  0 (0%)",92.0,8.0,86.0,86.0,87.0,85.0,86.0,86.0,45.8,470.720,4.048.000
"December, 2014","8,9  0,2 (2,3%)",93.0,81.0,87.0,87.0,9.0,87.0,89.0,88.5,47.4,686.200,6.072.000
"January, 2015","7,4  -0,1 (-1,33%)",8.0,7.0,75.0,75.0,76.0,74.0,74.0,74.6,44.4,441.81,3.296.000
"February, 2015","7,3  0 (0%)",78.0,68.0,73.0,73.0,73.0,72.0,73.0,72.1,43.8,266.63,1.922.000
"March, 2015","6,7  0,1 (1,52%)",7.0,62.0,66.0,66.0,67.0,66.0,67.0,66.2,40.2,96.96,642.000
"April, 2015","6,3  -0,1 (-1,56%)",68.0,6.0,64.0,64.0,65.0,63.0,63.0,63.8,37.8,176.66,1.127.000
"May, 2015","5,9  -0,1 (-1,67%)",64.0,56.0,6.0,59.0,61.0,59.0,59.0,59.4,35.4,211.18,1.254.000
"June, 2015","6,2  0 (0%)",66.0,58.0,62.0,61.0,62.0,61.0,62.0,61.2,37.2,247.38,1.513.000
"July, 2015","5,6  -0,1 (-1,75%)",6.0,54.0,57.0,57.0,58.0,56.0,56.0,56.6,33.6,117.48,665.000
"August, 2015","4,8  -0,1 (-2,04%)",52.0,46.0,49.0,49.0,49.0,48.0,48.0,48.3,29.4,163.61,789.000
"September, 2015","4,7  -0,1 (-2,08%)",51.0,45.0,48.0,47.0,47.0,46.0,47.0,46.8,29.4,48.38,226.000
"October, 2015","5,3  0 (0%)",56.0,5.0,53.0,54.0,54.0,51.0,53.0,52.6,32.5,213.990,1.125.000
"November, 2015","4,4  -0,3 (-6,38%)",5.0,44.0,47.0,46.0,46.0,44.0,44.0,44.7,28.4,101.41,454.000
"December, 2015","4,1  0,1 (2,5%)",42.0,38.0,4.0,41.0,41.0,39.0,41.0,40.2,25.8,35.93,144.0
"January, 2016","3,5  0 (0%)",37.0,33.0,35.0,35.0,35.0,34.0,35.0,34.2,21.5,38.15,131.0
"February, 2016","3,3  -0,1 (-2,94%)",36.0,32.0,34.0,33.0,34.0,33.0,33.0,33.4,20.3,308.430,1.029.000
"March, 2016",7  0 (0%),74.0,66.0,7.0,73.0,74.0,66.0,7.0,71.0,41.8,1.496.580,10.621.000
"April, 2016","9,9  0,6 (6,45%)",99.0,87.0,93.0,94.0,99.0,94.0,99.0,97.9,60.7,2.875.910,28.145.000
"May, 2016","7,9  -0,1 (-1,25%)",83.0,73.0,8.0,79.0,81.0,78.0,79.0,79.3,50.8,918.040,7.284.000
"June, 2016","9  -0,2 (-2,17%)",98.0,86.0,92.0,9.0,95.0,9.0,9.0,92.7,57.5,866.610,8.037.000
