Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","54  1 (1,89%)",56.5,49.3,53.0,49.3,56.5,49.3,54.0,54.02,31.93,140.0,8.0
"February, 2014","35  0,5 (1,45%)",36.9,32.1,34.5,34.0,35.0,34.0,35.0,34.75,19.8,2.05,71.24
"March, 2014","32  -1,6 (-4,76%)",35.9,31.3,33.6,32.0,32.0,32.0,32.0,32.0,18.1,64.01,2.048.320
"April, 2014","34,4  -2,5 (-6,78%)",39.4,34.4,36.9,34.4,34.4,34.4,34.4,34.4,19.46,2.15,73.96
"May, 2014",39  0 (0%),41.7,36.3,39.0,0.0,0.0,0.0,39.0,0.0,22.06,10.0,390.0
"June, 2014","32  -0,9 (-2,74%)",35.2,30.6,32.9,33.8,33.8,32.0,32.0,32.6,18.45,900.0,29.000
"July, 2014","34  1,4 (4,29%)",34.8,30.4,32.6,32.6,34.0,32.6,34.0,32.63,19.6,80.71,2.454.000
"August, 2014","36  1 (2,86%)",37.4,32.6,35.0,34.0,36.0,34.0,36.0,35.97,20.75,3.84,138.0
"September, 2014","37,1  -0,9 (-2,37%)",40.6,35.4,38.0,37.1,37.1,37.1,37.1,37.1,21.39,100.0,4.0
"October, 2014","48  3,1 (6,9%)",48.0,41.8,44.9,46.0,48.0,46.0,48.0,47.87,27.76,150.0,7.0
"November, 2014",53  0 (0%),56.5,49.3,53.0,53.0,53.0,53.0,53.0,53.0,31.28,200.0,11.0
"December, 2014",50  0 (0%),53.5,46.5,50.0,0.0,0.0,0.0,50.0,0.0,30.2,8.85,447.0
"January, 2015","54  1 (1,89%)",56.5,49.3,53.0,53.5,54.0,53.5,54.0,53.81,32.9,160.0,9.0
"February, 2015","52,5  3 (6,06%)",52.5,46.1,49.5,52.5,52.5,52.0,52.5,52.02,32.489999999999995,440.0,23.0
"March, 2015","51  3,2 (6,69%)",51.0,44.5,47.8,47.5,51.0,47.5,51.0,51.0,32.4,11.73,598.000
"April, 2015","55  3 (5,77%)",55.5,48.4,52.0,52.0,55.0,50.5,55.0,52.92999999999999,35.660000000000004,20.4,1.080.000
"May, 2015",63  3 (5%),64.0,56.0,60.0,56.5,63.0,56.5,63.0,58.89,41.04,6.87,405.0
"June, 2015",60  0 (0%),64.0,56.0,60.0,60.0,60.0,60.0,60.0,60.0,39.09,2.24,134.000
"July, 2015",61  0 (0%),65.0,57.0,61.0,0.0,0.0,0.0,61.0,0.0,39.74,1.05,63.0
"August, 2015","61,5  0 (0%)",65.5,57.5,61.5,61.5,62.0,60.0,61.5,61.14,42.83,840.0,51.0
"September, 2015",62  0 (0%),66.0,58.0,62.0,62.0,62.0,61.5,62.0,61.56,43.18,2.26,139.000
"October, 2015","88,5  3,5 (4,12%)",90.5,79.5,85.0,87.0,90.0,87.0,88.5,87.71000000000001,61.120000000000005,170.0,15.000
"November, 2015",101  1 (1%),10.7,93.0,100.0,10.1,10.7,100.0,10.1,101.65,69.94,940.0,96.000
"December, 2015","99,5  -0,5 (-0,5%)",10.2,89.5,100.0,99.5,99.5,98.0,99.5,99.2,66.46000000000001,460.0,46.0
"January, 2016","88,5  0,5 (0,57%)",94.0,82.0,88.0,88.5,88.5,88.5,88.5,88.5,59.09,250.0,22.0
