Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","17,8  0,9 (5,33%)",18.0,15.8,16.9,17.2,17.8,16.9,17.8,17.54,80.8,72.3,1.268.000
"February, 2014","6,6  -0,1 (-1,49%)",71.0,63.0,67.0,66.0,68.0,66.0,66.0,67.5,29.1,150.0,1.012
"March, 2014","7,2  0,1 (1,41%)",75.0,67.0,71.0,72.0,73.0,7.0,72.0,71.0,31.7,15.66,111.186
"April, 2014","8,3  -0,3 (-3,49%)",92.0,8.0,86.0,8.0,84.0,8.0,83.0,80.3,38.8,10.98,88.177
"May, 2014","7,3  0 (0%)",78.0,68.0,73.0,7.0,73.0,7.0,73.0,71.2,32.0,1.29,9.0
"June, 2014","7,4  0,1 (1,37%)",78.0,68.0,73.0,74.0,74.0,74.0,74.0,74.0,32.5,2.1,16.0
"July, 2014","8,5  0 (0%)",9.0,8.0,85.0,85.0,85.0,82.0,85.0,85.0,37.3,6.37,54.0
"August, 2014","12,9  0,8 (6,61%)",12.9,11.3,12.1,12.5,12.9,12.5,12.9,12.830000000000002,56.6,119.6,1.535.000
"September, 2014","13,5  -0,3 (-2,17%)",14.7,12.9,13.8,13.3,13.7,13.3,13.5,13.69,61.3,2.160,30.000
"October, 2014","13,6  0 (0%)",14.5,12.7,13.6,13.6,13.8,13.5,13.6,13.65,61.7,33.25,454.000
"November, 2014","16,9  -0,2 (-1,17%)",18.2,16.0,17.1,16.7,17.1,16.2,16.9,16.65,76.7,211.25,3.518.000
"December, 2014","17  0,5 (3,03%)",17.6,15.4,16.5,16.7,17.0,15.7,17.0,16.669999999999998,83.3,57.2,953.0
"January, 2015","17,1  -0,7 (-3,93%)",19.0,16.6,17.8,17.3,18.5,17.1,17.1,17.36,83.8,109.79,1.906.000
"February, 2015","24,5  0,6 (2,51%)",25.5,22.3,23.9,23.9,24.5,23.8,24.5,23.99,12.01,38.66,927.000
"March, 2015","26,7  1,6 (6,37%)",26.8,23.4,25.1,25.3,26.8,25.2,26.7,26.25,13.09,46.12,1.211.000
"April, 2015","30,7  2 (6,97%)",30.7,26.7,28.7,30.7,30.7,30.7,30.7,30.7,15.05,48.14,1.478.000
"May, 2015","41,1  -1,1 (-2,61%)",45.1,39.3,42.2,42.2,42.5,41.0,41.1,41.5,20.15,60.75,2.521.000
"June, 2015","42,3  -0,5 (-1,17%)",45.7,39.9,42.8,42.8,42.8,41.8,42.3,42.29,20.74,46.0,1.945.000
"July, 2015","42,2  -0,3 (-0,71%)",45.4,39.6,42.5,42.5,43.0,42.1,42.2,42.49,22.79,46.09,1.958.000
"August, 2015","37,9  -0,5 (-1,3%)",41.0,35.8,38.4,38.4,38.4,37.4,37.9,37.96,22.5,34.72,1.318.000
"September, 2015","44  1,7 (4,02%)",45.2,39.4,42.3,42.7,44.3,42.7,44.0,43.98,26.39,160.97,7.080.000
"October, 2015","61,5  -3 (-4,65%)",69.0,60.0,64.5,64.5,64.5,61.5,61.5,62.7,38.27,62.55,3.922.000
"November, 2015","49,5  -1 (-1,98%)",54.0,47.0,50.5,50.0,50.0,49.5,49.5,49.78,31.360000000000003,32.96,1.641.000
"December, 2015","51  1,7 (3,45%)",52.5,46.1,49.3,50.0,51.0,49.9,51.0,50.55,36.33,48.17,2.435.000
