Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","27,2  -0,5 (-1,81%)",29.6,25.8,27.7,27.2,27.5,27.2,27.2,27.21,54.1,1.03,28.0
"February, 2014","26,5  -0,2 (-0,75%)",28.5,24.9,26.7,26.1,26.8,26.0,26.5,26.05,50.3,5.66,147.433
"March, 2014",27  0 (0%),28.8,25.2,27.0,0.0,0.0,0.0,27.0,0.0,51.8,950.0,26.075
"April, 2014",28  0 (0%),29.9,26.1,28.0,0.0,0.0,0.0,28.0,0.0,53.7,20.0,560.0
"May, 2014","27,7  0 (0%)",29.6,25.8,27.7,0.0,0.0,0.0,27.7,0.0,53.1,500.0,13.85
"June, 2014","26,3  0 (0%)",28.1,24.5,26.3,26.3,26.3,26.3,26.3,26.3,50.4,1.0,26.0
"July, 2014","27,8  0 (0%)",29.7,25.9,27.8,0.0,0.0,0.0,27.8,0.0,53.3,100.0,3.0
"August, 2014","27,3  0,2 (0,74%)",28.9,25.3,27.1,27.3,27.3,27.0,27.3,27.3,52.4,5.38,147.0
"September, 2014","28,5  0 (0%)",30.4,26.6,28.5,0.0,0.0,0.0,28.5,0.0,56.7,10.0,6.0
"October, 2014","27  0,5 (1,89%)",28.3,24.7,26.5,27.0,27.0,27.0,27.0,27.0,53.7,2.97,80.0
"November, 2014","27,7  -0,3 (-1,07%)",29.9,26.1,28.0,27.2,27.7,27.2,27.7,27.21,55.1,2.05,56.0
"December, 2014","26  -1,3 (-4,76%)",29.2,25.4,27.3,26.0,26.0,26.0,26.0,26.0,51.7,30.0,780.0
"January, 2015",31  0 (0%),33.1,28.9,31.0,0.0,0.0,0.0,31.0,0.0,61.7,110.0,3.0
"February, 2015","27  -2 (-6,9%)",31.0,27.0,29.0,27.0,27.0,27.0,27.0,27.0,55.4,10.19,275.0
"March, 2015","27  0,2 (0,75%)",28.6,25.0,26.8,27.0,27.0,27.0,27.0,27.0,55.4,710.0,19.0
"April, 2015",30  0 (0%),32.1,27.9,30.0,0.0,0.0,0.0,30.0,0.0,61.6,30.0,1.0
"May, 2015","32,3  1,3 (4,19%)",33.1,28.9,31.0,31.2,32.3,31.2,32.3,31.34,66.3,540.0,17.0
"June, 2015","31,2  -1,8 (-5,45%)",35.3,30.7,33.0,31.0,32.5,31.0,31.2,31.380000000000003,64.1,260.0,8.0
"July, 2015","32,5  -1 (-2,99%)",35.8,31.2,33.5,32.5,32.5,32.5,32.5,32.5,66.7,200.0,7.0
"August, 2015","39  2 (5,41%)",39.5,34.5,37.0,37.0,39.0,37.0,39.0,37.67,72.4,30.0,1.0
"September, 2015","35,4  -2,3 (-6,1%)",40.3,35.1,37.7,35.4,35.4,35.4,35.4,35.4,68.8,250.0,9.0
"October, 2015","37,3  -1,7 (-4,36%)",41.7,36.3,39.0,39.4,40.9,36.6,37.3,39.18,71.7,950.0,37.0
"November, 2015","35  -0,6 (-1,69%)",38.0,33.2,35.6,37.0,37.0,35.0,35.0,35.05,67.3,410,14.000
"December, 2015","37,5  0,2 (0,54%)",40.7,35.5,37.3,38.0,39.3,37.5,37.5,37.88,75.7,60.0,2.0
"January, 2016","34,5  0 (0%)",36.9,32.1,34.5,34.5,34.5,34.5,34.5,34.5,76.0,420.0,14.0
"February, 2016",37  0 (0%),39.5,34.5,37.0,0.0,0.0,0.0,37.0,0.0,83.7,120.0,4.0
"March, 2016","53  -3 (-5,36%)",59.5,52.5,56.0,56.5,56.5,53.0,53.0,55.04,12.17,30.2,1.662.000
