Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2021","26,25  0,95 (3,75%)",27.05,23.55,25.3,26.5,27.0,25.7,26.25,26.6,0.0,316.0,8.473.500
"February, 2021","29,65  -0,35 (-1,17%)",32.1,27.9,30.0,29.5,30.0,29.0,29.65,29.62,0.0,1.005.300,31.693.000
"March, 2021","27,8  0,3 (1,09%)",29.4,25.6,27.5,27.5,28.2,27.5,27.8,27.82,0.0,147.6,4.106.000
"April, 2021","26,75  0,25 (0,94%)",28.35,24.65,26.5,26.8,26.85,26.5,26.75,26.73,0.0,496.7,13.085.000
"May, 2021","29,3  0,1 (0,34%)",31.2,27.2,29.2,30.4,30.4,29.3,29.3,30.04,0.0,492.9,14.805.000
"June, 2021","29,55  0,3 (1,03%)",31.25,27.25,29.25,29.3,30.0,29.05,29.55,29.56,0.0,579.7,17.137.000
"July, 2021","29,1  0,65 (2,28%)",30.4,26.5,28.45,28.8,29.15,28.5,29.1,28.98,0.0,745.600,21.604.000
"August, 2021","41,2  0 (0%)",44.05,38.35,41.2,42.0,42.0,40.35,41.2,41.1,0.0,835.700,34.346.000
"September, 2021","42,2  2,05 (5,11%)",42.95,37.35,40.15,40.15,42.2,40.15,42.2,41.38,0.0,931.900,38.606.500
"October, 2021","49,9  1,4 (2,89%)",51.8,45.15,48.5,48.3,49.95,48.2,49.9,48.87,0.0,1.848.000,90.318.000
"November, 2021","67,3  1,9 (2,91%)",69.9,60.9,65.4,69.0,69.0,65.7,67.3,67.09,0.0,1.059.500,71.086.000
"December, 2021","54,5  -1,3 (-2,33%)",59.7,51.9,55.8,55.0,56.3,54.5,54.5,55.2,0.0,347.500,19.183.000
