Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","6,6  0 (0%)",70.6,61.4,66.0,66.0,66.3,64.9,66.0,65.3,53.7,236.73,1.545.000
"February, 2017","6,39  -0,09 (-1,39%)",69.3,60.3,64.8,64.8,64.8,63.0,63.9,63.8,52.0,165.32,1.054.000
"March, 2017","6,2  -0,19 (-2,97%)",68.3,59.5,63.9,63.5,64.0,61.5,62.0,63.0,50.5,462.56,2.915.000
"April, 2017","6,59  -0,01 (-0,15%)",70.6,61.4,66.0,66.0,66.5,64.8,65.9,65.4,53.6,232.82,1.522.000
"May, 2017","12,85  -0,6 (-4,46%)",14.35,12.55,13.45,13.5,13.85,12.85,12.85,13.45,10.05,1.562.860,21.020.000
"June, 2017","11,25  0,7 (6,64%)",11.25,98.2,10.55,10.65,11.25,10.3,11.25,10.93,89.4,3.403.220,37.194.000
"July, 2017","9,99  -0,56 (-5,31%)",11.25,98.2,10.55,10.3,10.6,98.2,99.9,98.5,81.2,1.838.920,18.118.000
"August, 2017","6,94  -0,05 (-0,72%)",74.7,65.1,69.9,7.0,71.2,69.1,69.4,70.3,56.5,378.370,2.659.000
"September, 2017","7,05  -0,05 (-0,7%)",75.9,66.1,71.0,71.0,71.0,69.9,70.5,70.6,57.4,943.86,6.668.000
"October, 2017","6,5  -0,07 (-1,07%)",70.2,61.2,65.7,65.5,66.0,63.0,65.0,64.4,52.9,165.350,1.065.000
"November, 2017","6,6  0 (0%)",70.6,61.4,66.0,66.0,66.5,64.8,66.0,65.5,53.7,175.64,1.150.000
"December, 2017","6,47  0 (0%)",69.2,60.2,64.7,64.7,65.5,63.0,64.7,64.1,52.7,369.080,2.365.000
"January, 2018","6,28  -0,07 (-1,1%)",67.9,59.1,63.5,63.2,63.5,62.7,62.8,62.9,53.5,164.430,1.035.000
"February, 2018","6,1  0 (0%)",65.2,56.8,61.0,61.0,61.4,6.0,61.0,60.5,51.9,204.92,1.240.000
"March, 2018",6  0 (0%),64.2,55.8,6.0,6.0,60.7,59.0,6.0,6.0,51.1,108.400,650.000
"April, 2018","5,97  -0,01 (-0,17%)",63.9,55.7,59.8,59.5,59.8,55.7,59.7,58.9,50.8,106.83,629.000
"May, 2018","6,47  0,07 (1,09%)",68.4,59.6,64.0,64.0,65.8,64.0,64.7,64.7,55.1,766.7,4.959.000
"June, 2018","7,8  0,34 (4,56%)",79.8,69.4,74.6,74.6,78.3,74.6,78.0,76.6,66.4,1.556.760,11.929.000
"July, 2018","10,25  -0,15 (-1,44%)",11.1,96.8,10.4,10.3,10.5,10.15,10.25,10.33,87.9,538.730,5.565.000
"August, 2018","9,35  -0,05 (-0,53%)",10.05,87.5,94.0,93.5,94.0,92.0,93.5,92.5,80.9,196.900,1.821.000
"September, 2018","10,5  0,15 (1,45%)",11.05,96.3,10.35,10.25,10.7,10.25,10.5,10.51,91.7,627.1,6.591.000
"October, 2018","8,97  0,02 (0,22%)",95.7,83.3,89.5,89.0,9.0,89.0,89.7,89.6,78.5,623.830,5.585.500
"November, 2018","9,28  -0,14 (-1,49%)",10.05,87.7,94.2,94.2,94.5,92.8,92.8,94.0,81.8,251.18,2.362.000
"December, 2018","9,14  -0,04 (-0,44%)",98.2,85.4,91.8,91.7,91.8,90.9,91.4,91.5,80.8,78.13,715.000
"January, 2019","9,22  -0,15 (-1,6%)",10.0,87.2,93.7,93.7,93.7,92.0,92.2,92.5,82.1,468.5,4.332.000
"February, 2019","9,35  -0,13 (-1,37%)",10.1,88.2,94.8,94.3,95.0,93.0,93.5,94.5,83.6,309.770,2.926.000
"March, 2019","9,3  -0,1 (-1,06%)",10.05,87.5,94.0,93.5,93.8,93.0,93.0,93.5,83.6,380.900,3.563.000
"April, 2019","10,2  -0,4 (-3,77%)",11.3,98.6,10.6,10.25,10.6,10.1,10.2,10.33,92.0,309.800,3.199.000
"May, 2019","11  -0,2 (-1,79%)",11.95,10.45,11.2,11.1,11.2,10.9,11.0,10.99,10.13,364.670,4.007.000
"June, 2019","10,3  0 (0%)",11.0,95.8,10.3,10.25,10.35,95.8,10.3,99.3,95.3,1.202.910,12.080.000
"July, 2019","11,2  0,35 (3,23%)",11.6,10.1,10.85,10.85,11.3,10.85,11.2,11.08,10.51,335.05,3.711.000
