Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","3,1  -0,1 (-3,13%)",34.0,3.0,32.0,32.0,32.0,31.0,31.0,31.1,32.3,24.28,75.0
"February, 2014","2,8  0,1 (3,7%)",28.0,26.0,27.0,27.0,28.0,27.0,28.0,27.9,30.3,402.47,1.124.164
"March, 2014","4  -0,3 (-6,98%)",46.0,4.0,43.0,41.0,41.0,4.0,4.0,40.1,43.2,526.180,2.107.548
"April, 2014","2,8  0 (0%)",29.0,27.0,28.0,0.0,0.0,0.0,28.0,0.0,30.3,404.480,1.131.457
"May, 2014","2,7  0 (0%)",28.0,26.0,27.0,28.0,28.0,26.0,27.0,27.2,28.1,104.52,284.000
"June, 2014","3,1  0 (0%)",33.0,29.0,31.0,31.0,33.0,31.0,31.0,31.0,32.3,116.07,360.000
"July, 2014","3,2  0,1 (3,23%)",33.0,29.0,31.0,32.0,33.0,32.0,32.0,32.1,33.3,574.65,1.846.000
"August, 2014","4,1  0,2 (5,13%)",41.0,37.0,39.0,4.0,41.0,38.0,41.0,39.7,42.7,330.120,1.312.000
"September, 2014","3,5  0 (0%)",37.0,33.0,35.0,35.0,36.0,34.0,35.0,35.0,36.5,122.72,430.000
"October, 2014","3,3  0,1 (3,12%)",34.0,3.0,32.0,33.0,33.0,31.0,33.0,31.9,34.4,46.18,147.0
"November, 2014","3,2  0 (0%)",34.0,3.0,32.0,31.0,32.0,31.0,32.0,31.0,33.3,44.61,138.0
"December, 2014","4,3  0,1 (2,38%)",44.0,4.0,42.0,42.0,43.0,42.0,43.0,42.8,44.8,123.86,530.000
"January, 2015","5  -0,3 (-5,66%)",56.0,5.0,53.0,5.0,5.0,5.0,5.0,5.0,52.1,4.17,21.000
"February, 2015","4,2  -0,3 (-6,67%)",48.0,42.0,45.0,44.0,45.0,42.0,42.0,42.2,43.8,14.33,60.0
"March, 2015","5,3  0,1 (1,92%)",55.0,49.0,52.0,52.0,55.0,52.0,53.0,54.8,55.2,147.27,793.0
"April, 2015","5,7  0,3 (5,56%)",57.0,51.0,54.0,57.0,57.0,52.0,57.0,56.0,59.4,75.68,424.0
"May, 2015","7,1  0,4 (5,97%)",71.0,63.0,67.0,64.0,71.0,64.0,71.0,70.4,74.0,154.57,1.088.000
"June, 2015","11,6  -0,2 (-1,69%)",12.6,11.0,11.8,11.1,12.0,11.1,11.6,11.66,12.09,260.13,3.032.000
"July, 2015","13,6  -0,1 (-0,73%)",14.6,12.8,13.7,13.7,13.7,12.9,13.6,13.3,14.169999999999998,148.44,1.974.000
"August, 2015","11,9  0 (0%)",12.7,11.1,11.9,12.1,12.1,11.3,11.9,11.79,12.12,12.51,147.000
"September, 2015","13,9  0 (0%)",14.8,13.0,13.9,13.7,13.9,13.7,13.9,13.77,13.96,48.69,671.000
"October, 2015","13,6  -0,1 (-0,73%)",14.6,12.8,13.7,13.6,13.7,13.6,13.6,13.6,13.76,22.43,305.000
"November, 2015","22,9  -0,8 (-3,38%)",25.3,22.1,23.7,22.5,24.5,22.4,22.9,22.67,23.17,136.670,3.119.000
"December, 2015","25  1,5 (6,38%)",23.5,20.5,23.5,25.1,25.1,24.6,25.0,24.95,32.8,132.76,3.313.000
"January, 2016","24  1,4 (6,19%)",24.1,21.1,22.6,23.6,24.1,23.6,24.0,23.9,30.02,617.69,14.559.000
"February, 2016","29,3  0 (0%)",31.3,27.3,29.3,29.3,29.3,27.8,29.3,27.9,36.65,213.47,5.955.000
"March, 2016","23,7  0,1 (0,42%)",25.2,22.0,23.6,23.6,24.1,23.1,23.7,23.57,30.610000000000003,753.85,17.632.560
"April, 2016","24  0,1 (0,42%)",25.5,22.3,23.9,23.9,24.0,23.3,24.0,23.7,32.08,161.0,3.816.000
"May, 2016","26  0,1 (0,39%)",27.0,23.6,25.9,26.0,26.0,25.7,26.0,25.79,37.510000000000005,497.71,12.792.500
"June, 2016","28  0,1 (0,36%)",29.8,26.0,27.9,27.7,28.2,27.7,28.0,27.860000000000003,40.85,959.31,26.128.240
"July, 2016","30,1  0 (0%)",32.2,28.0,30.1,30.1,30.2,29.8,30.1,29.98,44.08,811.300,24.319.000
"August, 2016","11,3  -0,8 (-6,61%)",12.9,11.3,12.1,11.3,11.3,11.3,11.3,11.3,15.47,330,4.000
"September, 2016","3,93  -0,29 (-6,87%)",45.1,39.3,42.2,42.1,42.2,39.3,39.3,40.1,46.6,167.320,671.000
"October, 2016","2,23  0,14 (6,7%)",22.3,19.5,20.9,22.1,22.3,21.6,22.3,22.2,21.7,560.21,1.244.000
"November, 2016","2,38  0,15 (6,73%)",23.8,20.8,22.3,22.4,23.8,22.4,23.8,23.4,23.0,153.010,358.000
"December, 2016","2,25  -0,07 (-3,02%)",24.8,21.6,23.2,23.6,23.6,22.5,22.5,22.8,21.7,153.31,349.0
"January, 2017","2,06  0 (0%)",22.0,19.2,20.6,20.8,20.9,20.4,20.6,20.5,19.3,82.23,169.000
"February, 2017","2,5  -0,08 (-3,1%)",27.6,24.0,25.8,25.7,25.8,24.7,25.0,25.1,23.5,320.67,806.000
"March, 2017","2,47  -0,11 (-4,26%)",27.6,24.0,25.8,25.7,25.8,24.6,24.7,25.2,23.2,232.98,586.000
"April, 2017","2,52  -0,06 (-2,33%)",27.6,24.0,25.8,25.9,26.0,25.1,25.2,25.5,23.6,95.37,243.000
"May, 2017","3,86  0,21 (5,75%)",39.0,34.0,36.5,34.5,38.8,34.5,38.6,35.7,36.2,983.360,3.515.000
"June, 2017","4  -0,02 (-0,5%)",43.0,37.4,40.2,40.9,40.9,39.3,4.0,39.6,37.5,444.060,1.765.600
"July, 2017","5,4  0 (0%)",57.7,50.3,54.0,53.1,57.6,53.1,54.0,55.6,50.7,575.480,3.198.000
"August, 2017","4,1  -0,06 (-1,44%)",44.5,38.7,41.6,41.6,42.2,40.9,41.0,41.2,38.5,501.22,2.067.000
"September, 2017","4,3  -0,02 (-0,46%)",46.2,40.2,43.2,43.2,43.8,42.5,43.0,42.9,40.3,168.98,725.000
"October, 2017","2,89  -0,21 (-6,77%)",33.1,28.9,31.0,29.6,30.2,28.9,28.9,29.2,27.1,244.14,712.000
"November, 2017","2,89  -0,1 (-3,34%)",31.9,27.9,29.9,29.9,29.9,28.8,28.9,28.9,27.1,100.2,290.000
"December, 2017","2,66  -0,19 (-6,67%)",30.4,26.6,28.5,28.3,29.0,26.6,26.6,27.1,25.0,314.05,851.000
