Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2018","25,75  -0,1 (-0,39%)",27.65,24.05,25.85,26.5,26.5,25.7,25.75,25.910000000000004,19.34,285.34,7.392.000
"February, 2018","24  -1,75 (-6,8%)",27.55,23.95,25.75,25.8,26.05,24.0,24.0,25.67,18.02,511.31,13.123.000
"March, 2018","26,45  1,3 (5,17%)",26.9,23.4,25.15,25.9,26.5,25.5,26.45,26.01,19.86,473.550,12.318.000
"April, 2018","30,2  0,5 (1,68%)",31.75,27.65,29.7,29.95,30.2,29.35,30.2,29.67,22.68,783.680,23.248.000
"May, 2018","28  -0,7 (-2,44%)",30.7,26.7,28.7,28.6,28.65,28.0,28.0,28.4,21.02,287.350,8.162.000
"June, 2018","27,5  0,5 (1,85%)",28.85,25.15,27.0,27.5,27.5,26.9,27.5,27.21,20.65,234.590,6.384.000
"July, 2018","25,5  -0,1 (-0,39%)",27.35,23.85,25.6,25.05,25.6,25.05,25.5,25.380000000000003,19.15,131.670,3.342.000
"August, 2018","26,9  -0,15 (-0,55%)",28.9,25.2,27.05,27.05,27.25,26.9,26.9,27.07,20.2,344.74,9.332.000
"September, 2018","26,2  0,2 (0,77%)",27.8,24.2,26.0,26.0,26.2,25.9,26.2,26.02,19.67,377.09,9.812.000
"October, 2018","25,85  0,85 (3,4%)",26.75,23.25,25.0,25.5,25.85,25.5,25.85,25.7,19.41,308.32,7.925.000
"November, 2018","25,15  -0,25 (-0,98%)",27.15,23.65,25.4,25.7,25.7,24.95,25.15,25.18,18.880000000000003,7.383.620,175.209.000
"December, 2018","19,95  0 (0%)",21.3,18.6,19.95,20.0,20.3,19.6,19.95,19.83,19.2,162.260,3.217.000
"January, 2019","20,8  -0,1 (-0,48%)",22.35,19.45,20.9,21.0,21.1,20.8,20.8,20.96,20.07,3.582.610,78.955.397
"February, 2019","20,75  -0,2 (-0,95%)",22.4,19.5,20.95,20.95,21.0,20.65,20.75,20.84,20.02,528.27,11.009.000
"March, 2019","21,25  0,05 (0,24%)",22.65,19.75,21.2,21.3,21.35,21.25,21.25,21.29,20.5,502.820,10.706.000
"April, 2019","21,35  0,15 (0,71%)",22.65,19.75,21.2,21.2,21.5,21.2,21.35,21.42,20.6,1.047.920,22.450.000
"May, 2019","23,9  -0,15 (-0,62%)",25.7,22.4,24.05,24.05,24.05,23.85,23.9,23.98,23.06,996.740,23.905.000
