Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","8,3  0 (0%)",88.0,78.0,83.0,83.0,83.0,83.0,83.0,83.0,40.1,9.0,75.0
"February, 2014","10,3  0 (0%)",11.0,96.0,10.3,10.4,10.5,10.3,10.3,10.37,44.6,19.83,205.73
"March, 2014","10,5  -0,4 (-3,67%)",11.6,10.2,10.9,10.6,10.8,10.5,10.5,10.59,46.3,18.96,200.744
"April, 2014","10,2  0 (0%)",10.9,95.0,10.2,10.2,10.2,10.2,10.2,10.2,45.0,400.0,4.08
"May, 2014","10,4  0 (0%)",11.1,97.0,10.4,10.1,10.4,10.1,10.4,10.28,45.4,18.06,186.0
"June, 2014",9  0 (0%),96.0,84.0,9.0,9.0,92.0,9.0,9.0,91.0,43.5,8.15,74.0
"July, 2014","9,1  0 (0%)",97.0,85.0,91.0,9.0,91.0,9.0,91.0,90.4,43.9,4.13,37.0
"August, 2014",9  0 (0%),96.0,84.0,9.0,9.0,9.0,9.0,9.0,9.0,43.5,2.52,23.0
"September, 2014","8,4  -0,1 (-1,18%)",9.0,8.0,85.0,85.0,87.0,84.0,84.0,84.9,40.6,6.92,59.0
"October, 2014","8,4  0 (0%)",89.0,79.0,84.0,84.0,86.0,84.0,84.0,84.0,40.6,5.11,43.0
"November, 2014","8,3  0 (0%)",88.0,78.0,83.0,83.0,83.0,83.0,83.0,83.0,40.1,12.97,108.0
"December, 2014","8,2  0,2 (2,5%)",85.0,75.0,8.0,8.0,82.0,8.0,82.0,81.4,39.6,2.87,23.0
"January, 2015","8,1  0 (0%)",86.0,76.0,81.0,81.0,81.0,81.0,81.0,81.0,39.1,90.0,1.0
"February, 2015","8,3  -0,1 (-1,19%)",89.0,79.0,84.0,83.0,83.0,83.0,83.0,83.0,40.1,4.0,33.0
"March, 2015","7,8  0 (0%)",83.0,73.0,78.0,77.0,79.0,77.0,78.0,77.5,37.7,1.53,12.0
"April, 2015","7,5  0 (0%)",8.0,7.0,75.0,75.0,75.0,75.0,75.0,75.0,36.2,8.2,62.0
"May, 2015",7  0 (0%),74.0,66.0,7.0,69.0,7.0,68.0,7.0,69.7,33.8,720.0,5.0
"June, 2015","6,3  0 (0%)",67.0,59.0,63.0,63.0,63.0,63.0,63.0,63.0,32.7,9.52,60.0
"July, 2015","6,7  0 (0%)",71.0,63.0,67.0,68.0,68.0,67.0,67.0,67.1,34.8,110.0,1.0
"August, 2015","6,4  -0,1 (-1,54%)",69.0,61.0,65.0,64.0,64.0,64.0,64.0,64.0,32.2,2.0,13.0
"September, 2015","6,8  0,3 (4,62%)",69.0,61.0,65.0,66.0,69.0,66.0,68.0,68.4,32.7,650.0,4.0
"October, 2015","6,9  0 (0%)",73.0,65.0,69.0,69.0,69.0,69.0,69.0,69.0,33.1,500.0,3.0
"November, 2015","6,9  0 (0%)",73.0,65.0,69.0,0.0,0.0,0.0,69.0,0.0,33.1,30.0,53.0
"December, 2015","6,1  -0,1 (-1,61%)",64.0,56.0,62.0,61.0,61.0,61.0,61.0,61.0,29.3,1.0,6.0
