Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","73  -0,5 (-0,68%)",78.5,68.5,73.5,73.5,73.5,73.0,73.0,73.21000000000001,25.49,3.95,289.000
"February, 2014","87  1,5 (1,75%)",91.0,80.0,85.5,85.5,87.0,85.5,87.0,86.01,31.31,570.0,49.025
"March, 2014","87  -0,5 (-0,57%)",93.5,81.5,87.5,87.5,87.5,87.0,87.0,87.19,30.77,810.0,70.620
"April, 2014","80  3 (3,9%)",82.0,72.0,77.0,81.0,81.0,78.0,80.0,80.72,27.95,180.0,14.53
"May, 2014","74,5  0,5 (0,68%)",79.0,69.0,74.0,76.0,76.0,74.5,74.5,75.88,26.01,130.0,10.000
"June, 2014",77  0 (0%),82.0,72.0,77.0,77.0,77.0,77.0,77.0,77.0,26.880000000000003,3.01,232.000
"July, 2014","73,5  0,5 (0,68%)",78.0,68.0,73.0,73.0,73.5,73.0,73.5,73.34,25.660000000000004,2.06,151.0
"August, 2014","73  -1 (-1,35%)",79.0,69.0,74.0,73.5,73.5,72.0,73.0,72.15,25.49,3.82,276.000
"September, 2014","75,5  -2 (-2,58%)",82.5,72.5,77.5,77.0,78.0,75.0,75.5,76.08,26.360000000000003,5.69,433.0
"October, 2014","76  0,5 (0,66%)",80.5,70.5,75.5,76.0,76.0,76.0,76.0,76.0,26.54,440.0,33.000
"November, 2014","73,5  0 (0%)",78.5,68.5,73.5,73.5,74.0,73.5,73.5,73.99,25.660000000000004,6.34,469.000
"December, 2014",73  0 (0%),78.0,68.0,73.0,73.0,73.0,73.0,73.0,73.0,25.49,30.0,2.190.000
"January, 2015","74,5  0 (0%)",79.5,69.5,74.5,74.5,74.5,74.5,74.5,74.5,26.01,3.54,264.000
"February, 2015","78  1 (1,3%)",82.0,72.0,77.0,77.0,78.0,77.0,78.0,77.67999999999999,27.23,3.29,256.000
"March, 2015","74  2 (2,78%)",77.0,67.0,72.0,73.0,74.0,73.0,74.0,73.5,25.84,600.0,44.0
"April, 2015","81  5 (6,58%)",81.0,71.0,76.0,81.0,81.0,81.0,81.0,81.0,29.43,10.0,1.0
"May, 2015","83  1 (1,22%)",87.5,76.5,82.0,82.0,83.0,82.0,83.0,82.27000000000001,30.15,1.06,87.000
"June, 2015","82  2 (2,5%)",85.5,74.5,80.0,82.0,82.0,82.0,82.0,82.0,29.79,20.0,2.0
"July, 2015","80,5  0 (0%)",86.0,75.0,80.5,0.0,0.0,0.0,80.5,0.0,29.25,900.0,72.000
"August, 2015","82  4 (5,13%)",83.0,73.0,78.0,82.0,82.0,82.0,82.0,82.0,31.31,100.0,8.000
"September, 2015",81  0 (0%),86.5,75.5,81.0,81.0,81.0,81.0,81.0,81.0,31.33,700.0,57.000
"October, 2015","83  3 (3,75%)",85.5,74.5,80.0,83.0,83.0,83.0,83.0,83.0,32.1,2.07,172.0
"November, 2015","82,5  -0,5 (-0,6%)",88.5,77.5,83.0,82.5,82.5,82.5,82.5,82.5,31.910000000000004,200.0,17.000
"December, 2015","88,5  5,5 (6,63%)",89.0,78.0,83.0,83.0,88.5,82.0,88.5,85.8,33.61,660.0,57.000
"January, 2016","82,5  0 (0%)",88.0,77.0,82.5,82.5,82.5,82.5,82.5,82.5,34.8,20.0,2.0
"February, 2016","91  1 (1,11%)",96.0,84.0,90.0,0.0,93.0,91.0,91.0,92.82,38.39,110.0,10.0
"March, 2016","108  -7 (-6,09%)",12.3,10.7,11.5,11.5,11.5,10.8,10.8,112.14,48.55,9.01,1.010.000
"April, 2016","114  -3 (-2,56%)",12.5,10.9,11.7,11.8,11.8,11.4,11.4,115.23,53.5,4.39,506.000
"May, 2016",126  0 (0%),13.4,11.8,12.6,12.6,12.6,12.4,12.6,124.86,63.7,23.64,2.854.000
"June, 2016","115  2 (1,77%)",12.0,10.6,11.3,11.5,11.8,11.5,11.5,115.09,84.64,13.91,1.601.000
"July, 2016","114  1 (0,88%)",12.0,10.6,11.3,11.4,11.4,11.3,11.4,113.93,84.64,2.31,263.000
"August, 2016",112  0 (0%),11.9,10.5,11.2,11.1,11.2,11.0,11.2,111.44,83.15,1.29,144.0
