Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","30,8  -1,3 (-4,05%)",34.3,29.9,32.1,30.6,31.5,30.6,30.8,30.85,21.31,3.01,93.000
"February, 2014","44,1  -0,2 (-0,45%)",47.4,41.2,44.3,44.3,44.3,44.1,44.1,44.17,29.79,1.83,80.830
"March, 2014","38,6  -0,6 (-1,53%)",41.9,36.5,39.2,39.2,39.2,38.6,38.6,38.85,25.83,65.03,2.526.432
"April, 2014","34,8  0,5 (1,46%)",36.7,31.9,34.3,34.3,34.8,34.3,34.8,34.4,23.29,12.61,433.788
"May, 2014","36,6  -0,4 (-1,08%)",39.5,34.5,37.0,36.9,36.9,36.5,36.6,36.62,25.32,17.46,639.000
"June, 2014","34,5  -0,3 (-0,86%)",37.2,32.4,34.8,34.8,34.8,34.5,34.5,34.69,23.87,6.56,228.000
"July, 2014","34,3  0,5 (1,48%)",36.1,31.5,33.8,33.8,34.3,33.5,34.3,33.86,23.73,1.9,64.000
"August, 2014","34,3  0,2 (0,59%)",36.4,31.8,34.1,33.5,34.3,33.4,34.3,33.85,23.73,50.5,1.710.000
"September, 2014",32  0 (0%),34.2,29.8,32.0,32.4,32.4,31.8,32.0,31.99,22.14,33.48,1.071.000
"October, 2014","32  0,1 (0,31%)",34.1,29.7,31.9,31.5,32.0,31.5,32.0,31.73,22.14,20.84,661.000
"November, 2014","32,1  1,3 (4,22%)",32.9,28.7,30.8,30.5,32.1,30.5,32.1,30.55,22.21,14.85,454.000
"December, 2014","28,4  -0,1 (-0,35%)",30.4,26.6,28.5,28.3,28.6,28.3,28.4,28.5,19.65,13.47,384.000
"January, 2015","28,4  0 (0%)",30.3,26.5,28.4,28.4,28.5,28.3,28.4,28.380000000000003,19.65,48.33,1.372.000
"February, 2015","26,1  0,1 (0,38%)",27.8,24.2,26.0,26.0,26.1,26.0,26.1,26.06,18.06,42.06,1.096.000
"March, 2015","26,2  0,1 (0,38%)",27.9,24.3,26.1,26.1,26.2,26.1,26.2,26.130000000000003,18.130000000000003,18.25,477.000
"April, 2015","27,9  0,1 (0,36%)",29.7,25.9,27.8,27.9,28.0,27.8,27.9,27.910000000000004,19.3,20.5,572.0
"May, 2015","25,2  0 (0%)",26.9,23.5,25.2,25.2,25.2,25.0,25.2,25.14,19.18,10.44,262.0
"June, 2015","25,2  -0,3 (-1,18%)",27.2,23.8,25.5,25.3,25.3,25.1,25.2,25.24,19.18,16.1,406.000
"July, 2015","24,7  0,1 (0,41%)",26.3,22.9,24.6,25.0,25.0,24.7,24.7,24.82,18.8,270.0,7.000
"August, 2015","22,6  0 (0%)",24.1,21.1,22.6,22.6,23.0,22.6,22.6,22.86,17.68,29.74,680.000
"September, 2015","23  -0,4 (-1,71%)",25.0,21.8,23.4,23.0,23.6,23.0,23.0,23.01,18.07,67.21,1.546.000
"October, 2015",20  0 (0%),21.4,18.6,20.0,20.2,20.2,19.9,20.0,20.01,14.62,175.09,3.503.000
"November, 2015",20  0 (0%),21.4,18.6,20.0,20.3,20.4,20.0,20.0,20.14,14.62,15.99,322.0
"December, 2015","20,4  0,4 (2%)",21.0,18.4,20.0,20.3,20.4,19.7,20.4,20.2,16.23,24.62,497.0
"January, 2016","18,4  -0,1 (-0,54%)",19.7,17.3,18.5,18.0,18.4,18.0,18.4,18.29,14.2,3.51,64.0
"February, 2016","18,2  -0,8 (-4,21%)",20.3,17.7,19.0,18.2,19.5,18.1,18.2,18.24,14.04,6.13,112.0
"March, 2016","21,6  -1,4 (-6,09%)",24.6,21.4,23.0,22.6,23.0,21.6,21.6,22.19,15.88,98.0,2.175.000
"April, 2016",24  0 (0%),25.6,22.4,24.0,23.8,24.0,23.7,24.0,23.79,18.26,12.6,300.000
"May, 2016","22,1  0,1 (0,45%)",23.6,20.6,22.0,22.1,22.5,21.8,22.1,21.92,15.080000000000002,18.68,409.000
"June, 2016","21,7  -0,2 (-0,91%)",23.4,20.4,21.9,22.0,22.0,21.4,21.7,21.62,15.06,9.75,211.0
"July, 2016","21,2  0,1 (0,47%)",22.5,19.7,21.1,21.1,21.2,21.0,21.2,21.1,14.44,9.76,206.0
"August, 2016","21,7  0 (0%)",23.2,20.2,21.7,21.8,21.8,21.7,21.7,21.73,15.06,640.0,14.0
"September, 2016","23,3  0,4 (1,75%)",24.5,21.3,22.9,22.9,23.3,22.9,23.3,23.11,16.1,11.0,254.0
"October, 2016","26  -0,4 (-1,52%)",28.2,24.6,26.4,26.6,26.7,25.8,26.0,26.21,17.73,86.08,2.256.000
