Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2004","20,3  0 (0%)",21.3,19.3,0.0,0.0,0.0,0.0,20.3,0.0,12.46,3.97,
"February, 2004","20,3  0 (0%)",21.3,19.3,0.0,0.0,0.0,0.0,20.3,0.0,12.46,1.68,
"March, 2004","20,3  0 (0%)",21.3,19.3,0.0,0.0,0.0,0.0,20.3,0.0,12.46,4.6,
"April, 2004","30,8  0 (0%)",32.3,29.3,0.0,0.0,0.0,0.0,30.8,0.0,15.31,8.75,
"May, 2004","24,1  0 (0%)",25.3,22.9,0.0,0.0,0.0,0.0,24.1,0.0,14.39,1.42,
"June, 2004","23,6  0 (0%)",24.9,22.7,0.0,0.0,0.0,0.0,23.6,0.0,14.09,1.73,
"July, 2004","22,5  0 (0%)",23.6,21.4,0.0,0.0,0.0,0.0,22.5,0.0,13.43,2.75,
"August, 2004","21,9  0 (0%)",22.8,20.8,0.0,0.0,0.0,0.0,21.9,0.0,13.07,200.0,
"September, 2004","21,5  0 (0%)",22.6,20.6,0.0,0.0,0.0,0.0,21.5,0.0,13.2,2.85,
"October, 2004",21  0 (0%),22.0,20.0,0.0,0.0,0.0,0.0,21.0,0.0,12.89,3.01,
"November, 2004","20,3  0 (0%)",21.2,19.2,0.0,0.0,0.0,0.0,20.3,0.0,12.46,1.38,
"December, 2004","20,5  0 (0%)",21.5,19.5,0.0,0.0,0.0,0.0,20.5,0.0,12.58,19.33,244.8
"January, 2005","19,8  0 (0%)",20.7,18.9,0.0,0.0,0.0,0.0,19.8,0.0,13.27,50.0,203.0
"February, 2005","19,9  0 (0%)",20.8,19.0,0.0,0.0,0.0,0.0,19.9,0.0,13.330000000000002,1.11,
"March, 2005","19,8  0 (0%)",20.8,19.0,0.0,0.0,0.0,0.0,19.8,0.0,13.27,1.47,361.0
"April, 2005","19,6  0 (0%)",19.9,18.1,0.0,0.0,0.0,0.0,19.6,0.0,13.13,810.0,260.000
"May, 2005","19,7  0 (0%)",20.7,18.9,0.0,0.0,0.0,0.0,19.7,0.0,13.2,3.34,190.0
"June, 2005",21  0 (0%),22.0,20.0,0.0,0.0,0.0,0.0,21.0,0.0,14.07,6.7,
"July, 2005","23,3  0 (0%)",24.3,22.1,0.0,0.0,0.0,0.0,23.3,0.0,15.61,14.6,348.0
"August, 2005","23,8  0 (0%)",24.9,22.7,0.0,0.0,0.0,0.0,23.8,0.0,15.95,60.0,1.380.000
"September, 2005","25,7  0 (0%)",25.7,23.3,0.0,0.0,0.0,0.0,25.7,0.0,17.22,30.76,
"October, 2005",31  0 (0%),32.5,29.5,0.0,0.0,0.0,0.0,31.0,0.0,20.77,9.7,17.957.122
