Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","10,8  0,4 (3,85%)",11.1,97.0,10.4,10.5,10.8,10.4,10.8,10.61,89.5,158.56,1.682.664
"February, 2014","13,6  -0,1 (-0,73%)",14.6,12.8,13.7,13.7,13.7,13.2,13.6,13.4,11.27,55.16,739.146
"March, 2014","13,2  0 (0%)",14.1,12.3,13.2,13.0,13.4,12.9,13.2,13.04,10.96,96.3,1.255.708
"April, 2014","10,1  -0,1 (-0,98%)",10.9,95.0,10.2,10.0,10.1,10.0,10.1,10.0,83.9,1.83,18.301
"May, 2014","9  -0,2 (-2,17%)",98.0,86.0,92.0,91.0,92.0,9.0,9.0,90.7,75.6,24.27,220.0
"June, 2014","9,8  -0,1 (-1,01%)",10.5,93.0,99.0,98.0,99.0,98.0,98.0,98.0,82.3,64.24,630.0
"July, 2014","10,1  -0,1 (-0,98%)",10.9,95.0,10.2,10.0,10.3,10.0,10.1,10.15,84.9,22.31,226.000
"August, 2014","10,9  0 (0%)",11.6,10.2,10.9,10.9,11.1,10.8,10.9,10.95,91.6,50.98,558.000
"September, 2014","12,4  -0,3 (-2,36%)",13.5,11.9,12.7,12.7,12.7,12.4,12.4,12.52,10.42,60.04,752.000
"October, 2014","11,3  0,4 (3,67%)",11.6,10.2,10.9,11.0,11.3,10.9,11.3,11.06,94.9,119.51,1.322.000
"November, 2014","11,7  0 (0%)",12.5,10.9,11.7,11.7,11.8,11.5,11.7,11.6,98.3,161.5,1.873.000
"December, 2014","10,8  0,3 (2,86%)",11.2,98.0,10.5,10.6,10.9,10.6,10.8,10.78,90.7,42.07,453.000
"January, 2015","10,7  -0,3 (-2,73%)",11.7,10.3,11.0,10.9,10.9,10.7,10.7,10.74,89.9,23.41,252.0
"February, 2015","10,8  0,1 (0,93%)",11.4,10.0,10.7,10.8,10.8,10.7,10.8,10.8,90.7,4.65,50.0
"March, 2015","9,3  0 (0%)",99.0,87.0,93.0,93.0,94.0,92.0,93.0,93.0,84.3,7.6,71.0
"April, 2015","9,3  -0,1 (-1,06%)",10.0,88.0,94.0,95.0,95.0,92.0,93.0,92.8,84.3,2.32,22.0
"May, 2015","9,5  0,6 (6,74%)",95.0,83.0,89.0,89.0,95.0,89.0,95.0,93.7,86.1,157.64,1.477.000
"June, 2015","9,6  0 (0%)",10.2,9.0,96.0,95.0,96.0,95.0,96.0,95.0,87.0,22.52,214.000
